id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,fade,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/hide_char_id,characters/5/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,play_movie
event_seayouagain2_06_e_1,40025,event_seayouagain2_06_e,Speech,helm_s,helm,Locale_MainScenario:event_seayouagain2_06_e_1,True,helm_s,1,angry,mast,3,delight,anchor,5,angry,EzsUp,1,10,0.5,bgm_story_fairytalesend_b,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_2,40025,event_seayouagain2_06_e,Speech,helm_s,helm,Locale_MainScenario:event_seayouagain2_06_e_2,True,,1,angry,,3,delight,,5,angry,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_3,40025,event_seayouagain2_06_e,Speech,mast,mast,Locale_MainScenario:event_seayouagain2_06_e_3,True,,1,angry,,3,delight,,5,angry,,S_30,S_30,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_4,40025,event_seayouagain2_06_e,Narration,,,Locale_MainScenario:event_seayouagain2_06_e_4,False,,1,angry,,3,delight,,5,angry,,black,black,1.0,,sfx_scn_boatlaunch,Low_2,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_5,40025,event_seayouagain2_06_e,Monologue,,,Locale_MainScenario:event_seayouagain2_06_e_5,False,,1,angry,,3,delight,,5,angry,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_6,40025,event_seayouagain2_06_e,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain2_06_e_6,True,,1,angry,,3,delight,,5,angry,,XS_50,XS_50,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_7,40025,event_seayouagain2_06_e,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain2_06_e_7,True,,1,angry,,3,delight,,5,angry,,XS_50,XS_50,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_8,40025,event_seayouagain2_06_e,Speech,helm_s,helm,Locale_MainScenario:event_seayouagain2_06_e_8,True,,1,angry,,3,delight,,5,angry,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_9,40025,event_seayouagain2_06_e,Speech,helm_s,helm,Locale_MainScenario:event_seayouagain2_06_e_9,True,,1,sad,,3,delight,,5,angry,,10,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_10,40025,event_seayouagain2_06_e,Speech,mast,mast,Locale_MainScenario:event_seayouagain2_06_e_10,True,,1,sad,,3,delight,,5,delight,,1,53,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_11,40025,event_seayouagain2_06_e,Speech,mast,mast,Locale_MainScenario:event_seayouagain2_06_e_11,True,,1,sad,,3,delight,,5,delight,,53,53,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_12,40025,event_seayouagain2_06_e,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain2_06_e_12,True,,1,sad,,3,delight,,5,delight,,53,53,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_13,40025,event_seayouagain2_06_e,Speech,helm_s,helm,Locale_MainScenario:event_seayouagain2_06_e_13,True,,1,delight,,3,delight,,5,delight,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_14,40025,event_seayouagain2_06_e,Speech,helm_s,helm,Locale_MainScenario:event_seayouagain2_06_e_14,True,,1,angry,,3,delight,,5,delight,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_15,40025,event_seayouagain2_06_e,Speech,mast,mast,Locale_MainScenario:event_seayouagain2_06_e_15,True,,1,angry,,3,delight,,5,delight,,53,53,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_16,40025,event_seayouagain2_06_e,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain2_06_e_16,True,,1,angry,,3,delight,,5,angry,,53,53,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_17,40025,event_seayouagain2_06_e,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain2_06_e_17,True,,1,angry,,3,delight,,5,angry,,53,53,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_18,40025,event_seayouagain2_06_e,Speech,helm_s,helm,Locale_MainScenario:event_seayouagain2_06_e_18,True,,1,angry,,3,delight,,5,angry,,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_19,40025,event_seayouagain2_06_e,Speech,helm_s,helm,Locale_MainScenario:event_seayouagain2_06_e_19,True,,1,angry,,3,delight,,5,angry,,10,100,0.5,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_20,40025,event_seayouagain2_06_e,Narration,,,Locale_MainScenario:event_seayouagain2_06_e_20,False,,1,angry,,3,delight,,5,angry,,black,black,1.0,,sfx_scn_krakenshout,Low_2,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_21,40025,event_seayouagain2_06_e,Narration,,,Locale_MainScenario:event_seayouagain2_06_e_21,False,,1,angry,,3,delight,,5,angry,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain2_06_e_22,40025,event_seayouagain2_06_e,Narration,,,Locale_MainScenario:event_seayouagain2_06_e_22,False,,1,angry,,3,delight,,5,angry,,black,black,1.0,,sfx_scn_sonicexplode,Low_1,,,,,,,,,,,,,,,,,,,,,
