id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,fade,jump_target
event_onemoretime_06_e_1,40044,event_onemoretime_06_e,Monologue,clay,Locale_SubScenario:event_onemoretime_06_e_1,False,bay,1,idle,clay,3,worry,poli_c,5,sad,SchoolCorridor,black,black,1.0,none,,,,,,,,,,,
event_onemoretime_06_e_2,40044,event_onemoretime_06_e,Speech,clay,Locale_SubScenario:event_onemoretime_06_e_2,True,,1,idle,,3,worry,,5,sad,,4,4,1.0,bgm_story_leisuretime,clay,,,,,,,,,,
event_onemoretime_06_e_3,40044,event_onemoretime_06_e,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_e_3,True,,1,idle,,3,worry,,5,sad,,4,4,1.0,,poli_c,,,,,,,,,,
event_onemoretime_06_e_4,40044,event_onemoretime_06_e,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_e_4,True,,1,idle,,3,worry,,5,sad,,4,4,1.0,,poli_c,,,,,,,,,,
event_onemoretime_06_e_5,40044,event_onemoretime_06_e,Speech,bay,Locale_SubScenario:event_onemoretime_06_e_5,False,,1,surprise,,3,worry,,5,sad,,10,10,1.0,,bay,,,,,,,,,,
event_onemoretime_06_e_6,40044,event_onemoretime_06_e,Speech,bay,Locale_SubScenario:event_onemoretime_06_e_6,True,,1,delight,,3,worry,,5,sad,,10,10,1.0,,bay,,,,,,,,,,
event_onemoretime_06_e_7,40044,event_onemoretime_06_e,Speech,clay,Locale_SubScenario:event_onemoretime_06_e_7,True,,1,idle,,3,delight,,5,idle,,4,4,1.0,,clay,,,,,,,,,,
event_onemoretime_06_e_8,40044,event_onemoretime_06_e,Speech,clay,Locale_SubScenario:event_onemoretime_06_e_8,True,,1,idle,,3,sad,,5,idle,,4,4,1.0,,clay,,,,,,,,,,
event_onemoretime_06_e_9,40044,event_onemoretime_06_e,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_e_9,True,,1,idle,,3,sad,,5,idle,,4,4,1.0,,poli_c,,,,,,,,,,
event_onemoretime_06_e_10,40044,event_onemoretime_06_e,Speech,bay,Locale_SubScenario:event_onemoretime_06_e_10,True,,1,delight,,3,idle,,5,idle,,10,10,1.0,,bay,,,,,,,,,,
event_onemoretime_06_e_11,40044,event_onemoretime_06_e,Speech,bay,Locale_SubScenario:event_onemoretime_06_e_11,True,,1,delight,,3,idle,,5,idle,,10,10,1.0,,bay,,,,,,,,,,
event_onemoretime_06_e_12,40044,event_onemoretime_06_e,Narration,bay,Locale_SubScenario:event_onemoretime_06_e_12,False,,1,idle,,3,worry,,5,idle,,17,170,1.0,,,sfx_scn_scorebeep,,,,,,,,,
event_onemoretime_06_e_13,40044,event_onemoretime_06_e,Speech,clay,Locale_SubScenario:event_onemoretime_06_e_13,True,,1,idle,,3,worry,,5,idle,,4,4,1.0,,clay,,,,,,,,,,
event_onemoretime_06_e_14,40044,event_onemoretime_06_e,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_e_14,True,,1,idle,,3,worry,,5,delight,,4,XS_50,1.0,,poli_c,,,,,,,,,,
event_onemoretime_06_e_15,40044,event_onemoretime_06_e,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_e_15,True,,1,idle,,3,worry,,5,idle,,XS_50,XS_50,1.0,,poli_c,,,,,,,,,,
event_onemoretime_06_e_16,40044,event_onemoretime_06_e,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_e_16,True,,1,idle,,3,worry,,5,surprise,,XS_50,XS_50,1.0,,poli_c,,,,,,,,,,
event_onemoretime_06_e_17,40044,event_onemoretime_06_e,Speech,bay,Locale_SubScenario:event_onemoretime_06_e_17,True,,1,idle,,3,worry,,5,surprise,,10,10,1.0,,bay,,,,,,,,,,
event_onemoretime_06_e_18,40044,event_onemoretime_06_e,Self,bay,Locale_SubScenario:event_onemoretime_06_e_18,False,,1,idle,,3,worry,,5,idle,,10,10,1.0,,,,,,,,,,,,
event_onemoretime_06_e_19,40044,event_onemoretime_06_e,Monologue,bay,Locale_SubScenario:event_onemoretime_06_e_19,False,,1,idle,,3,worry,,5,idle,,black,black,1.0,,,,,,,,,,,,
event_onemoretime_06_e_20,40044,event_onemoretime_06_e,Monologue,bay,Locale_SubScenario:event_onemoretime_06_e_20,False,,1,idle,,3,worry,,5,idle,,black,black,1.0,,,,,,,,,,,,
event_onemoretime_06_e_21,40044,event_onemoretime_06_e,Speech,clay,Locale_SubScenario:event_onemoretime_06_e_21,False,,1,idle,,3,shy,,5,sad,,4,4,1.0,,clay,,,,,,,,,,
event_onemoretime_06_e_22,40044,event_onemoretime_06_e,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_e_22,False,,1,idle,,3,shy,,5,sad,,4,4,1.0,,poli_c,,,,,,,,,,
event_onemoretime_06_e_23,40044,event_onemoretime_06_e,Speech,bay,Locale_SubScenario:event_onemoretime_06_e_23,False,,1,idle,,3,shy,,5,sad,,1,1,1.0,,bay,,,,,,,,,,
event_onemoretime_06_e_24,40044,event_onemoretime_06_e,Speech,clay,Locale_SubScenario:event_onemoretime_06_e_24,True,,1,idle,,3,worry,,5,sad,,4,4,1.0,,clay,,,,,,,,,,
event_onemoretime_06_e_25,40044,event_onemoretime_06_e,Speech,poli_c,Locale_SubScenario:event_onemoretime_06_e_25,True,,1,idle,,3,worry,,5,surprise,,4,4,1.0,,poli_c,,,,,,,,,,
event_onemoretime_06_e_26,40044,event_onemoretime_06_e,Self,Self,Locale_SubScenario:event_onemoretime_06_e_26,False,,1,idle,,3,worry,,5,surprise,,4,4,1.0,,,,,,,,,,,,
event_onemoretime_06_e_27,40044,event_onemoretime_06_e,Speech,bay,Locale_SubScenario:event_onemoretime_06_e_27,True,,1,idle,,3,worry,,5,surprise,,10,10,1.0,,bay,,,,,,,,,,
event_onemoretime_06_e_28,40044,event_onemoretime_06_e,Speech,clay,Locale_SubScenario:event_onemoretime_06_e_28,True,,1,idle,,3,sad,,5,sad,,4,4,1.0,,clay,,,,,,,,,,
