id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,fade
event_ltk_03_e_1,40012,event_ltk_03_e,Monologue,Monologue,Locale_SubScenario:event_ltk_03_e_1,False,productionlinestaff,1,idle,Storage,black,black,1.0,bgm_mystery,,,,,,,
event_ltk_03_e_2,40012,event_ltk_03_e,Speech,productionlinestaff,Locale_SubScenario:event_ltk_03_e_2,True,,1,idle,,1,1,1.0,,productionlinestaff,,,,,,
event_ltk_03_e_3,40012,event_ltk_03_e,Speech,productionlinestaff,Locale_SubScenario:event_ltk_03_e_3,True,,1,idle,,1,1,1.0,,productionlinestaff,,,,,,
event_ltk_03_e_4,40012,event_ltk_03_e,Speech,productionlinestaff,Locale_SubScenario:event_ltk_03_e_4,True,,1,idle,,1,10,2.0,,productionlinestaff,,,,,,
event_ltk_03_e_5,40012,event_ltk_03_e,Speech,productionlinestaff,Locale_SubScenario:event_ltk_03_e_5,True,,1,idle,,10,10,1.0,,productionlinestaff,,,,,,
event_ltk_03_e_6,40012,event_ltk_03_e,Monologue,Monologue,Locale_SubScenario:event_ltk_03_e_6,False,,1,idle,,black,black,1.0,,,productionlinestaff,materialsortingstaff,1,idle,,
event_ltk_03_e_7,40012,event_ltk_03_e,Speech,materialsortingstaff,Locale_SubScenario:event_ltk_03_e_7,True,,,,,L_10,L_10,1.0,,materialsortingstaff,,,1,idle,,
event_ltk_03_e_8,40012,event_ltk_03_e,Speech,materialsortingstaff,Locale_SubScenario:event_ltk_03_e_8,True,,,,,L_10,L_10,1.0,,materialsortingstaff,,,1,idle,,
event_ltk_03_e_9,40012,event_ltk_03_e,Speech,materialsortingstaff,Locale_SubScenario:event_ltk_03_e_9,True,,,,,L_10,L_10,1.0,,materialsortingstaff,,,1,idle,,
event_ltk_03_e_10,40012,event_ltk_03_e,Speech,materialsortingstaff,Locale_SubScenario:event_ltk_03_e_10,True,,,,,L_10,L_10,1.0,,materialsortingstaff,,,1,idle,,
event_ltk_03_e_11,40012,event_ltk_03_e,Monologue,Monologue,Locale_SubScenario:event_ltk_03_e_11,False,transportationstaff,1,idle,,black,black,1.0,,,,,1,idle,materialsortingstaff,
event_ltk_03_e_12,40012,event_ltk_03_e,Speech,transportationstaff,Locale_SubScenario:event_ltk_03_e_12,True,,1,idle,,1,1,1.0,,transportationstaff,,,,,,
event_ltk_03_e_13,40012,event_ltk_03_e,Speech,transportationstaff,Locale_SubScenario:event_ltk_03_e_13,True,,1,idle,,1,1,1.0,,transportationstaff,,,,,,
event_ltk_03_e_14,40012,event_ltk_03_e,Speech,transportationstaff,Locale_SubScenario:event_ltk_03_e_14,True,,1,idle,,1,1,1.0,,transportationstaff,,,,,,
event_ltk_03_e_15,40012,event_ltk_03_e,Speech,transportationstaff,Locale_SubScenario:event_ltk_03_e_15,True,,1,idle,,1,L_10,1.0,,transportationstaff,,,,,,
event_ltk_03_e_16,40012,event_ltk_03_e,Self,Self,Locale_SubScenario:event_ltk_03_e_16,False,,1,idle,,1,1,1.0,bgm_recognition_underworld,,transportationstaff,d,1,idle,,black
event_ltk_03_e_17,40012,event_ltk_03_e,Speech,d,Locale_SubScenario:event_ltk_03_e_17,True,,,,,1,1,1.0,,d,,,1,idle,,
event_ltk_03_e_18,40012,event_ltk_03_e,Self,Self,Locale_SubScenario:event_ltk_03_e_18,False,,,,,1,1,1.0,,d,,,1,idle,,
event_ltk_03_e_19,40012,event_ltk_03_e,Speech,d,Locale_SubScenario:event_ltk_03_e_19,True,,,,,1,1,1.0,,d,,,1,think,,
event_ltk_03_e_20,40012,event_ltk_03_e,Self,Self,Locale_SubScenario:event_ltk_03_e_20,False,,,,,1,1,1.0,,d,,,1,think,,
event_ltk_03_e_21,40012,event_ltk_03_e,Speech,d,Locale_SubScenario:event_ltk_03_e_21,True,,,,,1,1,1.0,,d,,,1,idle,,
event_ltk_03_e_22,40012,event_ltk_03_e,Speech,d,Locale_SubScenario:event_ltk_03_e_22,True,,,,,1,1,1.0,,d,,,1,idle,,
event_ltk_03_e_23,40012,event_ltk_03_e,Speech,d,Locale_SubScenario:event_ltk_03_e_23,True,,,,,1,1,1.0,,d,,,1,idle,,
event_ltk_03_e_24,40012,event_ltk_03_e,Self,Self,Locale_SubScenario:event_ltk_03_e_24,False,,,,,1,1,1.0,,d,,,1,idle,,
event_ltk_03_e_25,40012,event_ltk_03_e,Speech,d,Locale_SubScenario:event_ltk_03_e_25,False,,,,,1,10,2.0,,d,,,1,idle,,
