id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,fade,characters/1/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,set_camera_shake
event_redash1_04_e_1,40031,event_redash1_04_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash1_04_e_1,True,redhood,13,think,snowwhite_o,5,sad,rapunzel_o,3,smile,dorothy,1,think,Laboratory,S_50,S_50,1.0,event_bgm_redash_dearsnowwhite,,,,,,,,,,,,,,,,,
event_redash1_04_e_2,40031,event_redash1_04_e,Speech,redhood,redhood,Locale_MainScenario:event_redash1_04_e_2,False,,13,think,,5,sad,,3,smile,,1,think,,130,130,1.0,,,,,,,,,,,,,,,,,,
event_redash1_04_e_3,40031,event_redash1_04_e,Speech,rapunzel_o,rapunzel,Locale_MainScenario:event_redash1_04_e_3,True,,13,think,,5,sad,,3,smile,,1,think,,L_30,L_30,1.0,,,,,,,,,,,,,,,,,,
event_redash1_04_e_4,40031,event_redash1_04_e,Speech,rapunzel_o,rapunzel,Locale_MainScenario:event_redash1_04_e_4,True,,13,think,,5,sad,,3,smile,,1,think,,L_30,L_30,1.0,,,,,,,,,,,,,,,,,,
event_redash1_04_e_5,40031,event_redash1_04_e,Speech,dorothy,dorothy,Locale_MainScenario:event_redash1_04_e_5,True,,13,think,,5,sad,,3,smile,,1,think,,L_30,31,1.0,,,,,,,,,,,,,,,,,,
event_redash1_04_e_6,40031,event_redash1_04_e,Speech,rapunzel_o,rapunzel,Locale_MainScenario:event_redash1_04_e_6,True,,13,think,,5,sad,,3,smile,,1,think,,31,31,1.0,,,,,,,,,,,,,,,,,,
event_redash1_04_e_7,40031,event_redash1_04_e,Narration,,,Locale_MainScenario:event_redash1_04_e_7,False,,13,think,,5,sad,,3,smile,,1,think,,31,31,1.0,,rapunzel_o,dorothy,,,,,,,,,,,,,,,
event_redash1_04_e_8,40031,event_redash1_04_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash1_04_e_8,False,,13,think,,5,sad,,,,,,,,31,5,1.0,,,,,,,,,,,,,,,,,,
event_redash1_04_e_9,40031,event_redash1_04_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash1_04_e_9,True,,13,think,,5,sad,,,,,,,,5,5,1.0,,,,,,,,,,,,,,,,,,
event_redash1_04_e_10,40031,event_redash1_04_e,Speech,redhood,redhood,Locale_MainScenario:event_redash1_04_e_10,True,,13,think,,5,sad,,,,,,,,5,113,2.0,,,,,,,,,,,,,,,,,,
