id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake
re_d_contents_ce002_mini_01_1,82303,re_d_contents_ce002_mini_01,Monologue,Locale_SubScenario:d_contents_ce002_mini_01_1,False,WasteLand_02,5,1,2.0,bgm_inark,,,,,,,,,,,,
re_d_contents_ce002_mini_01_2,82303,re_d_contents_ce002_mini_01,Narration,Locale_SubScenario:d_contents_ce002_mini_01_2,False,,black,black,1.0,,,,,,,,,,,,,
re_d_contents_ce002_mini_01_3,82303,re_d_contents_ce002_mini_01,Monologue,Locale_SubScenario:d_contents_ce002_mini_01_3,False,,1,10,2.0,,,,,,,,,,,,,
re_d_contents_ce002_mini_01_4,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_4,True,,S_130,S_130,1.0,,neon,neon,anis,3,void,rapi,1,idle,neon,13,idle,
re_d_contents_ce002_mini_01_5,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_5,True,,30,30,1.0,,anis,anis,,3,void,,1,idle,,13,idle,
re_d_contents_ce002_mini_01_6,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_6,True,,30,30,1.0,,anis,anis,,3,void,,1,idle,,13,idle,
re_d_contents_ce002_mini_01_7,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_7,True,,30,30,1.0,,anis,anis,,3,void,,1,idle,,13,idle,
re_d_contents_ce002_mini_01_8,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_8,True,,30,10,2.0,,rapi,rapi,,3,void,,1,idle,,13,idle,
re_d_contents_ce002_mini_01_9,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_9,True,,S_130,S_130,1.0,,neon,neon,,3,void,,1,idle,,13,idle,
re_d_contents_ce002_mini_01_10,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_10,True,,S_130,S_130,1.0,,neon,neon,,3,void,,1,idle,,13,idle,
re_d_contents_ce002_mini_01_11,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_11,True,,30,30,1.0,,anis,anis,,3,void,,1,idle,,13,idle,
re_d_contents_ce002_mini_01_12,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_12,True,,30,30,1.0,,anis,anis,,3,void,,1,idle,,13,idle,
re_d_contents_ce002_mini_01_13,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_13,False,,30,2,2.0,,rapi,rapi,,3,void,,1,idle,,13,idle,
re_d_contents_ce002_mini_01_14,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_14,False,,2,12,2.0,,neon,neon,,3,void,,1,idle,,13,idle,
re_d_contents_ce002_mini_01_15,82303,re_d_contents_ce002_mini_01,Self,Locale_SubScenario:d_contents_ce002_mini_01_15,False,,30,30,1.0,,,,,3,void,,1,idle,,13,idle,
re_d_contents_ce002_mini_01_16,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_16,True,,30,30,1.0,,anis,anis,,3,delight,,1,idle,,13,idle,
re_d_contents_ce002_mini_01_17,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_17,True,,30,30,1.0,,anis,anis,,3,delight,,1,idle,,13,idle,
re_d_contents_ce002_mini_01_18,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_18,True,,30,30,1.0,,neon,neon,,3,delight,,1,idle,,13,surprise,
re_d_contents_ce002_mini_01_19,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_19,True,,30,300,2.0,,anis,anis,,3,idle,,1,idle,,13,surprise,
re_d_contents_ce002_mini_01_20,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_20,True,,100,100,1.0,,rapi,rapi,,3,idle,,1,angry,,13,surprise,
re_d_contents_ce002_mini_01_21,82303,re_d_contents_ce002_mini_01,Narration,Locale_SubScenario:d_contents_ce002_mini_01_21,False,,black,black,1.0,,rapi,,,3,idle,,1,angry,,13,surprise,
re_d_contents_ce002_mini_01_22,82303,re_d_contents_ce002_mini_01,Monologue,Locale_SubScenario:d_contents_ce002_mini_01_22,False,,black,black,1.0,,rapi,,,3,idle,,1,idle,,13,surprise,
re_d_contents_ce002_mini_01_23,82303,re_d_contents_ce002_mini_01,Narration,Locale_SubScenario:d_contents_ce002_mini_01_23,False,,300,2,1.0,,rapi,,,3,idle,,1,idle,,13,surprise,Low_2
re_d_contents_ce002_mini_01_24,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_24,False,,2,2,1.0,,anis,anis,,3,angry,,1,idle,,13,surprise,
re_d_contents_ce002_mini_01_25,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_25,False,,2,2,1.0,,rapi,rapi,,3,angry,,1,idle,,13,surprise,
re_d_contents_ce002_mini_01_26,82303,re_d_contents_ce002_mini_01,Speech,Locale_SubScenario:d_contents_ce002_mini_01_26,False,,2,12,1.0,,neon,neon,,3,angry,,1,idle,,13,surprise,
re_d_contents_ce002_mini_01_27,82303,re_d_contents_ce002_mini_01,Self,Locale_SubScenario:d_contents_ce002_mini_01_27,False,,12,12,1.0,,,,,3,angry,,1,idle,,13,surprise,
re_d_contents_ce002_mini_01_28,82303,re_d_contents_ce002_mini_01,Monologue,Locale_SubScenario:d_contents_ce002_mini_01_28,False,,12,12,1.0,,,,,3,angry,,1,idle,,13,surprise,
re_d_contents_ce002_mini_01_29,82303,re_d_contents_ce002_mini_01,Monologue,Locale_SubScenario:d_contents_ce002_mini_01_29,False,,12,10,2.0,,,,,3,void,,1,idle,,13,surprise,
re_d_contents_ce002_mini_01_30,82303,re_d_contents_ce002_mini_01,Self,Locale_SubScenario:d_contents_ce002_mini_01_30,False,,10,10,1.0,,,,,3,void,,1,idle,,13,surprise,
re_d_contents_ce002_mini_01_31,82303,re_d_contents_ce002_mini_01,Monologue,Locale_SubScenario:d_contents_ce002_mini_01_31,False,,black,black,1.0,,,,,3,void,,1,idle,,13,surprise,
