id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,jump_target,characters/4/hide_char_id,play_sound,set_camera_shake
event_romanticvalentine_04_s_1,40069,event_romanticvalentine_04_s,Monologue,Locale_SubScenario:event_romanticvalentine_04_s_1,False,CommanderRoom,black,black,1.0,bgm_story_orangepop,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_04_s_2,40069,event_romanticvalentine_04_s,Monologue,Locale_SubScenario:event_romanticvalentine_04_s_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_04_s_3,40069,event_romanticvalentine_04_s,Speech,Locale_SubScenario:event_romanticvalentine_04_s_3,True,,S_10,S_10,1.0,,mast_m,mast_m,mast_m,1,idle2,sin_m,3,delight,anchor_m,13,idle,black,,,,,,,,,,
event_romanticvalentine_04_s_4,40069,event_romanticvalentine_04_s,Speech,Locale_SubScenario:event_romanticvalentine_04_s_4,True,,XS_130,XS_130,1.0,,anchor_m,anchor_m,,1,idle2,,3,delight,,13,idle,,trony_m,5,no,,,,,,,
event_romanticvalentine_04_s_5,40069,event_romanticvalentine_04_s,Speech,Locale_SubScenario:event_romanticvalentine_04_s_5,True,,4,4,1.0,,trony_m,trony_m,,1,idle2,,3,delight,,13,idle,,,5,no,sweetjohnny214,15,idle,,,,
event_romanticvalentine_04_s_6,40069,event_romanticvalentine_04_s,Speech,Locale_SubScenario:event_romanticvalentine_04_s_6,True,,4,4,1.0,,sin_m,sin_m,,1,idle2,,3,smile,,13,idle,,,5,no,,15,idle,,,,
event_romanticvalentine_04_s_7,40069,event_romanticvalentine_04_s,Self,Locale_SubScenario:event_romanticvalentine_04_s_7,False,,4,4,1.0,,sin_m,,,1,idle2,,3,smile,,13,idle,,,5,no,,15,idle,,,,
event_romanticvalentine_04_s_8,40069,event_romanticvalentine_04_s,Monologue,Locale_SubScenario:event_romanticvalentine_04_s_8,False,,4,4,1.0,,sin_m,,,1,idle2,,3,smile,,13,idle,,,5,no,,15,idle,,,,
event_romanticvalentine_04_s_9,40069,event_romanticvalentine_04_s,Speech,Locale_SubScenario:event_romanticvalentine_04_s_9,True,,4,4,1.0,,trony_m,trony_m,,1,idle2,,3,smile,,13,idle,,,5,no,,15,idle,,,,
event_romanticvalentine_04_s_10,40069,event_romanticvalentine_04_s,Self,Locale_SubScenario:event_romanticvalentine_04_s_10,False,,4,4,1.0,,trony_m,,,1,idle2,,3,smile,,13,idle,,,5,no,,15,idle,,,,
