id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake
event_ce02_3_01_s_1,40026,event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_1,True,product12,13,idle,ce_02_02,1,think,Factory,black,black,1.0,ambient_scn_wind,,
event_ce02_3_01_s_2,40026,event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_2,True,,13,idle,,1,think,,black,black,1.0,,,
event_ce02_3_01_s_3,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_3,True,,13,idle,,1,think,,1,10,1.0,event_bgm_ce002_story_3,,
event_ce02_3_01_s_4,40026,event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_4,True,,13,idle,,1,think,,10,12,1.0,,,
event_ce02_3_01_s_5,40026,event_ce02_3_01_s,Monologue,,,Locale_SubScenario:event_ce02_3_01_s_5,False,,13,idle,,1,think,,12,10,1.0,,,
event_ce02_3_01_s_6,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_6,True,,13,idle,,1,think,,10,10,1.0,,,
event_ce02_3_01_s_7,40026,event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_7,True,,13,idle,,1,think,,130,130,1.0,,,
event_ce02_3_01_s_8,40026,event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_8,True,,13,idle,,1,think,,130,130,1.0,,,
event_ce02_3_01_s_9,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_9,True,,13,idle,,1,think,,10,10,1.0,,,
event_ce02_3_01_s_10,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_10,True,,13,idle,,1,think,,10,10,1.0,,,
event_ce02_3_01_s_11,40026,event_ce02_3_01_s,Monologue,,,Locale_SubScenario:event_ce02_3_01_s_11,False,,13,idle,,1,think,,10,1,1.0,,,
event_ce02_3_01_s_12,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_12,True,,13,idle,,1,think,,1,1,1.0,,,
event_ce02_3_01_s_13,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_13,True,,13,idle,,1,think,,1,1,1.0,,,
event_ce02_3_01_s_14,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_14,True,,13,idle,,1,think,,1,1,1.0,,,
event_ce02_3_01_s_15,40026,event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_15,True,,13,idle,,1,think,,130,130,1.0,,,
event_ce02_3_01_s_16,40026,event_ce02_3_01_s,Monologue,,,Locale_SubScenario:event_ce02_3_01_s_16,False,,13,idle,,1,idle,,1,5,1.0,,,
event_ce02_3_01_s_17,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_17,True,,13,idle,,1,idle,,5,5,1.0,,,
event_ce02_3_01_s_18,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_18,True,,13,idle,,1,idle,,5,1,1.0,,,
event_ce02_3_01_s_19,40026,event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_19,True,,13,idle,,1,idle,,130,130,1.0,,,
event_ce02_3_01_s_20,40026,event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_20,True,,13,idle,,1,idle,,130,130,1.0,,,
event_ce02_3_01_s_21,40026,event_ce02_3_01_s,Narration,,,Locale_SubScenario:event_ce02_3_01_s_21,False,,13,idle,,1,"expression_0,idle",,1,1,1.0,,sfx_scn_drawingsword,
event_ce02_3_01_s_22,40026,event_ce02_3_01_s,Monologue,,,Locale_SubScenario:event_ce02_3_01_s_22,False,,13,idle,,1,idle,,1,10,1.0,,,
event_ce02_3_01_s_23,40026,event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_23,False,,13,idle,,1,idle,,130,13,0.6,,,
event_ce02_3_01_s_24,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_24,True,,13,idle,,1,idle,,10,10,1.0,,,
event_ce02_3_01_s_25,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_25,True,,13,idle,,1,idle,,10,10,1.0,,,
event_ce02_3_01_s_26,40026,event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_26,True,,13,idle,,1,idle,,10,12,1.0,,,
event_ce02_3_01_s_27,40026,event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_27,True,,13,idle,,1,idle,,12,12,1.0,,,
event_ce02_3_01_s_28,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_28,True,,13,idle,,1,idle,,12,12,1.0,,,
event_ce02_3_01_s_29,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_29,True,,13,idle,,1,idle,,12,12,1.0,,,
event_ce02_3_01_s_30,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_30,True,,13,idle,,1,idle,,12,12,1.0,,,
event_ce02_3_01_s_31,40026,event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_31,True,,13,idle,,1,idle,,12,12,1.0,,,
event_ce02_3_01_s_32,40026,event_ce02_3_01_s,Speech,unknown,unknown,Locale_SubScenario:event_ce02_3_01_s_32,True,,13,idle,,1,idle,,12,12,1.0,,,
event_ce02_3_01_s_33,40026,event_ce02_3_01_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_01_s_33,True,,13,idle,,1,idle,,12,12,1.0,,,
event_ce02_3_01_s_34,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_34,True,,13,idle,,1,think,,12,12,1.0,,,
event_ce02_3_01_s_35,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_35,True,,13,idle,,1,think,,12,12,1.0,,,
event_ce02_3_01_s_36,40026,event_ce02_3_01_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_01_s_36,True,,13,idle,,1,think,,12,130,1.0,,,
event_ce02_3_01_s_37,40026,event_ce02_3_01_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_01_s_37,True,,13,idle,,1,think,,130,130,1.0,,,
event_ce02_3_01_s_38,40026,event_ce02_3_01_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_01_s_38,True,,13,idle,,1,think,,130,130,1.0,,,
event_ce02_3_01_s_39,40026,event_ce02_3_01_s,Narration,,,Locale_SubScenario:event_ce02_3_01_s_39,False,,13,idle,,1,think,,130,12,0.7,,sfx_scn_2rapturestep,Low_2
event_ce02_3_01_s_40,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_40,False,,13,idle,,1,angry,,12,12,1.0,,,
event_ce02_3_01_s_41,40026,event_ce02_3_01_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_01_s_41,False,,13,idle,,1,angry,,12,12,1.0,,,
event_ce02_3_01_s_42,40026,event_ce02_3_01_s,Narration,,,Locale_SubScenario:event_ce02_3_01_s_42,False,,13,idle,,1,angry,,12,12,1.0,,sfx_scn_4rapturestep,Low_2
event_ce02_3_01_s_43,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_43,True,,13,idle,,1,angry,,12,12,1.0,,,
event_ce02_3_01_s_44,40026,event_ce02_3_01_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_01_s_44,True,,13,idle,,1,angry,,12,12,1.0,,,
event_ce02_3_01_s_45,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_45,True,,13,idle,,1,idle,,12,12,1.0,,,
event_ce02_3_01_s_46,40026,event_ce02_3_01_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_01_s_46,True,,13,idle,,1,idle,,12,130,1.0,,,
event_ce02_3_01_s_47,40026,event_ce02_3_01_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_01_s_47,True,,13,idle,,1,idle,,130,130,1.0,,,
event_ce02_3_01_s_48,40026,event_ce02_3_01_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_01_s_48,True,,13,idle,,1,idle,,10,10,1.0,,,
event_ce02_3_01_s_49,40026,event_ce02_3_01_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_01_s_49,True,,13,idle,,1,idle,,130,130,1.0,,,
