id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_foolburstday_04_1,130007,event_foolburstday_04,Monologue,Locale_SubScenario:event_foolburstday_04_1,False,MaidCafe,black,black,1.0,bgm_story_daytoday,,,,mechashifty,1,idle,,privaty_m,13,happy,,,,,,,,,
event_foolburstday_04_2,130007,event_foolburstday_04,Self,Locale_SubScenario:event_foolburstday_04_2,False,,130,13,1.0,,,,,,1,idle,,,13,happy,,,,,,,,,
event_foolburstday_04_3,130007,event_foolburstday_04,Speech,Locale_SubScenario:event_foolburstday_04_3,True,,13,13,1.0,,privaty_m,privaty_m,,,1,idle,,,13,happy,,,,,,,,,
event_foolburstday_04_4,130007,event_foolburstday_04,Speech,Locale_SubScenario:event_foolburstday_04_4,True,,13,113,1.0,,privaty_m,privaty_m,,,1,idle,,,13,sad2,,,,,,,,,
event_foolburstday_04_5,130007,event_foolburstday_04,Speech,Locale_SubScenario:event_foolburstday_04_5,True,,113,113,1.0,,mechashifty,mechashifty,,,1,idle,,,13,sad2,,,,,,,,,
event_foolburstday_04_6,130007,event_foolburstday_04,Speech,Locale_SubScenario:event_foolburstday_04_6,True,,113,113,1.0,,privaty_m,privaty_m,,,1,idle,,,13,sad2,,,,,,,,,
event_foolburstday_04_7,130007,event_foolburstday_04,Speech,Locale_SubScenario:event_foolburstday_04_7,True,,113,113,1.0,,privaty_m,privaty_m,,,1,idle,,,13,sad2,,,,,,,,,
event_foolburstday_04_8,130007,event_foolburstday_04,Speech,Locale_SubScenario:event_foolburstday_04_8,True,,113,113,1.0,,privaty_m,privaty_m,,,1,idle,,,13,sad2,,,,,,,,,
event_foolburstday_04_9,130007,event_foolburstday_04,Speech,Locale_SubScenario:event_foolburstday_04_9,True,,113,1,1.0,,mechashifty,mechashifty,,,1,idle,,,13,sad2,,,,,,,,,
event_foolburstday_04_10,130007,event_foolburstday_04,Speech,Locale_SubScenario:event_foolburstday_04_10,True,,1,S_10,1.0,,mechashifty,mechashifty,,,1,idle,,,13,sad2,,,,,,,,,
