id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,set_camera_shake
event_dirtybackyard_03_s_1,40038,event_dirtybackyard_03_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_03_s_1,True,moran,5,think,jin,3,idle,sugar_g,1,idle,Backstreet_n,4,4,1.0,none,,,
event_dirtybackyard_03_s_2,40038,event_dirtybackyard_03_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_03_s_2,True,,5,think,,3,idle,,1,idle,,4,4,1.0,bgm_blurredvision,,,
event_dirtybackyard_03_s_3,40038,event_dirtybackyard_03_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_03_s_3,True,,5,think,,3,idle,,1,idle,,4,4,1.0,,,,
event_dirtybackyard_03_s_4,40038,event_dirtybackyard_03_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_03_s_4,True,,5,think,,3,idle,,1,idle,OuterRim,4,90,1.0,,Grey,Blur_Low,
event_dirtybackyard_03_s_5,40038,event_dirtybackyard_03_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_03_s_5,True,,5,think,,3,idle,,1,idle,,90,90,1.0,,Grey,Blur_Low,
event_dirtybackyard_03_s_6,40038,event_dirtybackyard_03_s,Self,,,Locale_SubScenario:event_dirtybackyard_03_s_6,False,,5,think,,3,idle,,1,idle,,90,90,1.0,,Grey,Blur_Low,
event_dirtybackyard_03_s_7,40038,event_dirtybackyard_03_s,Self,,,Locale_SubScenario:event_dirtybackyard_03_s_7,False,,5,think,,3,idle,,1,idle,,90,90,1.0,,Grey,Blur_Low,
event_dirtybackyard_03_s_8,40038,event_dirtybackyard_03_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_03_s_8,True,,5,think,,3,idle,,1,idle,,90,90,1.0,,Red,Blur_Low,
event_dirtybackyard_03_s_9,40038,event_dirtybackyard_03_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_03_s_9,True,,5,think,,3,idle,,1,idle,,90,90,1.0,,Red,Blur_Low,
event_dirtybackyard_03_s_10,40038,event_dirtybackyard_03_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_03_s_10,True,,5,pain,,3,idle,,1,idle,Backstreet_n,90,50,1.0,,,,
event_dirtybackyard_03_s_11,40038,event_dirtybackyard_03_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_03_s_11,True,,5,worry,,3,idle,,1,idle,,50,50,1.0,,,,
event_dirtybackyard_03_s_12,40038,event_dirtybackyard_03_s,Self,,,Locale_SubScenario:event_dirtybackyard_03_s_12,False,,5,worry,,3,idle,,1,idle,,50,50,1.0,,,,
event_dirtybackyard_03_s_13,40038,event_dirtybackyard_03_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_03_s_13,True,,5,worry,,3,idle,,1,idle,,2,2,1.0,,,,
event_dirtybackyard_03_s_14,40038,event_dirtybackyard_03_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_03_s_14,True,,5,worry,,3,idle,,1,idle,,2,2,1.0,,,,
event_dirtybackyard_03_s_15,40038,event_dirtybackyard_03_s,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_03_s_15,False,,5,worry,,3,idle,,1,angry,,2,2,1.0,,,,
event_dirtybackyard_03_s_16,40038,event_dirtybackyard_03_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_03_s_16,True,,5,worry,,3,idle,,1,angry,,50,500,1.0,,,,
event_dirtybackyard_03_s_17,40038,event_dirtybackyard_03_s,Speech,jin,jin,Locale_SubScenario:event_dirtybackyard_03_s_17,True,,5,worry,,3,idle,,1,angry,,500,500,1.0,,,,
