id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/3/hide_char_id
event_freezeacpu_02_e_1,40030,event_freezeacpu_02_e,Speech,candyman,candyman,Locale_SubScenario:event_freezeacpu_02_e_1,True,quiry,9,idle,neon,7,idle,anis,5,idle,drake,3,idle,candyman,1,idle,ShoppingMall,1,1,1.0,none,,
event_freezeacpu_02_e_2,40030,event_freezeacpu_02_e,Speech,candyman,candyman,Locale_SubScenario:event_freezeacpu_02_e_2,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,1,10,0.3,bgm_story_epicjazzymoods,,
event_freezeacpu_02_e_3,40030,event_freezeacpu_02_e,Speech,anis,anis,Locale_SubScenario:event_freezeacpu_02_e_3,True,,9,idle,,7,surprise,,5,idle,,3,idle,,1,idle,,6,6,1.0,,,
event_freezeacpu_02_e_4,40030,event_freezeacpu_02_e,Speech,anis,anis,Locale_SubScenario:event_freezeacpu_02_e_4,True,,9,idle,,7,surprise,,5,shy,,3,idle,,1,idle,,6,6,1.0,,,
event_freezeacpu_02_e_5,40030,event_freezeacpu_02_e,Speech,neon,neon,Locale_SubScenario:event_freezeacpu_02_e_5,True,,9,idle,,7,surprise,,5,shy,,3,idle,,1,idle,,6,6,1.0,,,
event_freezeacpu_02_e_6,40030,event_freezeacpu_02_e,Speech,drake,drake,Locale_SubScenario:event_freezeacpu_02_e_6,True,,9,idle,,7,surprise,,5,shy,,3,idle,,1,idle,,3,3,1.0,,,
event_freezeacpu_02_e_7,40030,event_freezeacpu_02_e,Speech,drake,drake,Locale_SubScenario:event_freezeacpu_02_e_7,True,,9,idle,,7,idle,,5,shy,,3,delight,,1,idle,,3,3,1.0,,,
event_freezeacpu_02_e_8,40030,event_freezeacpu_02_e,Speech,quiry,quiry,Locale_SubScenario:event_freezeacpu_02_e_8,True,,9,surprise,,7,idle,,5,idle,,3,delight,,1,idle,,9,S_90,0.5,,Low_2,
event_freezeacpu_02_e_9,40030,event_freezeacpu_02_e,Speech,quiry,quiry,Locale_SubScenario:event_freezeacpu_02_e_9,True,,9,surprise,,7,idle,,5,idle,,3,delight,,1,idle,,S_90,S_90,1.0,,,
event_freezeacpu_02_e_10,40030,event_freezeacpu_02_e,Speech,drake,drake,Locale_SubScenario:event_freezeacpu_02_e_10,True,,9,surprise,,7,idle,,5,idle,,3,no,,1,idle,,30,30,1.0,,,
event_freezeacpu_02_e_11,40030,event_freezeacpu_02_e,Speech,quiry,quiry,Locale_SubScenario:event_freezeacpu_02_e_11,True,,9,sad,,7,idle,,5,idle,,3,no,,1,idle,,S_90,S_90,1.0,,,
event_freezeacpu_02_e_12,40030,event_freezeacpu_02_e,Speech,quiry,quiry,Locale_SubScenario:event_freezeacpu_02_e_12,True,,9,sad,,7,idle,,5,idle,,3,no,,1,idle,,S_90,S_90,1.0,,,
event_freezeacpu_02_e_13,40030,event_freezeacpu_02_e,Speech,drake,drake,Locale_SubScenario:event_freezeacpu_02_e_13,False,,9,sad,,7,idle,,5,idle,,3,no,,1,idle,,30,30,1.0,,,
event_freezeacpu_02_e_14,40030,event_freezeacpu_02_e,Speech,drake,drake,Locale_SubScenario:event_freezeacpu_02_e_14,True,,9,sad,,7,idle,,5,idle,,3,idle,,1,idle,,30,3,1.0,,,
event_freezeacpu_02_e_15,40030,event_freezeacpu_02_e,Speech,anis,anis,Locale_SubScenario:event_freezeacpu_02_e_15,True,,9,sad,,7,idle,,5,void,,3,no,,1,idle,,3,4,1.0,,,
event_freezeacpu_02_e_16,40030,event_freezeacpu_02_e,Speech,anis,anis,Locale_SubScenario:event_freezeacpu_02_e_16,True,,9,idle,,7,idle,,5,idle,,3,no,,1,idle,,4,4,1.0,,,
event_freezeacpu_02_e_17,40030,event_freezeacpu_02_e,Speech,drake,drake,Locale_SubScenario:event_freezeacpu_02_e_17,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,4,4,1.0,,,
event_freezeacpu_02_e_18,40030,event_freezeacpu_02_e,Speech,drake,drake,Locale_SubScenario:event_freezeacpu_02_e_18,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,4,4,1.0,,,
event_freezeacpu_02_e_19,40030,event_freezeacpu_02_e,Speech,drake,drake,Locale_SubScenario:event_freezeacpu_02_e_19,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,4,4,1.0,,,
event_freezeacpu_02_e_20,40030,event_freezeacpu_02_e,Speech,quiry,quiry,Locale_SubScenario:event_freezeacpu_02_e_20,False,,9,angry,,7,idle,,5,idle,,3,idle,,1,idle,,S_90,S_90,1.0,,,
event_freezeacpu_02_e_21,40030,event_freezeacpu_02_e,Speech,quiry,quiry,Locale_SubScenario:event_freezeacpu_02_e_21,True,,9,angry,,7,idle,,5,idle,,3,idle,,1,idle,,S_90,S_90,1.0,,,
event_freezeacpu_02_e_22,40030,event_freezeacpu_02_e,Self,,Self,Locale_SubScenario:event_freezeacpu_02_e_22,False,,9,angry,,7,idle,,5,idle,,3,idle,,1,idle,,S_90,S_90,1.0,,,
event_freezeacpu_02_e_23,40030,event_freezeacpu_02_e,Speech,quiry,quiry,Locale_SubScenario:event_freezeacpu_02_e_23,True,,9,surprise,,7,idle,,5,idle,,3,idle,,1,idle,,S_90,9,1.0,,,
event_freezeacpu_02_e_24,40030,event_freezeacpu_02_e,Speech,quiry,quiry,Locale_SubScenario:event_freezeacpu_02_e_24,True,,9,angry,,7,idle,,5,idle,,3,idle,,1,idle,,9,9,1.0,,,
event_freezeacpu_02_e_25,40030,event_freezeacpu_02_e,Monologue,,Monologue,Locale_SubScenario:event_freezeacpu_02_e_25,False,,9,angry,,7,idle,,5,idle,,3,idle,,1,idle,,9,9,1.0,,,
event_freezeacpu_02_e_26,40030,event_freezeacpu_02_e,Self,,Self,Locale_SubScenario:event_freezeacpu_02_e_26,False,,9,angry,,7,idle,,5,idle,,3,idle,,1,idle,,3,3,1.0,,,
