id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/4/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,set_camera_shake,fade
event_ce004_3_05_s_1,40057,event_ce004_3_05_s,Monologue,Locale_SubScenario:event_ce004_3_05_s_1,False,EventScene_ce004_06,black,black,1.0,event_bgm_ce004_compte,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_3_05_s_2,40057,event_ce004_3_05_s,Monologue,Locale_SubScenario:event_ce004_3_05_s_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_3_05_s_3,40057,event_ce004_3_05_s,Speech,Locale_SubScenario:event_ce004_3_05_s_3,True,,1,ce004_06_01,1.0,,ce004_03_op,ce004_03_op,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_3_05_s_4,40057,event_ce004_3_05_s,Speech,Locale_SubScenario:event_ce004_3_05_s_4,True,,ce004_06_01,ce004_06_01,1.0,,rei,rei,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_3_05_s_5,40057,event_ce004_3_05_s,Speech,Locale_SubScenario:event_ce004_3_05_s_5,True,,ce004_06_01,ce004_06_01,1.0,,ce004_04_op_r,ce004_04_op_r,ce004_04_op_r,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,
event_ce004_3_05_s_6,40057,event_ce004_3_05_s,Speech,Locale_SubScenario:event_ce004_3_05_s_6,True,,ce004_06_01,ce004_06_02,1.0,,rei,rei,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,
event_ce004_3_05_s_7,40057,event_ce004_3_05_s,Speech,Locale_SubScenario:event_ce004_3_05_s_7,True,,ce004_06_02,ce004_06_02,1.0,,ce004_03_op,ce004_03_op,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,
event_ce004_3_05_s_8,40057,event_ce004_3_05_s,Speech,Locale_SubScenario:event_ce004_3_05_s_8,True,,ce004_06_02,ce004_06_02,1.0,,ce004_04_op_r,ce004_04_op_r,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,
event_ce004_3_05_s_9,40057,event_ce004_3_05_s,Speech,Locale_SubScenario:event_ce004_3_05_s_9,True,,ce004_06_02,ce004_06_01,1.0,,ce004_04_op_r,ce004_04_op_r,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,
event_ce004_3_05_s_10,40057,event_ce004_3_05_s,Speech,Locale_SubScenario:event_ce004_3_05_s_10,True,,ce004_06_01,ce004_06_01,1.0,,ce004_04_op_r,ce004_04_op_r,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,
event_ce004_3_05_s_11,40057,event_ce004_3_05_s,Speech,Locale_SubScenario:event_ce004_3_05_s_11,True,,ce004_06_01,ce004_06_01,1.0,,ce004_04_op_r,ce004_04_op_r,,OP_rightup,idle,,,,,,,,,,,,,,,,,,,,
