id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,conversation_id
event_dazzlingcupid_06_s_1,40029,event_dazzlingcupid_06_s,Narration,Narration,Locale_SubScenario:event_dazzlingcupid_06_s_1,False,Classroom,13,13,1.0,none,,,,,,,,
event_dazzlingcupid_06_s_2,40029,event_dazzlingcupid_06_s,Narration,Narration,Locale_SubScenario:event_dazzlingcupid_06_s_2,False,,13,13,1.0,bgm_story_backtonormal,,,,,,,,
event_dazzlingcupid_06_s_3,40029,event_dazzlingcupid_06_s,Narration,Narration,Locale_SubScenario:event_dazzlingcupid_06_s_3,False,,13,13,1.0,,,,,,,,,
event_dazzlingcupid_06_s_4,40029,event_dazzlingcupid_06_s,Narration,Narration,Locale_SubScenario:event_dazzlingcupid_06_s_4,False,,13,13,1.0,,,,,,,,,
event_dazzlingcupid_06_s_5,40029,event_dazzlingcupid_06_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_06_s_5,True,,13,4,0.7,,tia,tia,5,surprise,naga,3,idle,
event_dazzlingcupid_06_s_6,40029,event_dazzlingcupid_06_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_06_s_6,True,,4,4,1.0,,tia,,5,delight,,3,idle,
event_dazzlingcupid_06_s_7,40029,event_dazzlingcupid_06_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_06_s_7,True,,4,4,1.0,,naga,,5,delight,,3,worry,
event_dazzlingcupid_06_s_8,40029,event_dazzlingcupid_06_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_06_s_8,True,,4,4,1.0,,naga,,5,delight,,3,worry,
event_dazzlingcupid_06_s_9,40029,event_dazzlingcupid_06_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_06_s_9,True,,5,50,0.7,,tia,,5,surprise,,3,worry,
event_dazzlingcupid_06_s_10,40029,event_dazzlingcupid_06_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_06_s_10,True,,50,50,1.0,,tia,,5,delight,,3,worry,
event_dazzlingcupid_06_s_11,40029,event_dazzlingcupid_06_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_06_s_11,False,,3,30,0.7,,naga,,5,delight,,3,void,
event_dazzlingcupid_06_s_12,40029,event_dazzlingcupid_06_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_06_s_12,True,,30,30,1.0,,naga,,5,delight,,3,surprise,
event_dazzlingcupid_06_s_13,40029,event_dazzlingcupid_06_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_06_s_13,True,,30,30,1.0,,naga,,5,delight,,3,delight,
event_dazzlingcupid_06_s_14,40029,event_dazzlingcupid_06_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_06_s_14,True,,30,4,1.0,,tia,,5,shy,,3,delight,
event_dazzlingcupid_06_s_15,40029,event_dazzlingcupid_06_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_06_s_15,True,,4,4,1.0,,naga,,5,shy,,3,angry,
event_dazzlingcupid_06_s_16,40029,event_dazzlingcupid_06_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_06_s_16,True,,4,4,1.0,,tia,,5,worry,,3,angry,
event_dazzlingcupid_06_s_17,40029,event_dazzlingcupid_06_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_06_s_17,True,,4,4,1.0,,naga,,5,worry,,3,idle,
event_dazzlingcupid_06_s_18,40029,event_dazzlingcupid_06_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_06_s_18,True,,4,4,1.0,,naga,,5,worry,,3,idle,
event_dazzlingcupid_06_s_19,40029,event_dazzlingcupid_06_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_06_s_19,True,,4,50,0.7,,tia,,5,delight,,3,idle,
event_dazzlingcupid_06_s_20,40029,event_dazzlingcupid_06_s,Speech,tia,Locale_SubScenario:event_dazzlingcupid_06_s_20,True,,50,50,1.0,,tia,,5,delight,,3,idle,
