id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker
event_absolute1_03_e_1,40086,event_absolute1_03_e,Narration,ludmilla,Locale_MainScenario:event_absolute1_03_e_1,False,tove,3,idle,ludmilla,1,idle,alice,13,idle,BriefingRoom,black,black,1.0,sfx_scn_dishdebris,bgm_story_inwonderland,
event_absolute1_03_e_2,40086,event_absolute1_03_e,Speech,ludmilla,Locale_MainScenario:event_absolute1_03_e_2,True,,3,idle,,1,idle,,13,idle,,10,10,1.0,,,ludmilla
event_absolute1_03_e_3,40086,event_absolute1_03_e,Speech,alice,Locale_MainScenario:event_absolute1_03_e_3,True,,3,idle,,1,idle,,13,delight,,10,12,1.3,,,alice
event_absolute1_03_e_4,40086,event_absolute1_03_e,Speech,alice,Locale_MainScenario:event_absolute1_03_e_4,True,,3,idle,,1,idle,,13,surprise,,12,12,1.0,,,alice
event_absolute1_03_e_5,40086,event_absolute1_03_e,Speech,alice,Locale_MainScenario:event_absolute1_03_e_5,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,alice
event_absolute1_03_e_6,40086,event_absolute1_03_e,Speech,alice,Locale_MainScenario:event_absolute1_03_e_6,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,alice
event_absolute1_03_e_7,40086,event_absolute1_03_e,Speech,alice,Locale_MainScenario:event_absolute1_03_e_7,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,alice
event_absolute1_03_e_8,40086,event_absolute1_03_e,Speech,ludmilla,Locale_MainScenario:event_absolute1_03_e_8,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,ludmilla
event_absolute1_03_e_9,40086,event_absolute1_03_e,Speech,ludmilla,Locale_MainScenario:event_absolute1_03_e_9,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,ludmilla
event_absolute1_03_e_10,40086,event_absolute1_03_e,Speech,ludmilla,Locale_MainScenario:event_absolute1_03_e_10,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,ludmilla
event_absolute1_03_e_11,40086,event_absolute1_03_e,Speech,tove,Locale_MainScenario:event_absolute1_03_e_11,True,,3,idle,,1,idle,,13,idle,,12,2,1.3,,,tove
event_absolute1_03_e_12,40086,event_absolute1_03_e,Speech,tove,Locale_MainScenario:event_absolute1_03_e_12,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,tove
event_absolute1_03_e_13,40086,event_absolute1_03_e,Speech,ludmilla,Locale_MainScenario:event_absolute1_03_e_13,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,ludmilla
event_absolute1_03_e_14,40086,event_absolute1_03_e,Narration,ludmilla,Locale_MainScenario:event_absolute1_03_e_14,False,,3,idle,,1,idle,,13,idle,,black,black,1.0,sfx_scn_walkiesignal,,
event_absolute1_03_e_15,40086,event_absolute1_03_e,Speech,alice,Locale_MainScenario:event_absolute1_03_e_15,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,alice
event_absolute1_03_e_16,40086,event_absolute1_03_e,Speech,alice,Locale_MainScenario:event_absolute1_03_e_16,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,alice
event_absolute1_03_e_17,40086,event_absolute1_03_e,Speech,ludmilla,Locale_MainScenario:event_absolute1_03_e_17,True,,3,idle,,1,think,,13,idle,,12,12,1.0,,,ludmilla
event_absolute1_03_e_18,40086,event_absolute1_03_e,Speech,alice,Locale_MainScenario:event_absolute1_03_e_18,True,,3,idle,,1,think,,13,idle,,12,12,1.0,,,alice
event_absolute1_03_e_19,40086,event_absolute1_03_e,Speech,alice,Locale_MainScenario:event_absolute1_03_e_19,True,,3,idle,,1,think,,13,idle,,12,12,1.0,,,alice
event_absolute1_03_e_20,40086,event_absolute1_03_e,Speech,ludmilla,Locale_MainScenario:event_absolute1_03_e_20,True,,3,idle,,1,think,,13,idle,,12,12,1.0,,,ludmilla
event_absolute1_03_e_21,40086,event_absolute1_03_e,Speech,ludmilla,Locale_MainScenario:event_absolute1_03_e_21,True,,3,idle,,1,think,,13,idle,,12,12,1.0,,,ludmilla
event_absolute1_03_e_22,40086,event_absolute1_03_e,Speech,ludmilla,Locale_MainScenario:event_absolute1_03_e_22,True,,3,idle,,1,think,,13,idle,,12,12,1.0,,,ludmilla
event_absolute1_03_e_23,40086,event_absolute1_03_e,Speech,tove,Locale_MainScenario:event_absolute1_03_e_23,True,,3,special,,1,think,,13,idle,,3,S_30,1.3,,,tove
