id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/1/hide_char_id,characters/2/hide_char_id,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,fade
event_ce006_2_intermission_01_1,40080,event_ce006_2_intermission_01,Monologue,privaty,Locale_MainScenario:event_ce006_2_intermission_01_1,False,anis,1,void,neon,3,idle,rapi,5,idle,privaty,13,idle,hermin,15,idle,bunkerofartist,13,S_130,1.3,none,,,,,,,,,,,
event_ce006_2_intermission_01_2,40080,event_ce006_2_intermission_01,Speech,privaty,Locale_MainScenario:event_ce006_2_intermission_01_2,True,,1,void,,3,idle,,5,idle,,13,idle,,15,idle,,S_130,S_130,1.0,,privaty,,,,,,,,,,
event_ce006_2_intermission_01_3,40080,event_ce006_2_intermission_01,Speech,privaty,Locale_MainScenario:event_ce006_2_intermission_01_3,True,,1,void,,3,idle,,5,idle,,13,idle,,15,idle,,S_130,S_130,1.0,,privaty,,,,,,,,,,
event_ce006_2_intermission_01_4,40080,event_ce006_2_intermission_01,Speech,hermin,Locale_MainScenario:event_ce006_2_intermission_01_4,True,,1,void,,3,idle,,5,idle,,13,idle,,15,idle,,S_130,14,1.3,,hermin,,,,,,,,,,
event_ce006_2_intermission_01_5,40080,event_ce006_2_intermission_01,Speech,privaty,Locale_MainScenario:event_ce006_2_intermission_01_5,True,,1,void,,3,idle,,5,idle,,13,idle,,15,idle,,14,14,1.0,,privaty,,,,,,,,,,
event_ce006_2_intermission_01_6,40080,event_ce006_2_intermission_01,Speech,privaty,Locale_MainScenario:event_ce006_2_intermission_01_6,True,,1,void,,3,idle,,5,idle,,13,idle,,15,idle,,14,14,1.0,,privaty,,,,,,,,,,
event_ce006_2_intermission_01_7,40080,event_ce006_2_intermission_01,Self,privaty,Locale_MainScenario:event_ce006_2_intermission_01_7,False,,1,void,,3,idle,,5,idle,,13,idle,,15,idle,,14,14,1.0,collab_bgm_sb_menu_bosschallenge,,,,,,,,,,,
event_ce006_2_intermission_01_8,40080,event_ce006_2_intermission_01,Speech,anis,Locale_MainScenario:event_ce006_2_intermission_01_8,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,10,10,1.0,,anis,,,,,,,,,,
event_ce006_2_intermission_01_9,40080,event_ce006_2_intermission_01,Speech,privaty,Locale_MainScenario:event_ce006_2_intermission_01_9,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,14,14,1.0,,privaty,,,,,,,,,,
event_ce006_2_intermission_01_10,40080,event_ce006_2_intermission_01,Speech,privaty,Locale_MainScenario:event_ce006_2_intermission_01_10,True,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,14,14,1.0,,privaty,,,,,,,,,,
