id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_1yearalready_04_1,130003,event_1yearalready_04,Speech,eunhwa,eunhwa,Locale_SubScenario:event_1yearalready_04_1,True,Armory,4,4,1.0,bgm_story_languor,,,eunhwa,3,idle,,vesti,5,idle,,,,,,,,
event_1yearalready_04_2,130003,event_1yearalready_04,Speech,vesti,vesti,Locale_SubScenario:event_1yearalready_04_2,True,,4,4,1.0,,,,,3,idle,,,5,idle,,,,,,,,
event_1yearalready_04_3,130003,event_1yearalready_04,Speech,eunhwa,eunhwa,Locale_SubScenario:event_1yearalready_04_3,True,,4,4,1.0,,,,,3,idle,,,5,idle,,,,,,,,
event_1yearalready_04_4,130003,event_1yearalready_04,Self,,,Locale_SubScenario:event_1yearalready_04_4,False,,4,4,1.0,,,,,3,idle,,,5,idle,,,,,,,,
event_1yearalready_04_5,130003,event_1yearalready_04,Speech,eunhwa,eunhwa,Locale_SubScenario:event_1yearalready_04_5,True,,4,30,1.0,,,,,3,idle,,,5,idle,,,,,,,,
event_1yearalready_04_6,130003,event_1yearalready_04,Narration,,,Locale_SubScenario:event_1yearalready_04_6,False,,30,30,1.0,,sfx_scn_paperopen,,,3,idle,,,5,idle,,,,,,,,
event_1yearalready_04_7,130003,event_1yearalready_04,Speech,eunhwa,eunhwa,Locale_SubScenario:event_1yearalready_04_7,True,,30,30,1.0,,,,,3,angry,,,5,idle,,,,,,,,
event_1yearalready_04_8,130003,event_1yearalready_04,Speech,eunhwa,eunhwa,Locale_SubScenario:event_1yearalready_04_8,False,,30,30,1.0,,,,,3,angry,,,5,idle,,,,,,,,
event_1yearalready_04_9,130003,event_1yearalready_04,Speech,vesti,vesti,Locale_SubScenario:event_1yearalready_04_9,True,,30,XS_50,1.0,,,,,3,angry,,,5,idle,,,,,,,,
event_1yearalready_04_10,130003,event_1yearalready_04,Speech,eunhwa,eunhwa,Locale_SubScenario:event_1yearalready_04_10,True,,XS_50,4,1.0,,,,,3,idle,,,5,idle,,,,,,,,
event_1yearalready_04_11,130003,event_1yearalready_04,Self,,,Locale_SubScenario:event_1yearalready_04_11,False,,4,4,1.0,,,,,3,idle,,,5,idle,,,,,,,,
event_1yearalready_04_12,130003,event_1yearalready_04,Speech,eunhwa,eunhwa,Locale_SubScenario:event_1yearalready_04_12,True,,4,4,1.0,,,,,3,idle,,,5,idle,,,,,,,,
event_1yearalready_04_13,130003,event_1yearalready_04,Speech,eunhwa,eunhwa,Locale_SubScenario:event_1yearalready_04_13,True,,4,4,1.0,,,,,3,idle,,,5,idle,,,,,,,,
event_1yearalready_04_14,130003,event_1yearalready_04,Speech,emma,emma,Locale_SubScenario:event_1yearalready_04_14,True,,4,2,1.0,,,,,3,idle,,,5,idle,,emma,1,idle,,,,
event_1yearalready_04_15,130003,event_1yearalready_04,Speech,eunhwa,eunhwa,Locale_SubScenario:event_1yearalready_04_15,False,,2,2,1.0,,,,,3,angry,,,5,idle,,,1,idle,,,,
event_1yearalready_04_16,130003,event_1yearalready_04,Speech,emma,emma,Locale_SubScenario:event_1yearalready_04_16,True,,2,2,1.0,,,,,3,angry,,,5,idle,,,1,idle,,,,
event_1yearalready_04_17,130003,event_1yearalready_04,Speech,emma,emma,Locale_SubScenario:event_1yearalready_04_17,True,,2,2,1.0,,,,,3,angry,,,5,idle,,,1,idle,,,,
event_1yearalready_04_18,130003,event_1yearalready_04,Speech,eunhwa,eunhwa,Locale_SubScenario:event_1yearalready_04_18,True,,2,2,1.0,,,,,3,angry,,,5,idle,,,1,idle,,,,
event_1yearalready_04_19,130003,event_1yearalready_04,Speech,emma,emma,Locale_SubScenario:event_1yearalready_04_19,True,,2,2,1.0,,,,,3,angry,,,5,idle,,,1,delight,,,,
event_1yearalready_04_20,130003,event_1yearalready_04,Speech,emma,emma,Locale_SubScenario:event_1yearalready_04_20,True,,2,2,1.0,,,,,3,angry,,,5,idle,,,1,delight,,,,
event_1yearalready_04_21,130003,event_1yearalready_04,Speech,eunhwa,eunhwa,Locale_SubScenario:event_1yearalready_04_21,True,,2,2,1.0,,,,,3,angry,,,5,idle,,,1,delight,,,,
event_1yearalready_04_22,130003,event_1yearalready_04,Speech,emma,emma,Locale_SubScenario:event_1yearalready_04_22,True,,2,2,1.0,,,,,3,angry,,,5,idle,,,1,idle,,,,
event_1yearalready_04_23,130003,event_1yearalready_04,Speech,eunhwa,eunhwa,Locale_SubScenario:event_1yearalready_04_23,True,,2,2,1.0,,,,,3,idle,,,5,idle,,,1,idle,,,,
event_1yearalready_04_24,130003,event_1yearalready_04,Speech,emma,emma,Locale_SubScenario:event_1yearalready_04_24,True,,2,2,1.0,,,,,3,idle,,,5,idle,,,1,delight,,,,
event_1yearalready_04_25,130003,event_1yearalready_04,Speech,eunhwa,eunhwa,Locale_SubScenario:event_1yearalready_04_25,True,,2,2,1.0,,,,,3,idle,,,5,idle,,,1,delight,,,,
event_1yearalready_04_26,130003,event_1yearalready_04,Speech,emma,emma,Locale_SubScenario:event_1yearalready_04_26,True,,2,10,1.0,,,,,3,idle,,,5,idle,,,1,idle,,,,
event_1yearalready_04_27,130003,event_1yearalready_04,Speech,emma,emma,Locale_SubScenario:event_1yearalready_04_27,True,,10,10,1.0,,,,,3,idle,,,5,idle,,,1,idle,,,,
event_1yearalready_04_28,130003,event_1yearalready_04,Self,,,Locale_SubScenario:event_1yearalready_04_28,False,,10,10,1.0,,,,,3,idle,,,5,idle,,,1,idle,,,,
event_1yearalready_04_29,130003,event_1yearalready_04,Speech,emma,emma,Locale_SubScenario:event_1yearalready_04_29,True,,10,10,1.0,,,,,3,idle,,,5,idle,,,1,idle,,,,
event_1yearalready_04_30,130003,event_1yearalready_04,Speech,emma,emma,Locale_SubScenario:event_1yearalready_04_30,True,,10,10,1.0,,,,,3,idle,,,5,idle,,,1,idle,,,,
event_1yearalready_04_31,130003,event_1yearalready_04,Speech,privaty_d,privaty_d,Locale_SubScenario:event_1yearalready_04_31,True,,13,13,1.0,,,,,3,idle,,,5,idle,,,1,idle,,privaty_d,13,idle
