id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_overzone1_01_e_1,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_1,True,RuinIndoor,10,10,1.0,event_bgm_overzone,,dorothy,1,think,snowwhite,3,idle,,hongryeon,13,no,,rapunzel,15,sad,
event_overzone1_01_e_2,80303,event_overzone1_01_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_01_e_2,True,,10,113,2.0,,,,1,think,,3,idle,,,13,no,,,15,sad,
event_overzone1_01_e_3,80303,event_overzone1_01_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_01_e_3,True,,113,113,1.0,,,,1,think,,3,idle,,,13,no,,,15,sad,
event_overzone1_01_e_4,80303,event_overzone1_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_01_e_4,False,,113,113,1.0,,,,1,think,,3,idle,,,13,no,,,15,sad,
event_overzone1_01_e_5,80303,event_overzone1_01_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone1_01_e_5,True,,113,31,2.0,,,,1,think,,3,pain,,,13,no,,,15,sad,
event_overzone1_01_e_6,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_6,True,,31,31,1.0,,,,1,think,,3,pain,,,13,no,,,15,sad,
event_overzone1_01_e_7,80303,event_overzone1_01_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone1_01_e_7,True,,31,31,1.0,,,,1,think,,3,idle,,,13,no,,,15,sad,
event_overzone1_01_e_8,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_8,True,,31,31,1.0,,,,1,think,,3,idle,,,13,no,,,15,sad,
event_overzone1_01_e_9,80303,event_overzone1_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_01_e_9,True,,150,150,1.0,,,,1,think,,3,idle,,,13,no,,,15,sad,
event_overzone1_01_e_10,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_10,True,,10,10,1.0,,,,1,think,,3,idle,,,13,no,,,15,sad,
event_overzone1_01_e_11,80303,event_overzone1_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_01_e_11,True,,150,150,1.0,,,,1,think,,3,idle,,,13,no,,,15,sad,
event_overzone1_01_e_12,80303,event_overzone1_01_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_01_e_12,True,,10,10,1.0,,,,1,worry,,3,idle,,,13,no,,,15,sad,
event_overzone1_01_e_13,80303,event_overzone1_01_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_01_e_13,True,,150,150,1.0,,,,1,worry,,3,idle,,,13,no,,,15,sad,
