id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade,characters/4/hide_char_id,characters/5/hide_char_id,set_filter_01
event_ce006_2_01_s_1,40080,event_ce006_2_01_s,Speech,oldman_h,oldman_h,Locale_MainScenario:event_ce006_2_01_s_1,False,oldman_h,14,idle,artcity_d,XS_140,XS_140,1.0,collab_bgm_sb_hallofrecords,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_s_2,40080,event_ce006_2_01_s,Speech,oldman_h,oldman_h,Locale_MainScenario:event_ce006_2_01_s_2,True,,14,idle,,XS_140,XS_140,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_s_3,40080,event_ce006_2_01_s,Speech,oldman_h,oldman_h,Locale_MainScenario:event_ce006_2_01_s_3,True,,14,idle,,XS_140,XS_1400,1.3,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_s_4,40080,event_ce006_2_01_s,Self,oldman_h,,Locale_MainScenario:event_ce006_2_01_s_4,False,,14,idle,,XS_1400,XS_1400,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_s_5,40080,event_ce006_2_01_s,Speech,oldman_h,oldman_h,Locale_MainScenario:event_ce006_2_01_s_5,True,,14,idle,,XS_1400,XS_1400,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_s_6,40080,event_ce006_2_01_s,Narration,oldman_h,,Locale_MainScenario:event_ce006_2_01_s_6,False,,14,idle,,XS_1400,XS_1400,1.0,,sfx_scn_emergencysignal,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_s_7,40080,event_ce006_2_01_s,Monologue,oldman_h,,Locale_MainScenario:event_ce006_2_01_s_7,False,,14,idle,,XS_1400,XS_1400,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_s_8,40080,event_ce006_2_01_s,Speech,oldman_h,machinesound,Locale_MainScenario:event_ce006_2_01_s_8,False,,14,idle,,XS_1400,XS_1400,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_s_9,40080,event_ce006_2_01_s,Speech,oldman_h,machinesound,Locale_MainScenario:event_ce006_2_01_s_9,False,,14,idle,,XS_1400,XS_1400,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_s_10,40080,event_ce006_2_01_s,Speech,oldman_h,oldman_h,Locale_MainScenario:event_ce006_2_01_s_10,True,,14,idle,,XS_1400,XS_140,1.3,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_s_11,40080,event_ce006_2_01_s,Speech,oldman_h,machinesound,Locale_MainScenario:event_ce006_2_01_s_11,False,,14,idle,,XS_140,XS_140,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_s_12,40080,event_ce006_2_01_s,Speech,oldman_h,oldman_h,Locale_MainScenario:event_ce006_2_01_s_12,True,,14,idle,,XS_140,XS_140,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_s_13,40080,event_ce006_2_01_s,Speech,oldman_h,oldman_h,Locale_MainScenario:event_ce006_2_01_s_13,False,,14,idle,,XS_140,14,1.3,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_01_s_14,40080,event_ce006_2_01_s,Monologue,oldman_h,,Locale_MainScenario:event_ce006_2_01_s_14,False,,14,idle,,black,black,1.0,,,ce006_npc_01,4,idle,ce006_03,2,no,elegg,12,surprise,oldman_h,,,,,,,,,,,,,
event_ce006_2_01_s_15,40080,event_ce006_2_01_s,Self,elegg,,Locale_MainScenario:event_ce006_2_01_s_15,False,,,,,1,1,1.0,,,,4,idle,,2,no,,12,surprise,,,,,,,,,,,,,,
event_ce006_2_01_s_16,40080,event_ce006_2_01_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_01_s_16,False,,,,,1,1,1.0,,,,4,surprise,,2,no,,12,surprise,,,,,,,,,,,,,,
event_ce006_2_01_s_17,40080,event_ce006_2_01_s,Speech,ce006_npc_01,ce006_npc_01,Locale_MainScenario:event_ce006_2_01_s_17,False,,,,,1,3,1.5,,,,4,surprise,,2,no,,12,surprise,,,,,,,,,,,,,,
event_ce006_2_01_s_18,40080,event_ce006_2_01_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_01_s_18,False,,,,,3,3,1.0,,,,4,surprise,,2,no,,12,surprise,,,,,,,,,,,,,,
event_ce006_2_01_s_19,40080,event_ce006_2_01_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_01_s_19,True,,,,,S_120,S_120,1.0,,,,4,surprise,,2,no,,12,special,,,,,,,,,,,,,,
event_ce006_2_01_s_20,40080,event_ce006_2_01_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_01_s_20,True,,,,,S_120,S_120,1.0,,,,4,surprise,,2,no,,12,special,,,,,,,,,,,,,,
event_ce006_2_01_s_21,40080,event_ce006_2_01_s,Self,elegg,,Locale_MainScenario:event_ce006_2_01_s_21,False,,,,,S_120,S_120,1.0,,,,4,surprise,,2,no,,12,special,,,,,,,,,,,,,,
event_ce006_2_01_s_22,40080,event_ce006_2_01_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_01_s_22,True,,,,,3,3,1.0,,,,4,surprise,,2,sad,,12,special,,,,,,,,,,,,,,
event_ce006_2_01_s_23,40080,event_ce006_2_01_s,Speech,ce006_npc_01,ce006_npc_01,Locale_MainScenario:event_ce006_2_01_s_23,False,,,,,3,3,1.0,,,,4,idle,,2,sad,,12,special,,,,,,,,,,,,,,
event_ce006_2_01_s_24,40080,event_ce006_2_01_s,Speech,ce006_npc_01,ce006_npc_01,Locale_MainScenario:event_ce006_2_01_s_24,True,,,,,3,3,1.0,,,,4,idle,,2,sad,,12,special,,,,,,,,,,,,,,
event_ce006_2_01_s_25,40080,event_ce006_2_01_s,Speech,ce006_npc_01,ce006_npc_01,Locale_MainScenario:event_ce006_2_01_s_25,True,,,,,3,3,1.0,,,,4,idle,,2,sad,,12,special,,,,,,,,,,,,,,
event_ce006_2_01_s_26,40080,event_ce006_2_01_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_01_s_26,True,,,,,3,3,1.0,,,,4,idle,,2,no,,12,special,,,,,,,,,,,,,,
event_ce006_2_01_s_27,40080,event_ce006_2_01_s,Speech,ce006_npc_01,ce006_npc_01,Locale_MainScenario:event_ce006_2_01_s_27,True,,,,,3,3,1.0,,,,4,idle,,2,no,,12,special,,,,,,,,,,,,,,
event_ce006_2_01_s_28,40080,event_ce006_2_01_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_01_s_28,True,,,,,3,3,1.0,,,,4,idle,,2,no,,12,special,,,,,,,,,,,,,,
event_ce006_2_01_s_29,40080,event_ce006_2_01_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_01_s_29,True,,,,,S_120,S_120,1.0,,,,4,idle,,2,no,,12,special,,,,,,,,,,,,,,
event_ce006_2_01_s_30,40080,event_ce006_2_01_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_01_s_30,True,,,,,S_120,S_120,1.0,,,,4,idle,,2,no,,12,special,,,,,,,,,,,,,,
event_ce006_2_01_s_31,40080,event_ce006_2_01_s,Self,elegg,,Locale_MainScenario:event_ce006_2_01_s_31,False,,,,,S_120,S_120,1.0,,,,4,idle,,2,no,,12,special,,,,,,,,,,,,,,
event_ce006_2_01_s_32,40080,event_ce006_2_01_s,Speech,ce006_npc_01,ce006_npc_01,Locale_MainScenario:event_ce006_2_01_s_32,True,,,,,3,3,1.0,,,,4,idle,,2,no,,12,special,,,,,,,,,,,,,,
event_ce006_2_01_s_33,40080,event_ce006_2_01_s,Self,ce006_npc_01,,Locale_MainScenario:event_ce006_2_01_s_33,False,,,,,3,3,1.0,,,,4,idle,,2,no,,12,special,,,,,,,,,,,,,,
event_ce006_2_01_s_34,40080,event_ce006_2_01_s,Self,ce006_npc_01,,Locale_MainScenario:event_ce006_2_01_s_34,False,,,,,3,3,1.0,,,,4,idle,,2,no,,12,special,,,,,,,,,,,,,,
event_ce006_2_01_s_35,40080,event_ce006_2_01_s,Monologue,rapi,,Locale_MainScenario:event_ce006_2_01_s_35,False,privaty,14,idle,,black,black,1.0,none,,neon,4,idle,rapi,2,idle,ce006_01,12,idle,,ce006_npc_01,ce006_03,elegg,roam,16,idle,anis,6,angry,black,,,
