id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_brandnewyear_03_e_1,40005,event_brandnewyear_03_e,Narration,Locale_SubScenario:event_brandnewyear_03_e_1,False,Stage,1,1,1.0,bgm_story_backtonormal,,,,,julia_p,1,"expression_0,idle",
event_brandnewyear_03_e_2,40005,event_brandnewyear_03_e,Narration,Locale_SubScenario:event_brandnewyear_03_e_2,False,,1,1,1.0,,,,,,,1,"expression_0,idle",
event_brandnewyear_03_e_3,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_3,True,,1,S_10,1.0,,solemnofficer,solemnofficer,,,,1,idle,
event_brandnewyear_03_e_4,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_4,True,,S_10,S_10,1.0,,solemnofficer,solemnofficer,,,,1,idle,
event_brandnewyear_03_e_5,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_5,True,,S_10,1,1.0,,colorfulvip,colorfulvip,,,,1,idle,
event_brandnewyear_03_e_6,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_6,True,,1,1,1.0,,colorfulvip,colorfulvip,,,,1,idle,
event_brandnewyear_03_e_7,40005,event_brandnewyear_03_e,Narration,Locale_SubScenario:event_brandnewyear_03_e_7,False,Restaurant,black,black,1.0,none,,,,,,1,idle,
event_brandnewyear_03_e_8,40005,event_brandnewyear_03_e,Choice,Locale_SubScenario:event_brandnewyear_03_e_8,False,,1,1,1.0,,,,event_brandnewyear_03_e_10,,,1,idle,
event_brandnewyear_03_e_9,40005,event_brandnewyear_03_e,Choice,Locale_SubScenario:event_brandnewyear_03_e_9,False,,1,1,1.0,,,,event_brandnewyear_03_e_10,,,1,idle,
event_brandnewyear_03_e_10,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_10,True,,1,1,1.0,bgm_inark,julia_p,julia,,,,1,delight,
event_brandnewyear_03_e_11,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_11,True,,1,S_10,1.0,,julia_p,julia,,,,1,delight,
event_brandnewyear_03_e_12,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_12,True,,S_10,S_10,1.0,,julia_p,julia,,,,1,delight,
event_brandnewyear_03_e_13,40005,event_brandnewyear_03_e,Self,Locale_SubScenario:event_brandnewyear_03_e_13,False,,S_10,S_10,1.0,,julia_p,,,,,1,idle,
event_brandnewyear_03_e_14,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_14,True,,S_10,S_10,1.0,,julia_p,julia,,,,1,idle,
event_brandnewyear_03_e_15,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_15,True,,S_10,S_10,1.0,,julia_p,julia,,,,1,idle,
event_brandnewyear_03_e_16,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_16,True,,S_10,S_10,1.0,,julia_p,julia,,,,1,idle,
event_brandnewyear_03_e_17,40005,event_brandnewyear_03_e,Self,Locale_SubScenario:event_brandnewyear_03_e_17,False,,S_10,S_10,1.0,,julia_p,,,,,1,idle,
event_brandnewyear_03_e_18,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_18,True,,S_10,1,1.0,,julia_p,julia,,,,1,idle,
event_brandnewyear_03_e_19,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_19,True,,1,1,1.0,,julia_p,julia,,,,1,idle,
event_brandnewyear_03_e_20,40005,event_brandnewyear_03_e,Speech,Locale_SubScenario:event_brandnewyear_03_e_20,True,,1,1,1.0,,julia_p,julia,,,,1,idle,
