id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,play_sound
event_neverland2_04_s_1,40035,event_neverland2_04_s,Monologue,Locale_MainScenario:event_neverland2_04_s_1,False,ludmilla_w,1,think,Drain,black,black,1.0,bgm_story_fairytalesend_if,,,,,,,,
event_neverland2_04_s_2,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_2,True,,1,think,,10,10,1.0,,ludmilla_w,ludmilla_w,,,,,,
event_neverland2_04_s_3,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_3,True,,1,think,,10,10,1.0,,ludmilla_w,ludmilla_w,,,,,,
event_neverland2_04_s_4,40035,event_neverland2_04_s,Self,Locale_MainScenario:event_neverland2_04_s_4,False,,1,think,,10,10,1.0,,,,,,,,,
event_neverland2_04_s_5,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_5,True,,1,think,,10,10,1.0,,ludmilla_w,ludmilla_w,,,,,,
event_neverland2_04_s_6,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_6,False,,1,think,,10,10,1.0,,ludmilla_w,ludmilla_w,,,,,,
event_neverland2_04_s_7,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_7,True,,1,think,,10,10,1.0,,ludmilla_w,ludmilla_w,,,,,,
event_neverland2_04_s_8,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_8,True,,1,think,,10,100,1.0,,ludmilla_w,ludmilla_w,,,,,,
event_neverland2_04_s_9,40035,event_neverland2_04_s,Self,Locale_MainScenario:event_neverland2_04_s_9,False,,1,think,,100,100,1.0,,,,,,,,,
event_neverland2_04_s_10,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_10,True,,1,think,,100,100,1.0,,ludmilla_w,ludmilla_w,,,,,,
event_neverland2_04_s_11,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_11,True,,1,think,,100,100,1.0,,ludmilla_w,ludmilla_w,,,,,,
event_neverland2_04_s_12,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_12,True,,1,think,,100,100,1.0,,ludmilla_w,ludmilla_w,,,,,,
event_neverland2_04_s_13,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_13,True,,1,think,,100,100,1.0,,ludmilla_w,ludmilla_w,,,,,,
event_neverland2_04_s_14,40035,event_neverland2_04_s,Self,Locale_MainScenario:event_neverland2_04_s_14,False,,1,think,,100,10,1.0,,,,,,,,,
event_neverland2_04_s_15,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_15,True,,1,think,,10,10,1.0,,ludmilla_w,ludmilla_w,,,,,,
event_neverland2_04_s_16,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_16,True,,1,think,,10,10,1.0,,ludmilla_w,ludmilla_w,,,,,,
event_neverland2_04_s_17,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_17,True,,1,think,,10,10,1.0,,ludmilla_w,ludmilla_w,,,,,,
event_neverland2_04_s_18,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_18,True,,1,think,,10,10,1.0,,ludmilla_w,ludmilla_w,,,,,,
event_neverland2_04_s_19,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_19,True,,1,think,,10,10,1.0,,ludmilla_w,ludmilla_w,,,,,,
event_neverland2_04_s_20,40035,event_neverland2_04_s,Self,Locale_MainScenario:event_neverland2_04_s_20,False,,1,think,,10,10,1.0,,,,,,,,,
event_neverland2_04_s_21,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_21,True,,1,idle,,10,100,1.0,,ludmilla_w,ludmilla_w,,,,,,
event_neverland2_04_s_22,40035,event_neverland2_04_s,Narration,Locale_MainScenario:event_neverland2_04_s_22,False,,1,idle,IceLand_n,black,black,1.0,none,,,ludmilla_w,belorta,1,idle,black,
event_neverland2_04_s_23,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_23,False,,,,,1,1,1.0,,belorta,belorta,,,1,idle,,
event_neverland2_04_s_24,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_24,True,,,,,1,1,1.0,,belorta,belorta,,,1,idle,,
event_neverland2_04_s_25,40035,event_neverland2_04_s,Narration,Locale_MainScenario:event_neverland2_04_s_25,False,,,,,1,3,2.0,,,,,,1,idle,,sfx_scn_whooosh_combo
event_neverland2_04_s_26,40035,event_neverland2_04_s,Speech,Locale_MainScenario:event_neverland2_04_s_26,True,,,,,3,1,2.0,bgm_story_weare,belorta,belorta,,,1,worry,,
