id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_coinsinrush1_01_s_1,40088,event_coinsinrush1_01_s,Narration,Locale_MainScenario:event_coinsinrush1_01_s_1,False,City_d,70,70,1.0,none,,,,,milk,1,idle,,,,,
event_coinsinrush1_01_s_2,40088,event_coinsinrush1_01_s,Speech,Locale_MainScenario:event_coinsinrush1_01_s_2,True,,70,S_10,1.0,bgm_inark,milk,milk,,,,1,idle,,,,,
event_coinsinrush1_01_s_3,40088,event_coinsinrush1_01_s,Self,Locale_MainScenario:event_coinsinrush1_01_s_3,False,,S_10,S_10,1.0,,milk,,,,,1,idle,,,,,
event_coinsinrush1_01_s_4,40088,event_coinsinrush1_01_s,Speech,Locale_MainScenario:event_coinsinrush1_01_s_4,True,,S_10,S_10,1.0,,milk,milk,,,,1,angry,,,,,
event_coinsinrush1_01_s_5,40088,event_coinsinrush1_01_s,Monologue,Locale_MainScenario:event_coinsinrush1_01_s_5,False,,S_10,S_10,1.0,,milk,,sfx_scn_putdownhard,,,1,angry,,,,,
event_coinsinrush1_01_s_6,40088,event_coinsinrush1_01_s,Speech,Locale_MainScenario:event_coinsinrush1_01_s_6,True,,S_10,S_100,1.0,,milk,milk,,,,1,angry,,,,,
event_coinsinrush1_01_s_7,40088,event_coinsinrush1_01_s,Speech,Locale_MainScenario:event_coinsinrush1_01_s_7,True,,S_100,S_100,1.0,,milk,milk,,,,1,angry,,,,,
event_coinsinrush1_01_s_8,40088,event_coinsinrush1_01_s,Speech,Locale_MainScenario:event_coinsinrush1_01_s_8,True,,S_100,S_100,1.0,,milk,milk,,,,1,angry,,,,,
event_coinsinrush1_01_s_9,40088,event_coinsinrush1_01_s,Speech,Locale_MainScenario:event_coinsinrush1_01_s_9,True,,S_100,S_100,1.0,,milk,milk,,,,1,angry,,,,,
event_coinsinrush1_01_s_10,40088,event_coinsinrush1_01_s,Speech,Locale_MainScenario:event_coinsinrush1_01_s_10,True,,S_100,S_100,1.0,,milk,milk,,,,1,angry,,,,,
event_coinsinrush1_01_s_11,40088,event_coinsinrush1_01_s,Self,Locale_MainScenario:event_coinsinrush1_01_s_11,False,,S_100,S_100,1.0,,milk,,,,,1,angry,,,,,
event_coinsinrush1_01_s_12,40088,event_coinsinrush1_01_s,Speech,Locale_MainScenario:event_coinsinrush1_01_s_12,True,,S_100,S_10,1.0,,milk,milk,,,,1,surprise,,,,,
event_coinsinrush1_01_s_13,40088,event_coinsinrush1_01_s,Speech,Locale_MainScenario:event_coinsinrush1_01_s_13,True,,S_10,S_10,1.0,,milk,milk,,,,1,surprise,,,,,
event_coinsinrush1_01_s_14,40088,event_coinsinrush1_01_s,Monologue,Locale_MainScenario:event_coinsinrush1_01_s_14,False,,S_10,S_10,1.0,,milk,,,,,1,surprise,,,,,
event_coinsinrush1_01_s_15,40088,event_coinsinrush1_01_s,Monologue,Locale_MainScenario:event_coinsinrush1_01_s_15,False,,S_10,S_10,1.0,,milk,,,,,1,idle,,,,,
event_coinsinrush1_01_s_16,40088,event_coinsinrush1_01_s,Speech,Locale_MainScenario:event_coinsinrush1_01_s_16,True,,S_10,S_100,1.0,,milk,milk,,,,1,idle,,,,,
event_coinsinrush1_01_s_17,40088,event_coinsinrush1_01_s,Monologue,Locale_MainScenario:event_coinsinrush1_01_s_17,False,,S_100,S_100,1.0,,milk,,,,,1,idle,,,,,
event_coinsinrush1_01_s_18,40088,event_coinsinrush1_01_s,Speech,Locale_MainScenario:event_coinsinrush1_01_s_18,True,,S_100,1700,1.0,,milk,milk,,,,1,idle,,,,,
event_coinsinrush1_01_s_19,40088,event_coinsinrush1_01_s,Self,Locale_MainScenario:event_coinsinrush1_01_s_19,False,,1700,1700,1.0,,milk,,,,,1,idle,,,,,
event_coinsinrush1_01_s_20,40088,event_coinsinrush1_01_s,Monologue,Locale_MainScenario:event_coinsinrush1_01_s_20,False,,1700,1700,1.0,,milk,,,,,1,idle,,,,,
event_coinsinrush1_01_s_21,40088,event_coinsinrush1_01_s,Speech,Locale_MainScenario:event_coinsinrush1_01_s_21,True,,S_100,S_100,1.0,,milk,milk,,,,1,idle,,,,,
event_coinsinrush1_01_s_22,40088,event_coinsinrush1_01_s,Speech,Locale_MainScenario:event_coinsinrush1_01_s_22,True,,S_100,S_100,1.0,,milk,milk,,,,1,idle,,,,,
