id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,play_sound,set_camera_shake,characters/1/hide_char_id,characters/0/hide_char_id
event_icedragonsaga2_03_s_1,40065,event_icedragonsaga2_03_s,Speech,narration,Locale_MainScenario:event_icedragonsaga2_03_s_1,False,IceLand_01,black,black,1.0,event_bgm_icedragonsaga_curious,,,,,,,,,,,
event_icedragonsaga2_03_s_2,40065,event_icedragonsaga2_03_s,Speech,narration,Locale_MainScenario:event_icedragonsaga2_03_s_2,False,,black,black,1.0,,,,,,,,,,,,
event_icedragonsaga2_03_s_3,40065,event_icedragonsaga2_03_s,Speech,narration,Locale_MainScenario:event_icedragonsaga2_03_s_3,False,,black,black,1.0,,,,,,,,,,,,
event_icedragonsaga2_03_s_4,40065,event_icedragonsaga2_03_s,Speech,narration,Locale_MainScenario:event_icedragonsaga2_03_s_4,False,,black,black,1.0,,guillotine_w,2,no,maiden_w,12,no,,,,,
event_icedragonsaga2_03_s_5,40065,event_icedragonsaga2_03_s,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_03_s_5,True,,1,1,1.0,,,2,no,,12,no,maiden_w,,,,
event_icedragonsaga2_03_s_6,40065,event_icedragonsaga2_03_s,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_03_s_6,True,,1,1,1.0,,,2,no,,12,no,maiden_w,,,,
event_icedragonsaga2_03_s_7,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_7,True,,1,1,1.0,,,2,sad,,12,no,guillotine_w,,,,
event_icedragonsaga2_03_s_8,40065,event_icedragonsaga2_03_s,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_03_s_8,True,,1,1,1.0,,,2,sad,,12,no,maiden_w,,,,
event_icedragonsaga2_03_s_9,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_9,True,,1,1,1.0,,,2,sad,,12,no,guillotine_w,,,,
event_icedragonsaga2_03_s_10,40065,event_icedragonsaga2_03_s,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_03_s_10,True,,1,1,1.0,,,2,sad,,12,no,maiden_w,,,,
event_icedragonsaga2_03_s_11,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_11,True,,1,XS_20,1.0,,,2,think,,12,no,guillotine_w,,,,
event_icedragonsaga2_03_s_12,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_12,True,,XS_20,XS_20,1.0,,,2,worry,,12,no,guillotine_w,,,,
event_icedragonsaga2_03_s_13,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_13,True,,XS_20,XS_20,1.0,,,2,worry,,12,no,guillotine_w,,,,
event_icedragonsaga2_03_s_14,40065,event_icedragonsaga2_03_s,Speech,narration,Locale_MainScenario:event_icedragonsaga2_03_s_14,False,,black,black,1.0,,,2,worry,,12,no,,,,,
event_icedragonsaga2_03_s_15,40065,event_icedragonsaga2_03_s,Speech,narration,Locale_MainScenario:event_icedragonsaga2_03_s_15,False,,black,black,1.0,none,,2,worry,,12,no,,,,,
event_icedragonsaga2_03_s_16,40065,event_icedragonsaga2_03_s,Narration,,Locale_MainScenario:event_icedragonsaga2_03_s_16,False,,black,black,1.0,,,2,worry,,12,no,,sfx_scn_comichit,Low_2,,
event_icedragonsaga2_03_s_17,40065,event_icedragonsaga2_03_s,Speech,narration,Locale_MainScenario:event_icedragonsaga2_03_s_17,False,,black,black,1.0,,,2,worry,,12,no,,,,,
event_icedragonsaga2_03_s_18,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_18,True,,XS_200,XS_20,1.0,,,2,sad,,12,no,guillotine_w,,,,
event_icedragonsaga2_03_s_19,40065,event_icedragonsaga2_03_s,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_03_s_19,False,,XS_20,XS_20,1.0,,,2,sad,,12,surprise,guillotine_w,,,,
event_icedragonsaga2_03_s_20,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_20,True,,XS_20,XS_20,1.0,,,2,sad,,12,surprise,guillotine_w,,,,
event_icedragonsaga2_03_s_21,40065,event_icedragonsaga2_03_s,Speech,narration,Locale_MainScenario:event_icedragonsaga2_03_s_21,False,,black,black,1.0,,,2,sad,,12,surprise,,,,,
event_icedragonsaga2_03_s_22,40065,event_icedragonsaga2_03_s,Narration,,Locale_MainScenario:event_icedragonsaga2_03_s_22,False,,black,black,1.0,,,2,sad,,12,surprise,,sfx_scn_comichit,Low_2,,
event_icedragonsaga2_03_s_23,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_23,True,,XS_200,XS_20,1.0,,,2,sad,,12,surprise,guillotine_w,,,,
event_icedragonsaga2_03_s_24,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_24,True,,XS_20,XS_20,1.0,,,2,sad,,12,surprise,guillotine_w,,,,
event_icedragonsaga2_03_s_25,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_25,True,,XS_20,XS_20,1.0,,,2,sad,,12,surprise,guillotine_w,,,,
event_icedragonsaga2_03_s_26,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_26,True,,XS_20,XS_20,1.0,,,2,sad,,12,surprise,guillotine_w,,,,
event_icedragonsaga2_03_s_27,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_27,True,,XS_20,XS_200,0.5,bgm_story_monochrome,,2,worry,,12,surprise,guillotine_w,,,,
event_icedragonsaga2_03_s_28,40065,event_icedragonsaga2_03_s,Speech,narration,Locale_MainScenario:event_icedragonsaga2_03_s_28,False,,black,black,1.0,,,2,worry,,12,surprise,,,,,
event_icedragonsaga2_03_s_29,40065,event_icedragonsaga2_03_s,Speech,narration,Locale_MainScenario:event_icedragonsaga2_03_s_29,False,,black,black,1.0,,,2,worry,,12,surprise,,,,,
event_icedragonsaga2_03_s_30,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_30,True,,XS_20,XS_20,1.0,,,2,worry,,12,surprise,guillotine_w,,,,
event_icedragonsaga2_03_s_31,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_31,True,,XS_20,XS_20,1.0,,,2,worry,,12,surprise,guillotine_w,,,,
event_icedragonsaga2_03_s_32,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_32,True,,XS_20,XS_20,1.0,,,2,worry,,12,surprise,guillotine_w,,,,
event_icedragonsaga2_03_s_33,40065,event_icedragonsaga2_03_s,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_03_s_33,True,,XS_20,1,1.0,,,2,worry,,12,worry,maiden_w,,,,
event_icedragonsaga2_03_s_34,40065,event_icedragonsaga2_03_s,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_03_s_34,True,,1,1,1.0,,,2,worry,,12,worry,maiden_w,,,,
event_icedragonsaga2_03_s_35,40065,event_icedragonsaga2_03_s,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_03_s_35,True,,1,1,1.0,,,2,worry,,12,worry,maiden_w,,,,
event_icedragonsaga2_03_s_36,40065,event_icedragonsaga2_03_s,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_03_s_36,True,,1,1,1.0,,,2,worry,,12,worry,maiden_w,,,,
event_icedragonsaga2_03_s_37,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_37,False,,1,1,1.0,,,2,think,,12,worry,guillotine_w,,,,
event_icedragonsaga2_03_s_38,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_38,True,,1,1,1.0,,,2,idle,,12,worry,guillotine_w,,,,
event_icedragonsaga2_03_s_39,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_39,True,,1,1,1.0,,,2,idle,,12,worry,guillotine_w,,,,
event_icedragonsaga2_03_s_40,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_40,True,,1,1,1.0,,,2,idle,,12,worry,guillotine_w,,,,
event_icedragonsaga2_03_s_41,40065,event_icedragonsaga2_03_s,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga2_03_s_41,True,,1,1,1.0,,,2,idle,,12,shy,maiden_w,,,,
event_icedragonsaga2_03_s_42,40065,event_icedragonsaga2_03_s,Speech,guillotine_w,Locale_MainScenario:event_icedragonsaga2_03_s_42,True,,1,1,1.0,,,2,idle,,12,shy,guillotine_w,,,,
