id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_boomsday_05_e_1,40040,event_boomsday_05_e,Monologue,Locale_SubScenario:event_boomsday_05_e_1,False,TechIndoor_n,black,black,1.0,none,,,,,,,elegg,3,idle,,,
event_boomsday_05_e_2,40040,event_boomsday_05_e,Self,Locale_SubScenario:event_boomsday_05_e_2,False,,15,15,1.0,bgm_story_fairytalesend_if,,,,,,,,3,idle,,,
event_boomsday_05_e_3,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_3,True,,15,3,1.7,,elegg,elegg,,,,,,3,idle,,,
event_boomsday_05_e_4,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_4,True,,3,3,1.0,,elegg,elegg,,,,,,3,idle,,,
event_boomsday_05_e_5,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_5,True,,3,S_30,1.0,,elegg,elegg,,,,,,3,idle,,,
event_boomsday_05_e_6,40040,event_boomsday_05_e,Monologue,Locale_SubScenario:event_boomsday_05_e_6,False,,black,black,1.0,,,,,,,,,3,idle,,,
event_boomsday_05_e_7,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_7,True,,S_30,S_30,1.0,,elegg,elegg,,,,,,3,idle,,,
event_boomsday_05_e_8,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_8,True,,S_30,S_30,1.0,,elegg,elegg,,,,,,3,idle,,,
event_boomsday_05_e_9,40040,event_boomsday_05_e,Self,Locale_SubScenario:event_boomsday_05_e_9,False,,S_30,S_30,1.0,,,,,,,,,3,idle,,,
event_boomsday_05_e_10,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_10,True,,S_30,S_30,1.0,,elegg,elegg,,,,,,3,delight,,,
event_boomsday_05_e_11,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_11,True,,S_30,S_30,1.0,,elegg,elegg,,,,,,3,delight,,,
event_boomsday_05_e_12,40040,event_boomsday_05_e,Monologue,Locale_SubScenario:event_boomsday_05_e_12,False,,S_30,S_30,1.0,,,,,,,,,3,idle,,,
event_boomsday_05_e_13,40040,event_boomsday_05_e,Narration,Locale_SubScenario:event_boomsday_05_e_13,False,,black,black,1.0,,,,sfx_scn_spark,Low_2,,,,3,idle,,,
event_boomsday_05_e_14,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_14,True,,S_30,S_30,1.0,,elegg,elegg,,,,,,3,worry,,,
event_boomsday_05_e_15,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_15,True,,S_30,S_30,1.0,,elegg,elegg,,,,,,3,worry,,,
event_boomsday_05_e_16,40040,event_boomsday_05_e,Self,Locale_SubScenario:event_boomsday_05_e_16,False,,S_30,S_30,1.0,,,,,,,,,3,worry,,,
event_boomsday_05_e_17,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_17,True,,S_30,S_300,1.0,,elegg,elegg,,,,,,3,think,,,
event_boomsday_05_e_18,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_18,True,,S_300,S_300,1.0,,elegg,elegg,,,,,,3,think,,,
event_boomsday_05_e_19,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_19,True,,S_300,S_300,1.0,,elegg,elegg,,,,,,3,think,,,
event_boomsday_05_e_20,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_20,True,,S_300,S_300,1.0,,elegg,elegg,,,,,,3,think,,,
event_boomsday_05_e_21,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_21,True,,S_300,S_300,1.0,,elegg,elegg,,,,,,3,think,,,
event_boomsday_05_e_22,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_22,True,,S_300,S_300,1.0,,elegg,elegg,,,,,,3,think,,,
event_boomsday_05_e_23,40040,event_boomsday_05_e,Speech,Locale_SubScenario:event_boomsday_05_e_23,True,,S_300,S_300,1.0,,elegg,elegg,,,,,,3,think,,,
event_boomsday_05_e_24,40040,event_boomsday_05_e,Self,Locale_SubScenario:event_boomsday_05_e_24,False,,S_300,S_300,1.0,,,,,,,,,3,think,,,
