id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,play_sound
d_ex_seayouagain_14_1,80600,d_ex_seayouagain_14,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_14_1,False,LogHouseOut_d,17,17,1.0,none,Blur_Low,,,,,,,,
d_ex_seayouagain_14_2,80600,d_ex_seayouagain_14,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_14_2,False,,17,170,1.0,bgm_story_splashpad,Blur_Low,,,,,,,,
d_ex_seayouagain_14_3,80600,d_ex_seayouagain_14,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_14_3,False,,170,170,1.0,,Blur_Low,,,,,,,,
d_ex_seayouagain_14_4,80600,d_ex_seayouagain_14,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_14_4,False,,170,170,1.0,,Blur_Low,pepper_s,3,idle,yan_s,1,idle,,
d_ex_seayouagain_14_5,80600,d_ex_seayouagain_14,Speech,pepper_s,Locale_SuddenStory:d_ex_seayouagain_14_5,True,,170,3,1.0,,,,3,idle,,1,idle,pepper_s,
d_ex_seayouagain_14_6,80600,d_ex_seayouagain_14,Self,Self,Locale_SuddenStory:d_ex_seayouagain_14_6,False,,3,3,1.0,,,,3,idle,,1,idle,,
d_ex_seayouagain_14_7,80600,d_ex_seayouagain_14,Speech,pepper_s,Locale_SuddenStory:d_ex_seayouagain_14_7,True,,3,3,1.0,,,,3,surprise,,1,idle,pepper_s,
d_ex_seayouagain_14_8,80600,d_ex_seayouagain_14,Speech,yan_s,Locale_SuddenStory:d_ex_seayouagain_14_8,True,,3,1,1.0,,,,3,surprise,,1,etc,yan_s,
d_ex_seayouagain_14_9,80600,d_ex_seayouagain_14,Speech,yan_s,Locale_SuddenStory:d_ex_seayouagain_14_9,True,,1,1,1.0,,,,3,surprise,,1,etc,yan_s,
d_ex_seayouagain_14_10,80600,d_ex_seayouagain_14,Speech,yan_s,Locale_SuddenStory:d_ex_seayouagain_14_10,True,,1,1,1.0,,,,3,surprise,,1,etc,yan_s,
d_ex_seayouagain_14_11,80600,d_ex_seayouagain_14,Speech,pepper_s,Locale_SuddenStory:d_ex_seayouagain_14_11,True,,1,3,1.0,,,,3,surprise,,1,etc,pepper_s,
d_ex_seayouagain_14_12,80600,d_ex_seayouagain_14,Self,Self,Locale_SuddenStory:d_ex_seayouagain_14_12,False,,3,3,1.0,,,,3,surprise,,1,etc,,
d_ex_seayouagain_14_13,80600,d_ex_seayouagain_14,Speech,pepper_s,Locale_SuddenStory:d_ex_seayouagain_14_13,True,,3,XS_30,1.0,,,,3,angry,,1,etc,pepper_s,
d_ex_seayouagain_14_14,80600,d_ex_seayouagain_14,Speech,pepper_s,Locale_SuddenStory:d_ex_seayouagain_14_14,True,,XS_30,XS_30,1.0,,,,3,angry,,1,etc,pepper_s,
d_ex_seayouagain_14_15,80600,d_ex_seayouagain_14,Speech,pepper_s,Locale_SuddenStory:d_ex_seayouagain_14_15,True,,XS_30,XS_30,1.0,,,,3,angry,,1,etc,pepper_s,
