id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_footstepwalkrun2_04_e_1,40066,event_footstepwalkrun2_04_e,Narration,Locale_MainScenario:event_footstepwalkrun2_04_e_1,False,Wasteland_03_n,black,black,1.0,none,,,,,rapi_m,1,idle,redhood,13,idle
event_footstepwalkrun2_04_e_2,40066,event_footstepwalkrun2_04_e,Speech,Locale_MainScenario:event_footstepwalkrun2_04_e_2,True,,113,113,1.0,,rapi_m,rapi_m,,,,1,idle,,13,idle
event_footstepwalkrun2_04_e_3,40066,event_footstepwalkrun2_04_e,Speech,Locale_MainScenario:event_footstepwalkrun2_04_e_3,True,,113,113,1.0,,redhood,redhood,,,,1,idle,,13,idle
event_footstepwalkrun2_04_e_4,40066,event_footstepwalkrun2_04_e,Speech,Locale_MainScenario:event_footstepwalkrun2_04_e_4,True,,113,113,1.0,bgm_areah,rapi_m,rapi_m,,,,1,idle,,13,idle
event_footstepwalkrun2_04_e_5,40066,event_footstepwalkrun2_04_e,Speech,Locale_MainScenario:event_footstepwalkrun2_04_e_5,True,,113,113,1.0,,redhood,redhood,,,,1,idle,,13,idle
event_footstepwalkrun2_04_e_6,40066,event_footstepwalkrun2_04_e,Speech,Locale_MainScenario:event_footstepwalkrun2_04_e_6,True,,113,1,1.0,,rapi_m,rapi_m,,,,1,idle,,13,idle
event_footstepwalkrun2_04_e_7,40066,event_footstepwalkrun2_04_e,Speech,Locale_MainScenario:event_footstepwalkrun2_04_e_7,True,,1,10,1.0,,rapi_m,rapi_m,,,,1,idle,,13,idle
event_footstepwalkrun2_04_e_8,40066,event_footstepwalkrun2_04_e,Speech,Locale_MainScenario:event_footstepwalkrun2_04_e_8,True,,10,10,1.0,,rapi_m,rapi_m,,,,1,idle,,13,idle
event_footstepwalkrun2_04_e_9,40066,event_footstepwalkrun2_04_e,Speech,Locale_MainScenario:event_footstepwalkrun2_04_e_9,True,,10,130,1.0,,redhood,redhood,,,,1,idle,,13,idle
event_footstepwalkrun2_04_e_10,40066,event_footstepwalkrun2_04_e,Speech,Locale_MainScenario:event_footstepwalkrun2_04_e_10,True,,130,1300,1.0,,redhood,redhood,,,,1,idle,,13,idle
