id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,jump_target,set_filter_01
event_neverland2_epilogue_1,40035,event_neverland2_epilogue,Monologue,Locale_MainScenario:event_neverland2_epilogue_1,False,CommanderRoom,5,3,1.0,event_bgm_neverland_hugme_day,,,,,,,,,,,,,,,
event_neverland2_epilogue_2,40035,event_neverland2_epilogue,Monologue,Locale_MainScenario:event_neverland2_epilogue_2,False,,3,3,1.0,,,,,,,,,,,,,,,,
event_neverland2_epilogue_3,40035,event_neverland2_epilogue,Monologue,Locale_MainScenario:event_neverland2_epilogue_3,False,,3,3,1.0,,,,,,,,,,,,,,,,
event_neverland2_epilogue_4,40035,event_neverland2_epilogue,Narration,Locale_MainScenario:event_neverland2_epilogue_4,False,,3,30,1.0,,sfx_scn_knock,,,,,,,,,,,,,,
event_neverland2_epilogue_5,40035,event_neverland2_epilogue,Self,Locale_MainScenario:event_neverland2_epilogue_5,False,,30,30,1.0,,,,,,,,,,,,,,,,
event_neverland2_epilogue_6,40035,event_neverland2_epilogue,Narration,Locale_MainScenario:event_neverland2_epilogue_6,False,,30,30,1.0,,sfx_scn_autodooropen,,,,,,,,,,,,,,
event_neverland2_epilogue_7,40035,event_neverland2_epilogue,Speech,Locale_MainScenario:event_neverland2_epilogue_7,True,,30,10,1.0,,,ludmilla,ludmilla,ludmilla,1,idle,,,,,,,,,
event_neverland2_epilogue_8,40035,event_neverland2_epilogue,Self,Locale_MainScenario:event_neverland2_epilogue_8,False,,10,10,1.0,,,,,,1,idle,,,,,,,,,
event_neverland2_epilogue_9,40035,event_neverland2_epilogue,Self,Locale_MainScenario:event_neverland2_epilogue_9,False,,10,10,1.0,,,,,,1,idle,,,,,,,,,
event_neverland2_epilogue_10,40035,event_neverland2_epilogue,Speech,Locale_MainScenario:event_neverland2_epilogue_10,True,,10,10,1.0,,,ludmilla,ludmilla,,1,idle,,,,,,,,,
event_neverland2_epilogue_11,40035,event_neverland2_epilogue,Speech,Locale_MainScenario:event_neverland2_epilogue_11,True,,10,10,1.0,,,ludmilla,ludmilla,,1,idle,,,,,,,,,
event_neverland2_epilogue_12,40035,event_neverland2_epilogue,Self,Locale_MainScenario:event_neverland2_epilogue_12,False,,10,10,1.0,,,,,,1,idle,,,,,,,,,
event_neverland2_epilogue_13,40035,event_neverland2_epilogue,Speech,Locale_MainScenario:event_neverland2_epilogue_13,True,,10,10,1.0,,,ludmilla,ludmilla,,1,idle,,,,,,,,,
event_neverland2_epilogue_14,40035,event_neverland2_epilogue,Speech,Locale_MainScenario:event_neverland2_epilogue_14,True,,10,100,1.0,,,ludmilla,ludmilla,,1,idle,,,,,,,,,
event_neverland2_epilogue_15,40035,event_neverland2_epilogue,Speech,Locale_MainScenario:event_neverland2_epilogue_15,True,,100,100,1.0,,,ludmilla,ludmilla,,1,idle,,,,,,,,,
event_neverland2_epilogue_16,40035,event_neverland2_epilogue,Speech,Locale_MainScenario:event_neverland2_epilogue_16,True,,100,100,1.0,,,ludmilla,ludmilla,,1,idle,,,,,,,,,
event_neverland2_epilogue_17,40035,event_neverland2_epilogue,Speech,Locale_MainScenario:event_neverland2_epilogue_17,True,,100,100,1.0,,,ludmilla,ludmilla,,1,idle,,,,,,,,,
event_neverland2_epilogue_18,40035,event_neverland2_epilogue,Self,Locale_MainScenario:event_neverland2_epilogue_18,False,,100,100,1.0,,,,,,1,idle,,,,,,,,,
event_neverland2_epilogue_19,40035,event_neverland2_epilogue,Speech,Locale_MainScenario:event_neverland2_epilogue_19,True,,100,10,1.0,,,ludmilla,ludmilla,,1,idle,,,,,,,,,
event_neverland2_epilogue_20,40035,event_neverland2_epilogue,Speech,Locale_MainScenario:event_neverland2_epilogue_20,True,,10,10,1.0,,,ludmilla,ludmilla,,1,idle,,,,,,,,,
event_neverland2_epilogue_21,40035,event_neverland2_epilogue,Speech,Locale_MainScenario:event_neverland2_epilogue_21,True,,10,10,1.0,,,ludmilla,ludmilla,,1,idle,,,,,,,,,
event_neverland2_epilogue_22,40035,event_neverland2_epilogue,Self,Locale_MainScenario:event_neverland2_epilogue_22,False,,10,10,1.0,,,,,,1,idle,,,,,,,,,
event_neverland2_epilogue_23,40035,event_neverland2_epilogue,Narration,Locale_MainScenario:event_neverland2_epilogue_23,False,ToyShop,black,black,1.0,,sfx_scn_toyshopbell,,,,1,idle,belorta,13,idle,mica,15,idle,black,,
event_neverland2_epilogue_24,40035,event_neverland2_epilogue,Speech,Locale_MainScenario:event_neverland2_epilogue_24,True,,XS_150,XS_150,1.0,,,mica,mica,,1,idle,,13,idle,,15,idle,,,
event_neverland2_epilogue_25,40035,event_neverland2_epilogue,Speech,Locale_MainScenario:event_neverland2_epilogue_25,True,,10,10,1.0,,,ludmilla,ludmilla,,1,idle,,13,idle,,15,idle,,,
event_neverland2_epilogue_26,40035,event_neverland2_epilogue,Speech,Locale_MainScenario:event_neverland2_epilogue_26,True,,10,10,1.0,,,ludmilla,ludmilla,,1,idle,,13,idle,,15,idle,,,
event_neverland2_epilogue_27,40035,event_neverland2_epilogue,Speech,Locale_MainScenario:event_neverland2_epilogue_27,True,,10,1315,1.0,,,mica,mica,,1,idle,,13,idle,,15,delight,,,
event_neverland2_epilogue_28,40035,event_neverland2_epilogue,Speech,Locale_MainScenario:event_neverland2_epilogue_28,True,,1315,1315,1.0,,,belorta,belorta,,1,idle,,13,idle,,15,delight,,,
