id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,fade,effects/0/stop_effect_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
event_secretgarden_06_e_1,40063,event_secretgarden_06_e,Monologue,Locale_SubScenario:event_secretgarden_06_e_1,False,flora,3,delight,SecretGarden,black,black,1.0,event_bgm_neverland_hugme_day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_e_2,40063,event_secretgarden_06_e,Narration,Locale_SubScenario:event_secretgarden_06_e_2,False,,3,delight,,black,black,1.0,,sfx_scn_waterpourground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_e_3,40063,event_secretgarden_06_e,Speech,Locale_SubScenario:event_secretgarden_06_e_3,True,,3,delight,,300,300,1.0,,,flora,flora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_e_4,40063,event_secretgarden_06_e,Speech,Locale_SubScenario:event_secretgarden_06_e_4,True,,3,delight,,300,300,1.0,,,flora,flora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_e_5,40063,event_secretgarden_06_e,Speech,Locale_SubScenario:event_secretgarden_06_e_5,False,,3,delight,,300,30,1.0,,,flora,flora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_e_6,40063,event_secretgarden_06_e,Speech,Locale_SubScenario:event_secretgarden_06_e_6,True,,3,sad,,30,30,1.0,,,flora,flora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_e_7,40063,event_secretgarden_06_e,Speech,Locale_SubScenario:event_secretgarden_06_e_7,True,,3,delight,,30,30,1.0,,,flora,flora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_e_8,40063,event_secretgarden_06_e,Speech,Locale_SubScenario:event_secretgarden_06_e_8,True,,3,delight,,30,30,1.0,,,flora,flora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_e_9,40063,event_secretgarden_06_e,Monologue,Locale_SubScenario:event_secretgarden_06_e_9,False,,5,delight,,black,black,1.0,,,flora,,flora,biscuit,1,idle,nero,13,sad,,,,,,,,,,,,,,,,,,,,,,,
event_secretgarden_06_e_10,40063,event_secretgarden_06_e,Speech,Locale_SubScenario:event_secretgarden_06_e_10,True,,,,,53,53,1.0,,,elegantwoman,elegantwoman,,,1,idle,,13,sad,,,,,,,,,,,,,,,,,,,,,,,
