id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_unbreakablesphere2_02_s_1,40076,event_unbreakablesphere2_02_s,Narration,Locale_MainScenario:event_unbreakablesphere2_02_s_1,False,BriefingRoom,black,black,1.0,bgm_story_beforethenextstep,,,,,mihara_b,1,idle,mana,13,idle,yuni_n,3,idle,mori,5,idle,,,,
event_unbreakablesphere2_02_s_2,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_2,True,,1300,130,1.0,,mana,mana,,,,1,idle,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_3,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_3,True,,130,113,1.0,,mihara_b,mihara_b,,,,1,idle,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_4,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_4,True,,113,113,1.0,,mana,mana,,,,1,idle,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_5,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_5,True,,113,113,1.0,,mihara_b,mihara_b,,,,1,idle,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_6,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_6,True,,113,113,1.0,,mana,mana,,,,1,idle,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_7,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_7,True,,100,100,1.0,,mihara_b,mihara_b,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_8,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_8,True,,100,10,1.0,,mihara_b,mihara_b,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_9,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_9,True,,10,113,1.0,,mana,mana,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_10,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_10,True,,113,113,1.0,,mihara_b,mihara_b,,,,1,idle,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_11,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_11,True,,113,113,1.0,,mihara_b,mihara_b,,,,1,idle,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_12,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_12,True,,113,113,1.0,,mana,mana,,,,1,idle,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_13,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_13,True,,113,113,1.0,,mana,mana,,,,1,idle,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_14,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_14,True,,113,10,1.0,,mihara_b,mihara_b,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_15,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_15,True,,10,10,1.0,,mihara_b,mihara_b,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_16,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_16,True,,10,100,0.5,,mihara_b,mihara_b,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_17,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_17,True,,100,100,1.0,,mihara_b,mihara_b,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_18,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_18,True,,1300,1300,1.0,,mana,mana,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_19,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_19,True,,100,100,1.0,,mihara_b,mihara_b,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_20,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_20,True,,1300,1300,1.0,,mana,mana,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_21,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_21,True,,100,100,1.0,,mihara_b,mihara_b,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_22,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_22,True,,100,100,1.0,,mihara_b,mihara_b,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_23,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_23,True,,100,100,1.0,,mihara_b,mihara_b,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_24,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_24,False,,1300,130,0.5,,mana,mana,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_25,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_25,True,,130,113,1.0,,mihara_b,mihara_b,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_26,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_26,True,,113,113,1.0,,mihara_b,mihara_b,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_27,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_27,True,,113,113,1.0,,mihara_b,mihara_b,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_28,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_28,True,,113,113,1.0,,mana,mana,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_29,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_29,True,,113,113,1.0,,mana,mana,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_30,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_30,False,,113,113,1.0,,mana,mana,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_31,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_31,True,,113,113,1.0,,mana,mana,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_32,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_32,True,,113,113,1.0,,mihara_b,mihara_b,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
event_unbreakablesphere2_02_s_33,40076,event_unbreakablesphere2_02_s,Speech,Locale_MainScenario:event_unbreakablesphere2_02_s_33,True,,113,113,1.0,,mana,mana,,,,1,think,,13,idle,,3,idle,,5,idle,,,,
