id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
event_bluewaterisland1_02_s_1,40020,event_bluewaterisland1_02_s,Speech,rapi_s,rapi_s,Locale_SubScenario:event_bluewaterisland1_02_s_1,True,ocean,5,5,1.0,bgm_story_cosmos,,,,anis,9,idle,,neon_s,7,idle,,rapi_s,5,idle,,pepper_s,3,idle,,mary_s,1,idle,,frima_s,13,idle,,yan_s,15,idle,
event_bluewaterisland1_02_s_2,40020,event_bluewaterisland1_02_s,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_02_s_2,True,,5,9,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_bluewaterisland1_02_s_3,40020,event_bluewaterisland1_02_s,Self,,Self,Locale_SubScenario:event_bluewaterisland1_02_s_3,False,,9,9,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_bluewaterisland1_02_s_4,40020,event_bluewaterisland1_02_s,Self,,Self,Locale_SubScenario:event_bluewaterisland1_02_s_4,False,,9,9,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_bluewaterisland1_02_s_5,40020,event_bluewaterisland1_02_s,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_02_s_5,True,,9,90,1.0,,,,,,9,no,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_bluewaterisland1_02_s_6,40020,event_bluewaterisland1_02_s,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_02_s_6,True,,90,90,1.0,,,,,,9,no,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_bluewaterisland1_02_s_7,40020,event_bluewaterisland1_02_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_02_s_7,False,,90,8,1.0,,,,,,9,idle,,,7,surprise,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_bluewaterisland1_02_s_8,40020,event_bluewaterisland1_02_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_02_s_8,True,,8,8,1.0,,,,,,9,idle,,,7,surprise,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_bluewaterisland1_02_s_9,40020,event_bluewaterisland1_02_s,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_02_s_9,True,,8,8,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_bluewaterisland1_02_s_10,40020,event_bluewaterisland1_02_s,Speech,yan_s,yan_s,Locale_SubScenario:event_bluewaterisland1_02_s_10,True,,15,15,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_bluewaterisland1_02_s_11,40020,event_bluewaterisland1_02_s,Speech,yan_s,yan_s,Locale_SubScenario:event_bluewaterisland1_02_s_11,True,,15,15,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,surprise,
event_bluewaterisland1_02_s_12,40020,event_bluewaterisland1_02_s,Speech,yan_s,yan_s,Locale_SubScenario:event_bluewaterisland1_02_s_12,True,,15,S_150,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,surprise,
event_bluewaterisland1_02_s_13,40020,event_bluewaterisland1_02_s,Speech,yan_s,yan_s,Locale_SubScenario:event_bluewaterisland1_02_s_13,True,,S_150,S_150,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,no,
event_bluewaterisland1_02_s_14,40020,event_bluewaterisland1_02_s,Speech,yan_s,yan_s,Locale_SubScenario:event_bluewaterisland1_02_s_14,True,,S_150,S_150,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,no,
event_bluewaterisland1_02_s_15,40020,event_bluewaterisland1_02_s,Self,,Self,Locale_SubScenario:event_bluewaterisland1_02_s_15,False,,S_150,S_150,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,no,
event_bluewaterisland1_02_s_16,40020,event_bluewaterisland1_02_s,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_02_s_16,True,,90,90,2.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_bluewaterisland1_02_s_17,40020,event_bluewaterisland1_02_s,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_02_s_17,True,,90,90,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_bluewaterisland1_02_s_18,40020,event_bluewaterisland1_02_s,Self,,Self,Locale_SubScenario:event_bluewaterisland1_02_s_18,False,,90,90,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_bluewaterisland1_02_s_19,40020,event_bluewaterisland1_02_s,Self,,Self,Locale_SubScenario:event_bluewaterisland1_02_s_19,False,,90,90,1.0,,,,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
event_bluewaterisland1_02_s_20,40020,event_bluewaterisland1_02_s,Speech,anis,anis,Locale_SubScenario:event_bluewaterisland1_02_s_20,True,,90,90,1.0,,,,,,9,void,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,
