id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_darkhero_02_s_1,40047,event_darkhero_02_s,Speech,trony,trony,Locale_SubScenario:event_darkhero_02_s_1,True,NikkeRoom,3,3,1.0,bgm_frostpillar,,,,,,,trony,3,sad
event_darkhero_02_s_2,40047,event_darkhero_02_s,Speech,trony,trony,Locale_SubScenario:event_darkhero_02_s_2,True,,3,3,1.0,,,,,,,,,3,sad
event_darkhero_02_s_3,40047,event_darkhero_02_s,Speech,trony,trony,Locale_SubScenario:event_darkhero_02_s_3,True,,3,3,1.0,,,,,,,,,3,sad
event_darkhero_02_s_4,40047,event_darkhero_02_s,Narration,trony,,Locale_SubScenario:event_darkhero_02_s_4,False,,3,3,1.0,,,,,,,,,3,sad
event_darkhero_02_s_5,40047,event_darkhero_02_s,Narration,trony,,Locale_SubScenario:event_darkhero_02_s_5,False,,3,3,1.0,,,,,,,,,3,sad
event_darkhero_02_s_6,40047,event_darkhero_02_s,Narration,trony,,Locale_SubScenario:event_darkhero_02_s_6,False,,3,3,1.0,,,,,,,,,3,sad
event_darkhero_02_s_7,40047,event_darkhero_02_s,Speech,trony,elegg,Locale_SubScenario:event_darkhero_02_s_7,False,,3,3,1.0,,,,,,,,,3,sad
event_darkhero_02_s_8,40047,event_darkhero_02_s,Speech,trony,elegg,Locale_SubScenario:event_darkhero_02_s_8,False,,3,3,1.0,,,,,,,,,3,sad
event_darkhero_02_s_9,40047,event_darkhero_02_s,Speech,trony,elegg,Locale_SubScenario:event_darkhero_02_s_9,False,,3,3,1.0,,,,,,,,,3,sad
event_darkhero_02_s_10,40047,event_darkhero_02_s,Speech,trony,trony,Locale_SubScenario:event_darkhero_02_s_10,True,,3,30,1.0,,,,,,,,,3,no
event_darkhero_02_s_11,40047,event_darkhero_02_s,Speech,trony,trony,Locale_SubScenario:event_darkhero_02_s_11,True,,30,30,1.0,,,,,,,,,3,no
event_darkhero_02_s_12,40047,event_darkhero_02_s,Narration,trony,,Locale_SubScenario:event_darkhero_02_s_12,False,,30,30,1.0,,,,,,,,,3,no
event_darkhero_02_s_13,40047,event_darkhero_02_s,Speech,trony,elegg,Locale_SubScenario:event_darkhero_02_s_13,False,,30,30,1.0,,,,,,,,,3,no
event_darkhero_02_s_14,40047,event_darkhero_02_s,Speech,trony,elegg,Locale_SubScenario:event_darkhero_02_s_14,False,,30,30,1.0,,,,,,,,,3,sad
event_darkhero_02_s_15,40047,event_darkhero_02_s,Speech,trony,elegg,Locale_SubScenario:event_darkhero_02_s_15,False,,30,30,1.0,,,,,,,,,3,sad
event_darkhero_02_s_16,40047,event_darkhero_02_s,Speech,trony,elegg,Locale_SubScenario:event_darkhero_02_s_16,False,,30,30,1.0,,,,,,,,,3,sad
event_darkhero_02_s_17,40047,event_darkhero_02_s,Speech,trony,elegg,Locale_SubScenario:event_darkhero_02_s_17,False,,30,30,1.0,,,,,,,,,3,sad
event_darkhero_02_s_18,40047,event_darkhero_02_s,Speech,trony,trony,Locale_SubScenario:event_darkhero_02_s_18,False,,30,30,1.0,,,,,,,,,3,sad
event_darkhero_02_s_19,40047,event_darkhero_02_s,Narration,trony,,Locale_SubScenario:event_darkhero_02_s_19,False,,30,30,1.0,,,,,,,,,3,sad
event_darkhero_02_s_20,40047,event_darkhero_02_s,Narration,trony,,Locale_SubScenario:event_darkhero_02_s_20,False,,30,30,1.0,,,,,,,,,3,sad
event_darkhero_02_s_21,40047,event_darkhero_02_s,Narration,trony,,Locale_SubScenario:event_darkhero_02_s_21,False,,30,30,1.0,,,,,,,,,3,sad
event_darkhero_02_s_22,40047,event_darkhero_02_s,Speech,trony,trony,Locale_SubScenario:event_darkhero_02_s_22,False,,30,300,1.0,,,,,,,,,3,surprise
event_darkhero_02_s_23,40047,event_darkhero_02_s,Narration,trony,,Locale_SubScenario:event_darkhero_02_s_23,False,,300,300,1.0,,,,,,,,,3,surprise
event_darkhero_02_s_24,40047,event_darkhero_02_s,Narration,trony,,Locale_SubScenario:event_darkhero_02_s_24,False,,300,300,1.0,,,,,,,,,3,surprise
event_darkhero_02_s_25,40047,event_darkhero_02_s,Narration,trony,,Locale_SubScenario:event_darkhero_02_s_25,False,,300,3,0.5,none,,,,,,,,3,surprise
event_darkhero_02_s_26,40047,event_darkhero_02_s,Narration,trony,,Locale_SubScenario:event_darkhero_02_s_26,False,,black,black,1.0,,black_without_dialogue,,,,,,,3,surprise
event_darkhero_02_s_27,40047,event_darkhero_02_s,Narration,trony,,Locale_SubScenario:event_darkhero_02_s_27,False,black,black,black,1.0,bgm_story_trauma,,sfx_scn_ringingear,Red,,,,,3,surprise
event_darkhero_02_s_28,40047,event_darkhero_02_s,Narration,trony,,Locale_SubScenario:event_darkhero_02_s_28,False,,3,3,1.0,,,,Red,,,,,3,surprise
event_darkhero_02_s_29,40047,event_darkhero_02_s,Narration,trony,,Locale_SubScenario:event_darkhero_02_s_29,False,,3,3,1.0,,,,Red,,,,,3,surprise
event_darkhero_02_s_30,40047,event_darkhero_02_s,Narration,trony,,Locale_SubScenario:event_darkhero_02_s_30,False,,3,30,1.0,,,,Red,,,,,3,surprise
