id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,play_sound,characters/2/hide_char_id,set_camera_shake,set_filter_01,characters/0/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id,set_filter_02
event_unbreakablesphere2_04_s_1,40076,event_unbreakablesphere2_04_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_04_s_1,True,mihara_b,1,idle,mori,13,idle,yuni_n,3,idle,SilentBeach,100,10,1.0,bgm_story_discussion,,,,,,,,,,,,,,,,
event_unbreakablesphere2_04_s_2,40076,event_unbreakablesphere2_04_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_04_s_2,True,,1,idle,,13,idle,,3,idle,,10,10,1.0,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_04_s_3,40076,event_unbreakablesphere2_04_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_04_s_3,True,,1,idle,,13,idle,,3,idle,,10,113,1.0,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_04_s_4,40076,event_unbreakablesphere2_04_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_04_s_4,True,,1,think,,13,idle,,3,idle,,113,113,1.0,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_04_s_5,40076,event_unbreakablesphere2_04_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_04_s_5,True,,1,think,,13,idle,,3,idle,,113,113,1.0,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_04_s_6,40076,event_unbreakablesphere2_04_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_04_s_6,True,,1,think,,13,idle,,3,idle,,113,113,1.0,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_04_s_7,40076,event_unbreakablesphere2_04_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_04_s_7,True,,1,idle,,13,idle,,3,idle,,113,113,1.0,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_04_s_8,40076,event_unbreakablesphere2_04_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_04_s_8,True,,1,idle,,13,idle,,3,idle,,113,113,1.0,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_04_s_9,40076,event_unbreakablesphere2_04_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_04_s_9,True,,1,idle,,13,idle,,3,idle,,113,113,1.0,,,,,,,,,,,,,,,,,
event_unbreakablesphere2_04_s_10,40076,event_unbreakablesphere2_04_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_04_s_10,True,,1,idle,,13,idle,,3,idle,,113,113,1.0,,,,,,,,,,,,,,,,,
