id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_ambient,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
snowfall_speech_npc_day10_05_1,80903,snowfall_speech_npc_day10_05,Narration,Locale_SubScenario:snowfall_speech_npc_day10_05_1,False,Trail_s,12,12,1.0,sfx_scn_digshovel,amb_so_trail_2,event_bgm_neverland_snowflakes_sunset,,,,,,eunhwa,1,idle,vesti,13,idle
snowfall_speech_npc_day10_05_2,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_2,True,,12,12,1.0,,,,vesti,vesti,,,,,1,idle,,13,idle
snowfall_speech_npc_day10_05_3,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_3,True,,12,12,1.0,,,,eunhwa,eunhwa,,,,,1,idle,,13,idle
snowfall_speech_npc_day10_05_4,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_4,True,,12,12,1.0,,,,eunhwa,eunhwa,,,,,1,idle,,13,idle
snowfall_speech_npc_day10_05_5,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_5,True,,12,30,1.0,,,,emma,emma,emma,3,idle,,1,surprise,,13,idle
snowfall_speech_npc_day10_05_6,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_6,True,,30,30,1.0,,,,emma,emma,,3,idle,,1,surprise,,13,idle
snowfall_speech_npc_day10_05_7,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_7,True,,30,30,1.0,,,,emma,emma,,3,idle,,1,surprise,,13,idle
snowfall_speech_npc_day10_05_8,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_8,True,,XS_130,XS_130,1.0,,,,vesti,vesti,,3,idle,,1,surprise,,13,idle
snowfall_speech_npc_day10_05_9,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_9,True,,XS_130,10,1.0,,,,eunhwa,eunhwa,,3,idle,,1,surprise,,13,idle
snowfall_speech_npc_day10_05_10,80903,snowfall_speech_npc_day10_05,Speech,Locale_SubScenario:snowfall_speech_npc_day10_05_10,True,,10,30,1.0,,,,emma,emma,,3,surprise,,1,surprise,,13,idle
