id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/1/hide_char_id,characters/0/hide_char_id,effects/1/set_effect_position,fade,set_filter_01,set_filter_02
event_cherryblossom_03_e_1,40011,event_cherryblossom_03_e,Narration,Locale_SubScenario:event_cherryblossom_03_e_1,False,none,13,13,1.0,sfx_scn_bonecrash,bgm_story_stormbreakers,,,,,,,,,,,,,,,
event_cherryblossom_03_e_2,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_2,False,CherryBlossom,13,130,0.7,,,skinnyman,skinnyman,sakura,1,idle,skinnyman,13,idle,,,,,,,
event_cherryblossom_03_e_3,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_3,False,,130,130,1.0,,,skinnyman,skinnyman,,1,idle,,13,idle,Low_2,,,,,,
event_cherryblossom_03_e_4,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_4,True,,130,130,1.0,,,skinnyman,skinnyman,,1,idle,,13,idle,,,,,,,
event_cherryblossom_03_e_5,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_5,True,,12,12,1.0,,,sakura,sakura,,1,idle,,13,idle,,,,,,,
event_cherryblossom_03_e_6,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_6,True,,12,12,1.0,,,sakura,sakura,,1,idle,,13,idle,,,,,,,
event_cherryblossom_03_e_7,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_7,True,,12,12,1.0,,,skinnyman,skinnyman,,1,idle,,13,idle,,,,,,,
event_cherryblossom_03_e_8,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_8,True,,12,12,1.0,,,sakura,sakura,,1,idle,,13,idle,,,,,,,
event_cherryblossom_03_e_9,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_9,True,,12,10,1.0,,,sakura,sakura,,1,angry,,13,idle,,,,,,,
event_cherryblossom_03_e_10,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_10,True,,10,10,1.0,,,sakura,sakura,,1,angry,,13,idle,,,,,,,
event_cherryblossom_03_e_11,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_11,True,,10,10,1.0,,,sakura,sakura,,1,angry,,13,idle,,,,,,,
event_cherryblossom_03_e_12,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_12,True,,10,100,0.8,,,sakura,sakura,,1,angry,,13,idle,,skinnyman,,,,,
event_cherryblossom_03_e_13,40011,event_cherryblossom_03_e,Narration,Locale_SubScenario:event_cherryblossom_03_e_13,False,none,2,2,1.0,,none,,,,1,angry,moran,7,angry,,,sakura,Black,black,,
event_cherryblossom_03_e_14,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_14,True,CherryBlossom,2,2,1.0,,,moran,moran,sakura,1,idle,,3,angry,,,,,,,
event_cherryblossom_03_e_15,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_15,True,,2,2,1.0,,,moran,moran,,1,idle,,3,angry,,,,,,,
event_cherryblossom_03_e_16,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_16,True,,2,2,1.0,,bgm_story_fairytalesend_if,sakura,sakura,,1,idle,,3,angry,,,,,,,
event_cherryblossom_03_e_17,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_17,True,,2,2,1.0,,,sakura,sakura,,1,idle,,3,angry,,,,,,,
event_cherryblossom_03_e_18,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_18,True,,2,L_30,1.0,,,moran,moran,,1,idle,,3,angry,,,,,,,
event_cherryblossom_03_e_19,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_19,True,,L_30,L_30,1.0,,,moran,moran,,1,idle,,3,angry,,,,,,,
event_cherryblossom_03_e_20,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_20,True,,L_30,L_30,1.0,,,moran,moran,,1,idle,,3,angry,,,,,,,
event_cherryblossom_03_e_21,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_21,True,,L_30,L_30,1.0,,,moran,moran,,1,idle,,3,angry,,,,,,,
event_cherryblossom_03_e_22,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_22,True,,L_30,L_30,1.0,,,sakura,sakura,,1,idle,,3,angry,,,,,,,
event_cherryblossom_03_e_23,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_23,True,,L_30,3,1.0,,,moran,moran,,1,idle,,3,worry,,,,,,,
event_cherryblossom_03_e_24,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_24,True,,3,2,1.0,,,sakura,sakura,,1,idle,,3,worry,,,,,,,
event_cherryblossom_03_e_25,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_25,True,,2,2,1.0,,,moran,moran,,1,idle,,3,worry,,,,,,,
event_cherryblossom_03_e_26,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_26,True,,2,2,1.0,,,sakura,sakura,,1,idle,,3,worry,,,,,,,
event_cherryblossom_03_e_27,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_27,True,,2,2,1.0,,,moran,moran,,1,idle,,3,angry,,,,,,,
event_cherryblossom_03_e_28,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_28,True,,2,2,1.0,,,moran,moran,,1,idle,,3,angry,,,,,,,
event_cherryblossom_03_e_29,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_29,False,,2,2,1.0,,,sakura,sakura,,1,idle,,3,think,,,,,,,
event_cherryblossom_03_e_30,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_30,True,,2,2,1.0,,,sakura,sakura,,1,idle,,3,think,,,,,,,
event_cherryblossom_03_e_31,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_31,True,,2,2,1.0,,,sakura,sakura,,1,idle,,3,think,,,,,,,
event_cherryblossom_03_e_32,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_32,False,,2,2,1.0,,,moran,moran,,1,idle,,3,think,,,,,,,
event_cherryblossom_03_e_33,40011,event_cherryblossom_03_e,Speech,Locale_SubScenario:event_cherryblossom_03_e_33,True,,2,2,1.0,,,moran,moran,,1,idle,,3,think,,,,,,,
