id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_bowwowparadise_01_s_1,40010,event_bowwowparadise_01_s,Narration,Locale_SubScenario:event_bowwowparadise_01_s_1,False,OutpostOut,1,XS_10,1.0,sfx_scn_pipe,none,,,biscuit,1,angry,,,
event_bowwowparadise_01_s_2,40010,event_bowwowparadise_01_s,Speech,Locale_SubScenario:event_bowwowparadise_01_s_2,True,,XS_10,XS_10,1.0,,,biscuit,biscuit,,1,angry,,,
event_bowwowparadise_01_s_3,40010,event_bowwowparadise_01_s,Narration,Locale_SubScenario:event_bowwowparadise_01_s_3,False,,XS_10,XS_10,1.0,sfx_scn_pipe,,,,,1,angry,,,
event_bowwowparadise_01_s_4,40010,event_bowwowparadise_01_s,Narration,Locale_SubScenario:event_bowwowparadise_01_s_4,False,,XS_10,XS_100,1.0,,,,,,1,angry,,,
event_bowwowparadise_01_s_5,40010,event_bowwowparadise_01_s,Narration,Locale_SubScenario:event_bowwowparadise_01_s_5,False,,XS_100,XS_100,1.0,,,,,,1,angry,,,
event_bowwowparadise_01_s_6,40010,event_bowwowparadise_01_s,Speech,Locale_SubScenario:event_bowwowparadise_01_s_6,True,,XS_100,XS_10,1.5,,bgm_story_orangepop,biscuit,biscuit,,1,sad,,,
event_bowwowparadise_01_s_7,40010,event_bowwowparadise_01_s,Narration,Locale_SubScenario:event_bowwowparadise_01_s_7,False,,XS_10,XS_10,1.0,,,,,,1,sad,,,
event_bowwowparadise_01_s_8,40010,event_bowwowparadise_01_s,Speech,Locale_SubScenario:event_bowwowparadise_01_s_8,True,,XS_10,XS_10,1.0,,,biscuit,biscuit,,1,sad,,,
event_bowwowparadise_01_s_9,40010,event_bowwowparadise_01_s,Speech,Locale_SubScenario:event_bowwowparadise_01_s_9,True,,XS_10,XS_10,1.0,,,biscuit,biscuit,,1,sad,,,
event_bowwowparadise_01_s_10,40010,event_bowwowparadise_01_s,Narration,Locale_SubScenario:event_bowwowparadise_01_s_10,False,,XS_10,XS_30,1.0,sfx_scn_emptywind,,,,,1,sad,,,
