id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_ex_seayouagain_04_1,80600,d_ex_seayouagain_04,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_04_1,False,Beach_n,50,50,1.0,none,,,,,frima_s,5,sleep_02,,,,,,,,,,,,
d_ex_seayouagain_04_2,80600,d_ex_seayouagain_04,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_04_2,False,,black,black,1.0,,sfx_scn_emptywind,,,,,5,sleep_02,,,,,,,,,,,,
d_ex_seayouagain_04_3,80600,d_ex_seayouagain_04,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_04_3,False,,black,black,1.0,bgm_story_whosdumber,,,,,,5,sleep_02,,,,,,,,,,,,
d_ex_seayouagain_04_4,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_4,False,,50,50,1.0,,,frima_s,Low_2,,,5,surprise,,,,,,,,,,,,
d_ex_seayouagain_04_5,80600,d_ex_seayouagain_04,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_04_5,False,,black,black,1.0,,sfx_scn_down,,,,,5,surprise,,,,,,,,,,,,
d_ex_seayouagain_04_6,80600,d_ex_seayouagain_04,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_04_6,False,,black,black,1.0,,,,,,,5,surprise,,,,,,,,,,,,
d_ex_seayouagain_04_7,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_7,False,,5,5,1.0,,,frima_s,,,,5,no,,,,,,,,,,,,
d_ex_seayouagain_04_8,80600,d_ex_seayouagain_04,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_04_8,False,,black,black,1.0,,sfx_scn_emptywind,,,,,5,no,,,,,,,,,,,,
d_ex_seayouagain_04_9,80600,d_ex_seayouagain_04,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_04_9,False,,black,black,1.0,,,,,,,5,no,,,,,,,,,,,,
d_ex_seayouagain_04_10,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_10,True,,5,5,1.0,,,frima_s,,,,5,no,,,,,,,,,,,,
d_ex_seayouagain_04_11,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_11,True,,5,5,1.0,,,frima_s,,,,5,no,,,,,,,,,,,,
d_ex_seayouagain_04_12,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_12,True,,5,5,1.0,,,frima_s,,,,5,angry,,,,,,,,,,,,
d_ex_seayouagain_04_13,80600,d_ex_seayouagain_04,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_04_13,False,,5,5,1.0,,,,,,,5,idle,,,,,,,,,,,,
d_ex_seayouagain_04_14,80600,d_ex_seayouagain_04,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_04_14,False,LogHouseIn_n,5,5,1.0,,,,,black,,5,idle,,,,,,,,,,,,
d_ex_seayouagain_04_15,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_15,True,,5,50,1.0,,,frima_s,,,,5,think,,,,,,,,,,,,
d_ex_seayouagain_04_16,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_16,False,,50,50,1.0,,,frima_s,,,,5,think,mary_s,1,,,,,,,,,,
d_ex_seayouagain_04_17,80600,d_ex_seayouagain_04,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_04_17,True,,1,1,1.0,,,mary_s,,,,5,idle,,1,idle,,,,,,,,,
d_ex_seayouagain_04_18,80600,d_ex_seayouagain_04,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_04_18,True,,1,1,1.0,,,mary_s,,,,5,idle,,1,idle,,,,,,,,,
d_ex_seayouagain_04_19,80600,d_ex_seayouagain_04,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_04_19,True,,1,1,1.0,,,mary_s,,,,5,idle,,1,think,,,,,,,,,
d_ex_seayouagain_04_20,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_20,True,,5,5,1.0,,,frima_s,,,,5,angry,,1,think,,,,,,,,,
d_ex_seayouagain_04_21,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_21,True,,5,5,1.0,,,frima_s,,,,5,think,,1,idle,,,,,,,,,
d_ex_seayouagain_04_22,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_22,True,,5,5,1.0,,,frima_s,,,,5,idle,,1,idle,,,,,,,,,
d_ex_seayouagain_04_23,80600,d_ex_seayouagain_04,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_04_23,False,,5,5,1.0,,,,,,,17,idle,,1,idle,,,,,,,,,
d_ex_seayouagain_04_24,80600,d_ex_seayouagain_04,Speech,mary_s,Locale_SuddenStory:d_ex_seayouagain_04_24,True,,1,10,1.0,,,mary_s,,,,17,idle,,1,idle,,,,,,,,,
d_ex_seayouagain_04_25,80600,d_ex_seayouagain_04,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_04_25,False,,17,17,1.0,,,,,black,,17,idle,,1,idle,mary_s,,,,,,,,
d_ex_seayouagain_04_26,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_26,True,,17,170,1.0,,,frima_s,,,,17,think,,,,,,,,,,,,
d_ex_seayouagain_04_27,80600,d_ex_seayouagain_04,Speech,frima_s,Locale_SuddenStory:d_ex_seayouagain_04_27,False,,170,170,1.0,,,frima_s,,,,17,think,,,,,,,,,,,,
