id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_absolute2_06_s_1,40086,event_absolute2_06_s,Speech,scarecommander,scarecommander,Locale_MainScenario:event_absolute2_06_s_1,True,IceLand_02,1300,1300,1.0,bgm_story_conflict,,,eunhwa_t,1,angry,,scarecommander,13,idle,,soldiereg,15,idle,,delta,3,idle,,signal,5,idle,
event_absolute2_06_s_2,40086,event_absolute2_06_s,Speech,scarecommander,scarecommander,Locale_MainScenario:event_absolute2_06_s_2,True,,1300,130,0.7,,,,,1,angry,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_3,40086,event_absolute2_06_s,Narration,scarecommander,,Locale_MainScenario:event_absolute2_06_s_3,False,,130,130,1.0,,sfx_scn_explosionhuge,Low_2,,1,angry,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_4,40086,event_absolute2_06_s,Narration,scarecommander,,Locale_MainScenario:event_absolute2_06_s_4,False,,130,130,1.0,,,,,1,angry,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_5,40086,event_absolute2_06_s,Speech,scarecommander,scarecommander,Locale_MainScenario:event_absolute2_06_s_5,False,,130,130,1.0,,,,,1,angry,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_6,40086,event_absolute2_06_s,Speech,soldiereg,soldiereg,Locale_MainScenario:event_absolute2_06_s_6,False,,130,S_150,1.0,,,,,1,angry,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_7,40086,event_absolute2_06_s,Speech,soldiereg,soldiereg,Locale_MainScenario:event_absolute2_06_s_7,True,,S_150,S_150,1.0,,,,,1,angry,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_8,40086,event_absolute2_06_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_06_s_8,True,,10,100,0.7,,,,,1,angry,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_9,40086,event_absolute2_06_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_06_s_9,True,,100,100,1.0,,,,,1,angry,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_10,40086,event_absolute2_06_s,Speech,soldiereg,soldiereg,Locale_MainScenario:event_absolute2_06_s_10,True,,S_1500,S_1500,1.0,,,,,1,angry,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_11,40086,event_absolute2_06_s,Speech,scarecommander,scarecommander,Locale_MainScenario:event_absolute2_06_s_11,True,,S_1500,1300,1.0,,,,,1,angry,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_12,40086,event_absolute2_06_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_06_s_12,True,,100,100,1.0,,,,,1,idle,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_13,40086,event_absolute2_06_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_06_s_13,True,,100,10,1.0,,,,,1,idle,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_14,40086,event_absolute2_06_s,Speech,delta,delta,Locale_MainScenario:event_absolute2_06_s_14,True,,10,S_30,1.0,,,,,1,idle,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_15,40086,event_absolute2_06_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_06_s_15,True,,S_30,31,1.0,,,,,1,idle,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_16,40086,event_absolute2_06_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_06_s_16,True,,31,31,1.0,,,,,1,idle,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_17,40086,event_absolute2_06_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_06_s_17,True,,31,31,1.0,,,,,1,idle,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_18,40086,event_absolute2_06_s,Speech,delta,delta,Locale_MainScenario:event_absolute2_06_s_18,True,,31,31,1.0,,,,,1,idle,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_19,40086,event_absolute2_06_s,Speech,signal,signal,Locale_MainScenario:event_absolute2_06_s_19,True,,31,53,1.0,,,,,1,idle,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_20,40086,event_absolute2_06_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_06_s_20,True,,10,10,1.0,,,,,1,idle,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
event_absolute2_06_s_21,40086,event_absolute2_06_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_06_s_21,True,,10,10,1.0,,,,,1,idle,,,13,idle,,,15,idle,,,3,idle,,,5,idle,
