id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_camera_shake,fade,play_sound,jump_target
event_alonesurvivor_05_e_1,40033,event_alonesurvivor_05_e,Monologue,Monologue,Locale_SubScenario:event_alonesurvivor_05_e_1,False,tove,1,sad,IceLand_05,17,170,0.3,none,,,,,
event_alonesurvivor_05_e_2,40033,event_alonesurvivor_05_e,Speech,tove,Locale_SubScenario:event_alonesurvivor_05_e_2,True,,1,sad,,1,S_10,0.7,bgm_secondhand,tove,,,,
event_alonesurvivor_05_e_3,40033,event_alonesurvivor_05_e,Speech,tove,Locale_SubScenario:event_alonesurvivor_05_e_3,True,,1,special,,S_10,S_10,1.0,,tove,,,,
event_alonesurvivor_05_e_4,40033,event_alonesurvivor_05_e,Speech,tove,Locale_SubScenario:event_alonesurvivor_05_e_4,True,,1,idle,,S_10,S_10,1.0,,tove,,,,
event_alonesurvivor_05_e_5,40033,event_alonesurvivor_05_e,Speech,tove,Locale_SubScenario:event_alonesurvivor_05_e_5,True,,1,shy,,S_10,S_10,1.0,,tove,,,,
event_alonesurvivor_05_e_6,40033,event_alonesurvivor_05_e,Speech,tove,Locale_SubScenario:event_alonesurvivor_05_e_6,True,,1,shy,,S_10,S_10,1.0,,tove,,,,
event_alonesurvivor_05_e_7,40033,event_alonesurvivor_05_e,Speech,tove,Locale_SubScenario:event_alonesurvivor_05_e_7,True,,1,sad,,S_10,S_10,1.0,,tove,,,,
event_alonesurvivor_05_e_8,40033,event_alonesurvivor_05_e,Speech,tove,Locale_SubScenario:event_alonesurvivor_05_e_8,True,,1,sad,,S_10,S_10,1.0,,tove,,,,
event_alonesurvivor_05_e_9,40033,event_alonesurvivor_05_e,Self,Self,Locale_SubScenario:event_alonesurvivor_05_e_9,False,,1,sad,,S_10,S_10,1.0,,,,,,
event_alonesurvivor_05_e_10,40033,event_alonesurvivor_05_e,Speech,tove,Locale_SubScenario:event_alonesurvivor_05_e_10,True,,1,sad,,S_10,1,1.0,,tove,,,,
