id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_filter_01,characters/4/hide_char_id,characters/5/hide_char_id,fade
event_absolute2_04_e_1,40086,event_absolute2_04_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_04_e_1,True,eunhwa_t,1,idle,emma_t,3,worry,vesti_t,13,sad,delta,15,idle,RuinTechIndoor,300,300,1.0,bgm_chapter31_field_beast,,,,,,,,,,,,,,,
event_absolute2_04_e_2,40086,event_absolute2_04_e,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute2_04_e_2,True,,1,idle,,3,worry,,13,sad,,15,idle,,XS_1300,XS_130,0.7,,,,,,,,,,,,,,,,
event_absolute2_04_e_3,40086,event_absolute2_04_e,Speech,delta,delta,Locale_MainScenario:event_absolute2_04_e_3,True,,1,idle,,3,worry,,13,sad,,15,idle,,XS_130,1315,1.0,,,,,,,,,,,,,,,,
event_absolute2_04_e_4,40086,event_absolute2_04_e,Speech,delta,delta,Locale_MainScenario:event_absolute2_04_e_4,True,,1,idle,,3,worry,,13,sad,,15,idle,,1315,1315,1.0,,,,,,,,,,,,,,,,
event_absolute2_04_e_5,40086,event_absolute2_04_e,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute2_04_e_5,True,,1,idle,,3,worry,,13,sad,,15,idle,,1315,13,1.0,,,,,,,,,,,,,,,,
event_absolute2_04_e_6,40086,event_absolute2_04_e,Narration,,,Locale_MainScenario:event_absolute2_04_e_6,False,,1,idle,,3,worry,,13,sad,,15,idle,,black,black,1.0,,sfx_scn_down,,,,,,,,,,,,,,
event_absolute2_04_e_7,40086,event_absolute2_04_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_04_e_7,True,,1,idle,,3,idle,,13,sad,,15,idle,,30,30,1.0,,,,,,,,,,,,,,,,
event_absolute2_04_e_8,40086,event_absolute2_04_e,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute2_04_e_8,True,,1,idle,,3,idle,,13,idle,,15,idle,,XS_130,XS_130,1.0,,,,,,,,,,,,,,,,
event_absolute2_04_e_9,40086,event_absolute2_04_e,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_04_e_9,True,,1,idle,,3,idle,,13,idle,,15,idle,,XS_130,10,1.0,,,,,,,,,,,,,,,,
event_absolute2_04_e_10,40086,event_absolute2_04_e,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute2_04_e_10,True,,1,idle,,3,idle,,13,idle,,15,idle,,10,113,1.0,,,,,,,,,,,,,,,,
event_absolute2_04_e_11,40086,event_absolute2_04_e,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_04_e_11,True,,1,idle,,3,idle,,13,idle,,15,idle,,100,100,1.0,,,,,,,,,,,,,,,,
event_absolute2_04_e_12,40086,event_absolute2_04_e,Speech,delta,delta,Locale_MainScenario:event_absolute2_04_e_12,True,,1,idle,,3,idle,,13,idle,,15,idle,,S_1500,S_1500,1.0,,,,,,,,,,,,,,,,
event_absolute2_04_e_13,40086,event_absolute2_04_e,Speech,delta,delta,Locale_MainScenario:event_absolute2_04_e_13,True,,1,idle,,3,idle,,13,idle,,15,idle,,S_1500,S_1500,1.0,,,,,,,,,,,,,,,,
