id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/3/hide_char_id
event_overzone1_03_e_1,80303,event_overzone1_03_e,Narration,Locale_MainScenario:event_overzone1_03_e_1,False,dorothy,1,worry,hongryeon,13,no,rapunzel,3,sad,pinne,15,worry,RuinIndoor,black,black,1.0,bgm_mystery,,,
event_overzone1_03_e_2,80303,event_overzone1_03_e,Narration,Locale_MainScenario:event_overzone1_03_e_2,False,,1,worry,,13,no,,3,sad,,15,worry,,black,black,1.0,,,,
event_overzone1_03_e_3,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_3,True,,1,worry,,13,no,,3,sad,,15,worry,,1,10,2.0,,dorothy,dorothy,
event_overzone1_03_e_4,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_4,True,,1,worry,,13,no,,3,sad,,15,worry,,10,10,1.0,,dorothy,dorothy,
event_overzone1_03_e_5,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_5,True,,1,worry,,13,no,,3,sad,,15,worry,,10,10,1.0,,dorothy,dorothy,
event_overzone1_03_e_6,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_6,True,,1,worry,,13,no,,3,sad,,15,worry,,S_150,S_150,1.0,,pinne,pinne,
event_overzone1_03_e_7,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_7,False,,1,worry,,13,no,,3,sad,,15,worry,,30,30,1.0,,rapunzel,rapunzel,
event_overzone1_03_e_8,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_8,True,,1,worry,,13,no,,3,sad,,15,worry,,130,130,1.0,,hongryeon,hongryeon,
event_overzone1_03_e_9,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_9,True,,1,worry,,13,no,,3,sad,,15,worry,,130,113,1.0,,dorothy,dorothy,
event_overzone1_03_e_10,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_10,True,,1,worry,,13,no,,3,sad,,15,worry,,113,113,1.0,,hongryeon,hongryeon,
event_overzone1_03_e_11,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_11,True,,1,worry,,13,no,,3,sad,,15,worry,,113,113,1.0,,hongryeon,hongryeon,
event_overzone1_03_e_12,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_12,False,,1,worry,,13,no,,3,sad,,15,worry,,113,113,1.0,,dorothy,dorothy,
event_overzone1_03_e_13,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_13,True,,1,worry,,13,no,,3,sad,,15,worry,,113,113,1.0,,hongryeon,hongryeon,
event_overzone1_03_e_14,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_14,False,,1,worry,,13,no,,3,sad,,15,worry,,113,113,1.0,,dorothy,dorothy,
event_overzone1_03_e_15,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_15,True,,1,worry,,13,no,,3,sad,,15,worry,,113,113,1.0,,hongryeon,hongryeon,
event_overzone1_03_e_16,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_16,False,,1,worry,,13,no,,3,sad,,15,worry,,113,113,1.0,,dorothy,dorothy,
event_overzone1_03_e_17,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_17,True,,1,worry,,13,no,,3,sad,,15,worry,,113,113,1.0,,hongryeon,hongryeon,
event_overzone1_03_e_18,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_18,True,,1,think,,13,no,,3,sad,,15,worry,,113,10,0.5,,dorothy,dorothy,
event_overzone1_03_e_19,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_19,True,,1,think,,13,no,,3,sad,,15,worry,,10,130,2.0,,hongryeon,hongryeon,
event_overzone1_03_e_20,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_20,False,,1,think,,13,no,,3,sad,,15,worry,,130,130,1.0,,hongryeon,hongryeon,
event_overzone1_03_e_21,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_21,True,,1,think,,13,no,,3,sad,,15,worry,,130,130,1.0,,hongryeon,hongryeon,
event_overzone1_03_e_22,80303,event_overzone1_03_e,Speech,Locale_MainScenario:event_overzone1_03_e_22,True,,1,think,,13,no,,3,sad,,15,worry,,130,130,1.0,,hongryeon,hongryeon,
