id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,set_filter_01,characters/0/hide_char_id
event_icedragonsaga2_04_s_1,40065,event_icedragonsaga2_04_s,Narration,Locale_MainScenario:event_icedragonsaga2_04_s_1,False,EventTitle_icedragonsaga_03,1,1,1.0,event_bgm_icedragonsaga_castle,,,,,,,,,,
event_icedragonsaga2_04_s_2,40065,event_icedragonsaga2_04_s,Narration,Locale_MainScenario:event_icedragonsaga2_04_s_2,False,,1,1,1.0,,,,,,,,,,,
event_icedragonsaga2_04_s_3,40065,event_icedragonsaga2_04_s,Narration,Locale_MainScenario:event_icedragonsaga2_04_s_3,False,,1,1,1.0,,,,,,,,,,,
event_icedragonsaga2_04_s_4,40065,event_icedragonsaga2_04_s,Narration,Locale_MainScenario:event_icedragonsaga2_04_s_4,False,,1,1,1.0,,,,,,,,,,,
event_icedragonsaga2_04_s_5,40065,event_icedragonsaga2_04_s,Narration,Locale_MainScenario:event_icedragonsaga2_04_s_5,False,,1,1,1.0,,,,,,,,,,,
event_icedragonsaga2_04_s_6,40065,event_icedragonsaga2_04_s,Narration,Locale_MainScenario:event_icedragonsaga2_04_s_6,False,,1,1,1.0,,,,,,,,,,,
event_icedragonsaga2_04_s_7,40065,event_icedragonsaga2_04_s,Narration,Locale_MainScenario:event_icedragonsaga2_04_s_7,False,,1,1,1.0,,,,,,,,,,,
event_icedragonsaga2_04_s_8,40065,event_icedragonsaga2_04_s,Narration,Locale_MainScenario:event_icedragonsaga2_04_s_8,False,,1,1,1.0,,,,,,,,,,,
event_icedragonsaga2_04_s_9,40065,event_icedragonsaga2_04_s,Narration,Locale_MainScenario:event_icedragonsaga2_04_s_9,False,,black,black,1.0,,sfx_scn_retromessage,black,,,,,,,,
event_icedragonsaga2_04_s_10,40065,event_icedragonsaga2_04_s,Narration,Locale_MainScenario:event_icedragonsaga2_04_s_10,False,EventScene_icedragonsaga_09_1,black,black,1.0,,sfx_scn_retromessage,,,,,,,,,
event_icedragonsaga2_04_s_11,40065,event_icedragonsaga2_04_s,Speech,Locale_MainScenario:event_icedragonsaga2_04_s_11,False,,EventScene_icedragonsaga_09_1_1,EventScene_icedragonsaga_09_1_1,1.0,,,,guillotine_w,,,,,,,
event_icedragonsaga2_04_s_12,40065,event_icedragonsaga2_04_s,Speech,Locale_MainScenario:event_icedragonsaga2_04_s_12,False,,EventScene_icedragonsaga_09_1_1,EventScene_icedragonsaga_09_1_1,1.0,,,,guillotine_w,,,,,,,
event_icedragonsaga2_04_s_13,40065,event_icedragonsaga2_04_s,Narration,Locale_MainScenario:event_icedragonsaga2_04_s_13,False,,EventScene_icedragonsaga_09_1_1,EventScene_icedragonsaga_09_1_1,1.0,,,,,,,,,,,
event_icedragonsaga2_04_s_14,40065,event_icedragonsaga2_04_s,Speech,Locale_MainScenario:event_icedragonsaga2_04_s_14,False,,EventScene_icedragonsaga_09_1_1,EventScene_icedragonsaga_09_1_1,1.0,,,,maiden_w,,,,,,,
event_icedragonsaga2_04_s_15,40065,event_icedragonsaga2_04_s,Speech,Locale_MainScenario:event_icedragonsaga2_04_s_15,False,,EventScene_icedragonsaga_09_1_1,EventScene_icedragonsaga_09_1_1,1.0,,,,guillotine_w,,,,,,,
event_icedragonsaga2_04_s_16,40065,event_icedragonsaga2_04_s,Speech,Locale_MainScenario:event_icedragonsaga2_04_s_16,False,,EventScene_icedragonsaga_09_1_1,EventScene_icedragonsaga_09_1_1,1.0,,,,guillotine_w,,,,,,,
event_icedragonsaga2_04_s_17,40065,event_icedragonsaga2_04_s,Speech,Locale_MainScenario:event_icedragonsaga2_04_s_17,False,,EventScene_icedragonsaga_09_1_1,EventScene_icedragonsaga_09_1_1,1.0,,,,guillotine_w,,,,,,,
event_icedragonsaga2_04_s_18,40065,event_icedragonsaga2_04_s,Narration,Locale_MainScenario:event_icedragonsaga2_04_s_18,False,,black,black,1.0,,sfx_scn_hammerwhoosh,,,,,,,,,
event_icedragonsaga2_04_s_19,40065,event_icedragonsaga2_04_s,Narration,Locale_MainScenario:event_icedragonsaga2_04_s_19,False,,black,black,1.0,,sfx_scn_explosionhuge,,,Low_2,,,,,,
event_icedragonsaga2_04_s_20,40065,event_icedragonsaga2_04_s,Narration,Locale_MainScenario:event_icedragonsaga2_04_s_20,False,,black,black,1.0,,,,,,,,,,,
event_icedragonsaga2_04_s_21,40065,event_icedragonsaga2_04_s,Speech,Locale_MainScenario:event_icedragonsaga2_04_s_21,False,,black,black,1.0,,,,maiden_w,,,,,,,
event_icedragonsaga2_04_s_22,40065,event_icedragonsaga2_04_s,Narration,Locale_MainScenario:event_icedragonsaga2_04_s_22,False,,EventScene_icedragonsaga_09_1_1,1,0.5,,,,,,,,,,,
event_icedragonsaga2_04_s_23,40065,event_icedragonsaga2_04_s,Speech,Locale_MainScenario:event_icedragonsaga2_04_s_23,False,,1,1,1.0,,,,guillotine_w,,,,,,,
event_icedragonsaga2_04_s_24,40065,event_icedragonsaga2_04_s,Speech,Locale_MainScenario:event_icedragonsaga2_04_s_24,False,,1,1,1.0,,,,guillotine_w,,,,,,,
event_icedragonsaga2_04_s_25,40065,event_icedragonsaga2_04_s,Speech,Locale_MainScenario:event_icedragonsaga2_04_s_25,False,,1,1,1.0,,,,maiden_w,,,,,,,
event_icedragonsaga2_04_s_26,40065,event_icedragonsaga2_04_s,Narration,Locale_MainScenario:event_icedragonsaga2_04_s_26,False,,1,1,1.0,,sfx_scn_parryhard,,,,,,,,,
event_icedragonsaga2_04_s_27,40065,event_icedragonsaga2_04_s,Narration,Locale_MainScenario:event_icedragonsaga2_04_s_27,False,,1,EventScene_icedragonsaga_09_1_2,0.5,,sfx_scn_parryhard,,,,,,,,,
event_icedragonsaga2_04_s_28,40065,event_icedragonsaga2_04_s,Narration,Locale_MainScenario:event_icedragonsaga2_04_s_28,False,,EventScene_icedragonsaga_09_1_2,EventScene_icedragonsaga_09_1_3,0.5,,sfx_scn_parryhard,,,,,,,,,
event_icedragonsaga2_04_s_29,40065,event_icedragonsaga2_04_s,Speech,Locale_MainScenario:event_icedragonsaga2_04_s_29,False,,EventScene_icedragonsaga_09_1_3,EventScene_icedragonsaga_09_1_3,1.0,,,,guillotine_w,,,,,,,
event_icedragonsaga2_04_s_30,40065,event_icedragonsaga2_04_s,Speech,Locale_MainScenario:event_icedragonsaga2_04_s_30,False,,black,black,1.0,,,,ingrid,,,,,,,
event_icedragonsaga2_04_s_31,40065,event_icedragonsaga2_04_s,Speech,Locale_MainScenario:event_icedragonsaga2_04_s_31,False,,black,black,1.0,,,,ingrid,,,,,,,
event_icedragonsaga2_04_s_32,40065,event_icedragonsaga2_04_s,Speech,Locale_MainScenario:event_icedragonsaga2_04_s_32,False,,black,black,1.0,,,,ingrid,,,,,,,
event_icedragonsaga2_04_s_33,40065,event_icedragonsaga2_04_s,Speech,Locale_MainScenario:event_icedragonsaga2_04_s_33,False,,black,black,1.0,,,,ingrid,,,,,,,
event_icedragonsaga2_04_s_34,40065,event_icedragonsaga2_04_s,Speech,Locale_MainScenario:event_icedragonsaga2_04_s_34,False,EventScene_icedragonsaga_09_2,black,black,1.0,,,,maiden_w,,,,,,,
