id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,characters/1/hide_char_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/hide_char_id,jump_target
event_brandnewyear_01_s_1,40005,event_brandnewyear_01_s,Narration,Narration,Locale_SubScenario:event_brandnewyear_01_s_1,False,sugar_p,13,idle,julia_p,17,idle,Restaurant,black,black,1.0,bgm_story_backtonormal,,,,,,,,
event_brandnewyear_01_s_2,40005,event_brandnewyear_01_s,Monologue,Monologue,Locale_SubScenario:event_brandnewyear_01_s_2,False,,13,idle,,17,idle,,black,black,1.0,,,,,,,,,
event_brandnewyear_01_s_3,40005,event_brandnewyear_01_s,Speech,sugar,Locale_SubScenario:event_brandnewyear_01_s_3,True,,13,"expression_0,idle",,17,idle,,S_130,S_130,1.0,,sugar_p,,,,,,,
event_brandnewyear_01_s_4,40005,event_brandnewyear_01_s,Speech,solemnofficer,Locale_SubScenario:event_brandnewyear_01_s_4,True,,13,idle,,17,idle,,S_130,S_130,1.0,,solemnofficer,,,,,,,
event_brandnewyear_01_s_5,40005,event_brandnewyear_01_s,Speech,solemnofficer,Locale_SubScenario:event_brandnewyear_01_s_5,True,,13,idle,,17,idle,,S_130,13,1.0,,solemnofficer,,,,,,,
event_brandnewyear_01_s_6,40005,event_brandnewyear_01_s,Speech,colorfulvip,Locale_SubScenario:event_brandnewyear_01_s_6,True,,13,idle,,17,idle,,13,13,1.0,,colorfulvip,,,,,,,
event_brandnewyear_01_s_7,40005,event_brandnewyear_01_s,Narration,Narration,Locale_SubScenario:event_brandnewyear_01_s_7,False,,13,idle,,17,"expression_0,idle",,17,17,1.0,,,sfx_scn_violin,,,,,,
event_brandnewyear_01_s_8,40005,event_brandnewyear_01_s,Speech,julia,Locale_SubScenario:event_brandnewyear_01_s_8,True,,13,idle,,17,think,,17,S_170,1.0,,julia_p,,,,,,,
event_brandnewyear_01_s_9,40005,event_brandnewyear_01_s,Monologue,Monologue,Locale_SubScenario:event_brandnewyear_01_s_9,False,,13,idle,,17,think,,S_170,S_170,1.0,,,,sugar_p,,,,,
event_brandnewyear_01_s_10,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_10,True,,,,,17,think,,S_170,S_10,1.5,,helm_p,,,helm_p,1,idle,julia_p,
event_brandnewyear_01_s_11,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_11,True,,,,,,,,S_10,S_10,1.0,,helm_p,,,,1,idle,,
event_brandnewyear_01_s_12,40005,event_brandnewyear_01_s,Speech,helm,Locale_SubScenario:event_brandnewyear_01_s_12,True,,,,,,,,S_10,1,1.0,,helm_p,,,,1,"expression_0,idle",,
