id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,conversation_id,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target
event_wisdomspring_01_e_1,40068,event_wisdomspring_01_e,Narration,Locale_SubScenario:event_wisdomspring_01_e_1,False,BuildingLobby,black,black,1.0,sfx_scn_autodooropen,none,,,,,,,
event_wisdomspring_01_e_2,40068,event_wisdomspring_01_e,Monologue,Locale_SubScenario:event_wisdomspring_01_e_2,False,,1,1,1.0,,,,,,,,,
event_wisdomspring_01_e_3,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_3,False,,1,1,1.0,,,,,,,,,
event_wisdomspring_01_e_4,40068,event_wisdomspring_01_e,Monologue,Locale_SubScenario:event_wisdomspring_01_e_4,False,,1,1,1.0,,,,,,,,,
event_wisdomspring_01_e_5,40068,event_wisdomspring_01_e,Monologue,Locale_SubScenario:event_wisdomspring_01_e_5,False,,1,1,1.0,,,,,,,,,
event_wisdomspring_01_e_6,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_6,False,,1,1,1.0,,,m_event_wisdomspring_01_e,,,,,,
event_wisdomspring_01_e_7,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_7,False,,1,1,1.0,,,,,,,,,
event_wisdomspring_01_e_8,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_8,True,,1,1,1.0,,,,unknown,unknown,,,,
event_wisdomspring_01_e_9,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_9,False,,1,XS_10,2.0,,bgm_story_fairytalesend_if,,ether,,ether,1,idle,
event_wisdomspring_01_e_10,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_10,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_11,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_11,True,,XS_10,XS_10,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_12,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_12,True,,XS_10,XS_100,1.5,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_13,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_13,False,,XS_100,XS_100,1.0,,,,ether,,,1,idle,
event_wisdomspring_01_e_14,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_14,True,,XS_100,XS_100,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_15,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_15,True,,XS_100,XS_100,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_16,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_16,False,,XS_100,XS_100,1.0,,,,ether,,,1,idle,
event_wisdomspring_01_e_17,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_17,True,,XS_100,XS_100,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_18,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_18,True,,XS_100,XS_100,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_19,40068,event_wisdomspring_01_e,Self,Locale_SubScenario:event_wisdomspring_01_e_19,False,,XS_100,XS_100,1.0,,,,ether,,,1,idle,
event_wisdomspring_01_e_20,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_20,True,,XS_100,XS_100,1.0,,,,ether,ether,,1,idle,
event_wisdomspring_01_e_21,40068,event_wisdomspring_01_e,Speech,Locale_SubScenario:event_wisdomspring_01_e_21,True,,XS_100,XS_100,1.0,,,,ether,ether,,1,idle,
