id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id
event_schooloflock_01_e_1,40028,event_schooloflock_01_e,Monologue,Locale_SubScenario:event_schooloflock_01_e_1,False,Park,1,1,1.0,bgm_story_orangepop,,,,,,,,,,,,,,,
event_schooloflock_01_e_2,40028,event_schooloflock_01_e,Monologue,Locale_SubScenario:event_schooloflock_01_e_2,False,,1,10,1.0,,,,,,,,,,,,,,,,
event_schooloflock_01_e_3,40028,event_schooloflock_01_e,Speech,Locale_SubScenario:event_schooloflock_01_e_3,False,,10,10,1.0,,unknown,unknown,,,,,,,,,,,,,
event_schooloflock_01_e_4,40028,event_schooloflock_01_e,Speech,Locale_SubScenario:event_schooloflock_01_e_4,False,,10,10,1.0,,unknown,unknown,,,,,,,,,,,,,
event_schooloflock_01_e_5,40028,event_schooloflock_01_e,Self,Locale_SubScenario:event_schooloflock_01_e_5,False,,10,10,1.0,,,,,,,,,,,,,,,,
event_schooloflock_01_e_6,40028,event_schooloflock_01_e,Monologue,Locale_SubScenario:event_schooloflock_01_e_6,False,,10,10,1.0,,,,,,,,,,,,,,,,
event_schooloflock_01_e_7,40028,event_schooloflock_01_e,Speech,Locale_SubScenario:event_schooloflock_01_e_7,False,,10,1,1.0,,darkcirclestudent,darkcirclestudent,Low_2,,,,,,,,,,,,
event_schooloflock_01_e_8,40028,event_schooloflock_01_e,Speech,Locale_SubScenario:event_schooloflock_01_e_8,False,,1,1,1.0,,darkcirclestudent,darkcirclestudent,,,,,,,,,,,,,
event_schooloflock_01_e_9,40028,event_schooloflock_01_e,Speech,Locale_SubScenario:event_schooloflock_01_e_9,False,,1,1,1.0,,darkcirclestudent,darkcirclestudent,,,,,,,,,,,,,
event_schooloflock_01_e_10,40028,event_schooloflock_01_e,Self,Locale_SubScenario:event_schooloflock_01_e_10,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_schooloflock_01_e_11,40028,event_schooloflock_01_e,Speech,Locale_SubScenario:event_schooloflock_01_e_11,False,,1,1,1.0,,blackclothstudent,blackclothstudent,Low_2,,,,,,,,,,,,
