id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_ambient,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
snowfall_speech_npc_day15_02_1,80903,snowfall_speech_npc_day15_02,Narration,Locale_SubScenario:snowfall_speech_npc_day15_02_1,False,WaterFall_s,1,L_10,1.0,sfx_scn_shutter,amb_so_waterfall_2,event_bgm_neverland_snowflakes_sunset,,,rupee_w,1,idle_02
snowfall_speech_npc_day15_02_2,80903,snowfall_speech_npc_day15_02,Speech,Locale_SubScenario:snowfall_speech_npc_day15_02_2,True,,L_10,L_10,1.0,,,,rupee_w,rupee_w,,1,idle_02
snowfall_speech_npc_day15_02_3,80903,snowfall_speech_npc_day15_02,Speech,Locale_SubScenario:snowfall_speech_npc_day15_02_3,True,,L_10,L_10,1.0,,,,rupee_w,rupee_w,,1,idle_02
snowfall_speech_npc_day15_02_4,80903,snowfall_speech_npc_day15_02,Speech,Locale_SubScenario:snowfall_speech_npc_day15_02_4,True,,L_10,L_10,1.0,,,,rupee_w,rupee_w,,1,idle_02
snowfall_speech_npc_day15_02_5,80903,snowfall_speech_npc_day15_02,Speech,Locale_SubScenario:snowfall_speech_npc_day15_02_5,True,,L_10,L_10,1.0,,,,rupee_w,rupee_w,,1,idle_02
snowfall_speech_npc_day15_02_6,80903,snowfall_speech_npc_day15_02,Speech,Locale_SubScenario:snowfall_speech_npc_day15_02_6,True,,L_10,L_10,1.0,,,,rupee_w,rupee_w,,1,idle_02
snowfall_speech_npc_day15_02_7,80903,snowfall_speech_npc_day15_02,Narration,Locale_SubScenario:snowfall_speech_npc_day15_02_7,False,,L_10,L_10,1.0,sfx_scn_waterdive,,,,,,1,idle_02
snowfall_speech_npc_day15_02_8,80903,snowfall_speech_npc_day15_02,Narration,Locale_SubScenario:snowfall_speech_npc_day15_02_8,False,,L_10,L_10,1.0,sfx_scn_shutter,,,,,,1,idle_02
snowfall_speech_npc_day15_02_9,80903,snowfall_speech_npc_day15_02,Speech,Locale_SubScenario:snowfall_speech_npc_day15_02_9,True,,L_10,L_10,1.0,,,,rupee_w,rupee_w,,1,surprise
snowfall_speech_npc_day15_02_10,80903,snowfall_speech_npc_day15_02,Speech,Locale_SubScenario:snowfall_speech_npc_day15_02_10,True,,L_10,L_10,1.0,,,,rupee_w,rupee_w,,1,surprise
snowfall_speech_npc_day15_02_11,80903,snowfall_speech_npc_day15_02,Speech,Locale_SubScenario:snowfall_speech_npc_day15_02_11,True,,L_10,L_10,1.0,,,,rupee_w,rupee_w,,1,surprise
snowfall_speech_npc_day15_02_12,80903,snowfall_speech_npc_day15_02,Narration,Locale_SubScenario:snowfall_speech_npc_day15_02_12,False,,black,black,1.0,,,,,,,1,surprise
