id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
event_ce004_1_04_e_1,40055,event_ce004_1_04_e,Monologue,rapi,Locale_SubScenario:event_ce004_1_04_e_1,False,CityForest_03_d,black,black,1.0,event_bgm_ce004_compte,,,,rapi,1,angry,,,,,neon,3,idle,,,,,,,,,ce004_03,13,idle,,,,,
event_ce004_1_04_e_2,40055,event_ce004_1_04_e,Monologue,rapi,Locale_SubScenario:event_ce004_1_04_e_2,False,,black,black,1.0,,,,,,1,angry,,,,,,3,idle,,,,,,,,,,13,idle,,,,,
event_ce004_1_04_e_3,40055,event_ce004_1_04_e,Monologue,rapi,Locale_SubScenario:event_ce004_1_04_e_3,False,,black,black,1.0,,,,,,1,angry,,,,,,3,idle,,,,,,,,,,13,idle,,,,,
event_ce004_1_04_e_4,40055,event_ce004_1_04_e,Speech,rapi,Locale_SubScenario:event_ce004_1_04_e_4,True,,12,12,1.0,,rapi,,,,1,angry,,,,,,3,idle,,,,,,,,,,13,go,,,,,
event_ce004_1_04_e_5,40055,event_ce004_1_04_e,Speech,ce004_03,Locale_SubScenario:event_ce004_1_04_e_5,True,,12,12,1.0,,ce004_03,,,,1,angry,,,,,,3,idle,,,,,,,,,,13,go,,,,,
event_ce004_1_04_e_6,40055,event_ce004_1_04_e,Speech,ce004_03,Locale_SubScenario:event_ce004_1_04_e_6,True,,12,12,1.0,,ce004_03,,,,1,angry,,,,,,3,idle,,,,,,,,,,13,go,,,,,
event_ce004_1_04_e_7,40055,event_ce004_1_04_e,Self,ce004_03,Locale_SubScenario:event_ce004_1_04_e_7,False,,12,12,1.0,,,,,,1,angry,,,,,,3,idle,,,,,,,,,,13,go,,,,,
event_ce004_1_04_e_8,40055,event_ce004_1_04_e,Speech,ce004_03,Locale_SubScenario:event_ce004_1_04_e_8,True,,12,12,1.0,,ce004_03,,,,1,angry,,,,,,3,idle,,,,,,,,,,13,go,,,,,
event_ce004_1_04_e_9,40055,event_ce004_1_04_e,Speech,neon,Locale_SubScenario:event_ce004_1_04_e_9,True,,3,S_30,0.7,,neon,,,,1,angry,,,,,,3,no,,,,,,,,,,13,go,,,,,
event_ce004_1_04_e_10,40055,event_ce004_1_04_e,Speech,ce004_04_op,Locale_SubScenario:event_ce004_1_04_e_10,True,,S_30,S_30,1.0,,ce004_04,,,,1,angry,,,,,,3,no,,,,,,,,,,13,go,,ce004_04_op,OP_leftup,go,
event_ce004_1_04_e_11,40055,event_ce004_1_04_e,Speech,neon,Locale_SubScenario:event_ce004_1_04_e_11,True,,S_30,S_30,1.0,,neon,,,,1,angry,,,,,,3,surprise,,,,,,,,,,13,go,ce004_03,,OP_leftup,go,
event_ce004_1_04_e_12,40055,event_ce004_1_04_e,Monologue,rapi,Locale_SubScenario:event_ce004_1_04_e_12,False,,black,black,1.0,,,,,,1,angry,anis,4,angry,,,3,surprise,neon,ce004_01,6,angry,,,,,,,,,,OP_leftup,go,ce004_04_op
event_ce004_1_04_e_13,40055,event_ce004_1_04_e,Speech,rapi,Locale_SubScenario:event_ce004_1_04_e_13,True,,10,10,1.0,,rapi,,,,1,angry,,4,angry,,,,,,,6,angry,,,,,,,,,,,,
event_ce004_1_04_e_14,40055,event_ce004_1_04_e,Speech,anis,Locale_SubScenario:event_ce004_1_04_e_14,True,,5,5,1.0,,anis,,,,1,angry,,4,angry,,,,,,,6,angry,,,,,,,,,,,,
event_ce004_1_04_e_15,40055,event_ce004_1_04_e,Speech,anis,Locale_SubScenario:event_ce004_1_04_e_15,True,,5,5,1.0,,anis,,,,1,angry,,4,angry,,,,,,,6,angry,,,,,,,,,,,,
event_ce004_1_04_e_16,40055,event_ce004_1_04_e,Speech,ce004_01,Locale_SubScenario:event_ce004_1_04_e_16,True,,5,5,1.0,,ce004_01,,,,1,angry,,4,angry,,,,,,,6,angry,,,,,,,,,,,,
event_ce004_1_04_e_17,40055,event_ce004_1_04_e,Narration,ce004_01,Locale_SubScenario:event_ce004_1_04_e_17,False,,5,5,1.0,,,sfx_scn_rapturehowl,,,1,angry,,4,angry,,,,,,,6,angry,,,,,,,,,,,,
event_ce004_1_04_e_18,40055,event_ce004_1_04_e,Monologue,ce004_01,Locale_SubScenario:event_ce004_1_04_e_18,True,,5,5,1.0,,,,,,1,angry,,4,angry,,,,,,,6,angry,,,,,,,,,,,,
event_ce004_1_04_e_19,40055,event_ce004_1_04_e,Narration,anis,Locale_SubScenario:event_ce004_1_04_e_19,False,,black,black,1.0,,,sfx_scn_fireblindly,,,1,angry,,4,angry,,,,,,,6,angry,,,,,,,,,,,,
event_ce004_1_04_e_20,40055,event_ce004_1_04_e,Speech,anis,Locale_SubScenario:event_ce004_1_04_e_20,True,,5,5,1.0,,anis,,,,1,angry,,4,angry,,,,,,,6,angry,,,,,,,,,,,,
event_ce004_1_04_e_21,40055,event_ce004_1_04_e,Speech,anis,Locale_SubScenario:event_ce004_1_04_e_21,True,,5,5,1.0,,anis,,,,1,angry,,4,angry,,,,,,,6,angry,,,,,,,,,,,,
event_ce004_1_04_e_22,40055,event_ce004_1_04_e,Speech,ce004_01,Locale_SubScenario:event_ce004_1_04_e_22,True,,5,5,1.0,,ce004_01,,,,1,angry,,4,angry,,,,,,,6,angry,,,,,,,,,,,,
event_ce004_1_04_e_23,40055,event_ce004_1_04_e,Monologue,ce004_01,Locale_SubScenario:event_ce004_1_04_e_23,False,,black,black,1.0,,,,,,1,angry,,4,angry,anis,neon,15,idle,,,6,angry,ce004_01,ce004_02,3,angry,ce004_03,13,surprise,,,,,
event_ce004_1_04_e_24,40055,event_ce004_1_04_e,Speech,ce004_02,Locale_SubScenario:event_ce004_1_04_e_24,True,,30,30,1.0,,ce004_02,,,,1,angry,,,,,,15,idle,,,,,,,3,angry,,13,surprise,,,,,
event_ce004_1_04_e_25,40055,event_ce004_1_04_e,Narration,ce004_02,Locale_SubScenario:event_ce004_1_04_e_25,False,,30,30,1.0,,,sfx_scn_c831_fire,Low_2,,1,angry,,,,,,15,idle,,,,,,,3,angry,,13,surprise,,,,,
event_ce004_1_04_e_26,40055,event_ce004_1_04_e,Speech,ce004_02,Locale_SubScenario:event_ce004_1_04_e_26,True,,30,30,1.0,,ce004_02,,,,1,angry,,,,,,15,idle,,,,,,,3,angry,,13,surprise,,,,,
event_ce004_1_04_e_27,40055,event_ce004_1_04_e,Speech,ce004_02,Locale_SubScenario:event_ce004_1_04_e_27,True,,30,300,1.0,,ce004_02,,,,1,angry,,,,,,15,idle,,,,,,,3,surprise,,13,surprise,,,,,
event_ce004_1_04_e_28,40055,event_ce004_1_04_e,Narration,ce004_02,Locale_SubScenario:event_ce004_1_04_e_28,False,,black,black,1.0,,,sfx_scn_explosionnear,,,1,angry,,,,,,15,idle,,,,,,,3,surprise,,13,surprise,,,,,
event_ce004_1_04_e_29,40055,event_ce004_1_04_e,Monologue,ce004_02,Locale_SubScenario:event_ce004_1_04_e_29,False,,300,300,1.0,,,,Low_2,,1,angry,,,,,,15,idle,,,,,,,3,angry,,13,surprise,,,,,
event_ce004_1_04_e_30,40055,event_ce004_1_04_e,Speech,ce004_02,Locale_SubScenario:event_ce004_1_04_e_30,True,,300,300,1.0,,ce004_02,,,,1,angry,,,,,,15,idle,,,,,,,3,angry,,13,surprise,,,,,
event_ce004_1_04_e_31,40055,event_ce004_1_04_e,Speech,rapi,Locale_SubScenario:event_ce004_1_04_e_31,True,,100,100,1.0,,rapi,,,,1,angry,,,,,,15,idle,,,,,,,3,angry,,13,surprise,,,,,
event_ce004_1_04_e_32,40055,event_ce004_1_04_e,Narration,rapi,Locale_SubScenario:event_ce004_1_04_e_32,False,,black,black,1.0,,,sfx_scn_fireblindly,,,1,angry,,,,,,15,idle,,,,,,,3,angry,,13,surprise,,,,,
