id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,set_camera_shake,play_sound,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_oldtales2_epilogue_1,40062,event_oldtales2_epilogue,Narration,Locale_MainScenario:event_oldtales2_epilogue_1,False,Desert_05,black,black,1.0,none,,,,,,,abe,1,idle,
event_oldtales2_epilogue_2,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_2,True,,100,10,1.0,,abe,abe,,,,,,1,idle,
event_oldtales2_epilogue_3,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_3,True,,10,10,1.0,,abe,abe,,,,,,1,idle,
event_oldtales2_epilogue_4,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_4,True,,10,10,1.0,,abe,abe,,,,,,1,delight,
event_oldtales2_epilogue_5,40062,event_oldtales2_epilogue,Narration,Locale_MainScenario:event_oldtales2_epilogue_5,False,,black,black,1.0,,abe,,,,,,,1,delight,
event_oldtales2_epilogue_6,40062,event_oldtales2_epilogue,Narration,Locale_MainScenario:event_oldtales2_epilogue_6,False,,black,black,1.0,,abe,,,,,,,1,delight,
event_oldtales2_epilogue_7,40062,event_oldtales2_epilogue,Narration,Locale_MainScenario:event_oldtales2_epilogue_7,False,,black,black,1.0,,abe,,,,,,,1,delight,
event_oldtales2_epilogue_8,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_8,True,,10,10,1.0,,abe,abe,,,,,,1,idle,
event_oldtales2_epilogue_9,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_9,True,,10,100,1.0,,abe,abe,,,,,,1,idle,
event_oldtales2_epilogue_10,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_10,True,Desert_04,100,100,1.0,event_bgm_oldtales_rewrite,abe,abe,black,,,,,1,think,
event_oldtales2_epilogue_11,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_11,True,,100,100,1.0,,abe,abe,,,,,,1,think,
event_oldtales2_epilogue_12,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_12,True,,100,100,1.0,,abe,abe,,,,,,1,think,
event_oldtales2_epilogue_13,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_13,True,,100,100,1.0,,abe,abe,,,,,,1,think,
event_oldtales2_epilogue_14,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_14,True,,100,100,1.0,,abe,abe,,,,,,1,think,
event_oldtales2_epilogue_15,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_15,False,,100,100,1.0,,abe,abe,,,,,,1,idle,
event_oldtales2_epilogue_16,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_16,True,,100,10,1.0,,abe,abe,,,,,,1,delight,
event_oldtales2_epilogue_17,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_17,True,,10,10,1.0,,abe,abe,,,,,,1,delight,
event_oldtales2_epilogue_18,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_18,True,,10,10,1.0,,abe,abe,,,,,,1,delight,
event_oldtales2_epilogue_19,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_19,False,,10,10,1.0,,abe,abe,,,,,,1,idle,
event_oldtales2_epilogue_20,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_20,True,,10,10,1.0,,abe,abe,,,,,,1,idle,
event_oldtales2_epilogue_21,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_21,True,,10,10,1.0,,abe,abe,,,,,,1,idle,
event_oldtales2_epilogue_22,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_22,True,,10,10,1.0,,abe,abe,,,,,,1,idle,
event_oldtales2_epilogue_23,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_23,False,,10,10,1.0,,abe,abe,,,,,,1,idle,
event_oldtales2_epilogue_24,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_24,True,,10,100,1.0,,abe,abe,,,,,,1,idle,
event_oldtales2_epilogue_25,40062,event_oldtales2_epilogue,Speech,Locale_MainScenario:event_oldtales2_epilogue_25,True,,100,100,1.0,,abe,abe,,,,,,1,idle,
