id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,set_camera_shake,fade,characters/0/hide_char_id
event_queensorder_epilogue_1,40015,event_queensorder_epilogue,Monologue,Locale_SubScenario:event_queensorder_epilogue_1,False,CommanderRoom,black,black,1.0,none,,,,,,,,,
event_queensorder_epilogue_2,40015,event_queensorder_epilogue,Monologue,Locale_SubScenario:event_queensorder_epilogue_2,False,,black,black,1.0,,,,,,,,,,
event_queensorder_epilogue_3,40015,event_queensorder_epilogue,Speech,Locale_SubScenario:event_queensorder_epilogue_3,True,,1,10,2.0,bgm_story_fairytalesend_if,rosanna,rosanna,rosanna,1,good,,,,
event_queensorder_epilogue_4,40015,event_queensorder_epilogue,Monologue,Locale_SubScenario:event_queensorder_epilogue_4,False,,10,10,1.0,,rosanna,,,1,idle,sfx_scn_aim,,,
event_queensorder_epilogue_5,40015,event_queensorder_epilogue,Self,Locale_SubScenario:event_queensorder_epilogue_5,False,,10,10,1.0,,rosanna,,,1,idle,,,,
event_queensorder_epilogue_6,40015,event_queensorder_epilogue,Speech,Locale_SubScenario:event_queensorder_epilogue_6,True,,10,10,1.0,,rosanna,rosanna,,1,idle,,,,
event_queensorder_epilogue_7,40015,event_queensorder_epilogue,Speech,Locale_SubScenario:event_queensorder_epilogue_7,True,,10,10,1.0,,rosanna,rosanna,,1,idle,,,,
event_queensorder_epilogue_8,40015,event_queensorder_epilogue,Narration,Locale_SubScenario:event_queensorder_epilogue_8,False,,black,black,1.0,none,rosanna,,,1,idle,sfx_scn_magicboxopen,,,
event_queensorder_epilogue_9,40015,event_queensorder_epilogue,Self,Locale_SubScenario:event_queensorder_epilogue_9,False,,black,black,1.0,,rosanna,,,1,idle,,,,
event_queensorder_epilogue_10,40015,event_queensorder_epilogue,Monologue,Locale_SubScenario:event_queensorder_epilogue_10,False,,10,100,0.5,,rosanna,,,1,idle,,Low_2,,
event_queensorder_epilogue_11,40015,event_queensorder_epilogue,Self,Locale_SubScenario:event_queensorder_epilogue_11,False,,100,100,1.0,,rosanna,,,1,idle,,,,
event_queensorder_epilogue_12,40015,event_queensorder_epilogue,Speech,Locale_SubScenario:event_queensorder_epilogue_12,True,,100,100,1.0,bgm_story_leisuretime,rosanna,rosanna,,1,idle,,,,
event_queensorder_epilogue_13,40015,event_queensorder_epilogue,Speech,Locale_SubScenario:event_queensorder_epilogue_13,True,,100,100,1.0,,rosanna,rosanna,,1,idle,,,,
event_queensorder_epilogue_14,40015,event_queensorder_epilogue,Self,Locale_SubScenario:event_queensorder_epilogue_14,False,,100,100,1.0,,rosanna,,,1,idle,,,,
event_queensorder_epilogue_15,40015,event_queensorder_epilogue,Speech,Locale_SubScenario:event_queensorder_epilogue_15,True,,100,10,2.0,,rosanna,rosanna,,1,idle,,,,
event_queensorder_epilogue_16,40015,event_queensorder_epilogue,Speech,Locale_SubScenario:event_queensorder_epilogue_16,True,,10,10,1.0,,rosanna,rosanna,,1,idle,,,,
event_queensorder_epilogue_17,40015,event_queensorder_epilogue,Self,Locale_SubScenario:event_queensorder_epilogue_17,False,,10,10,1.0,,rosanna,,,1,idle,,,,
