id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake
event_lionheart_04_s_1,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_1,True,leona_no,1,idle,biscuit,13,idle,timi,3,idle,nero,5,idle,SchoolCorridor,Leo_10,Leo_10,1.0,bgm_story_inwonderland,,
event_lionheart_04_s_2,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_2,True,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_3,40037,event_lionheart_04_s,Self,leona_no,,Locale_SubScenario:event_lionheart_04_s_3,False,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_4,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_4,True,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_5,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_5,True,,1,delight,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_6,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_6,True,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_7,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_7,True,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_8,40037,event_lionheart_04_s,Self,leona_no,,Locale_SubScenario:event_lionheart_04_s_8,False,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_9,40037,event_lionheart_04_s,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_04_s_9,True,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,12,1.0,,,
event_lionheart_04_s_10,40037,event_lionheart_04_s,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_04_s_10,True,,1,idle,,13,idle,,3,idle,,5,idle,,12,12,1.0,,,
event_lionheart_04_s_11,40037,event_lionheart_04_s,Self,biscuit,,Locale_SubScenario:event_lionheart_04_s_11,False,,1,idle,,13,idle,,3,idle,,5,idle,,12,12,1.0,,,
event_lionheart_04_s_12,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_12,True,,1,idle,,13,idle,,3,idle,,5,idle,,12,12,1.0,,,
event_lionheart_04_s_13,40037,event_lionheart_04_s,Self,leona_no,,Locale_SubScenario:event_lionheart_04_s_13,False,,1,idle,,13,idle,,3,idle,,5,idle,,12,12,1.0,,,
event_lionheart_04_s_14,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_14,True,,1,idle,,13,idle,,3,idle,,5,idle,,12,12,1.0,,,
event_lionheart_04_s_15,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_15,True,,1,idle,,13,idle,,3,idle,,5,idle,,12,12,1.0,,,
event_lionheart_04_s_16,40037,event_lionheart_04_s,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_04_s_16,True,,1,idle,,13,idle,,3,idle,,5,idle,,12,12,1.0,,,
event_lionheart_04_s_17,40037,event_lionheart_04_s,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_04_s_17,True,,1,idle,,13,idle,,3,idle,,5,idle,,12,12,1.0,,,
event_lionheart_04_s_18,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_18,True,,1,idle,,13,idle,,3,idle,,5,idle,,12,Leo_10,1.0,,,
event_lionheart_04_s_19,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_19,True,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,2,1.0,,,
event_lionheart_04_s_20,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_20,True,,1,idle,,13,idle,,3,idle,,5,idle,,2,2,1.0,,,
event_lionheart_04_s_21,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_21,True,,1,idle,,13,idle,,3,idle,,5,idle,,2,2,1.0,,,
event_lionheart_04_s_22,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_22,True,,1,idle,,13,idle,,3,idle,,5,idle,,2,2,1.0,,,
event_lionheart_04_s_23,40037,event_lionheart_04_s,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_04_s_23,True,,1,idle,,13,idle,,3,idle,,5,idle,,XS_130,XS_130,1.0,,,
event_lionheart_04_s_24,40037,event_lionheart_04_s,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_04_s_24,True,,1,idle,,13,angry,,3,idle,,5,idle,,XS_130,XS_1300,1.0,,,
event_lionheart_04_s_25,40037,event_lionheart_04_s,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_04_s_25,True,,1,idle,,13,angry,,3,idle,,5,idle,,XS_1300,XS_1300,1.0,,,
event_lionheart_04_s_26,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_26,True,,1,idle,,13,angry,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_27,40037,event_lionheart_04_s,Self,leona_no,,Locale_SubScenario:event_lionheart_04_s_27,False,,1,idle,,13,angry,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_28,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_28,True,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_29,40037,event_lionheart_04_s,Speech,ruby,ruby,Locale_SubScenario:event_lionheart_04_s_29,True,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,sfx_scn_birdanswer,
event_lionheart_04_s_30,40037,event_lionheart_04_s,Self,ruby,,Locale_SubScenario:event_lionheart_04_s_30,False,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_31,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_31,True,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_32,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_32,True,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_33,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_33,True,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_34,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_34,True,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_35,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_35,True,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_36,40037,event_lionheart_04_s,Self,leona_no,,Locale_SubScenario:event_lionheart_04_s_36,False,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_37,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_37,True,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_38,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_38,True,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_39,40037,event_lionheart_04_s,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_04_s_39,True,,1,idle,,13,idle,,3,idle,,5,idle,,Leo_10,Leo_10,1.0,,,
event_lionheart_04_s_40,40037,event_lionheart_04_s,Speech,nero,nero,Locale_SubScenario:event_lionheart_04_s_40,True,,1,idle,,13,idle,,3,idle,,5,idle,,L_50,L_50,1.0,,,
event_lionheart_04_s_41,40037,event_lionheart_04_s,Speech,nero,nero,Locale_SubScenario:event_lionheart_04_s_41,True,,1,idle,,13,idle,,3,idle,,5,idle,,L_50,L_50,1.0,,,
event_lionheart_04_s_42,40037,event_lionheart_04_s,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_04_s_42,True,,1,idle,,13,sad,,3,idle,,5,idle,,XS_130,XS_130,1.0,,,
event_lionheart_04_s_43,40037,event_lionheart_04_s,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_04_s_43,True,,1,idle,,13,sad,,3,idle,,5,idle,,XS_130,XS_130,1.0,,,
event_lionheart_04_s_44,40037,event_lionheart_04_s,Speech,gray,gray,Locale_SubScenario:event_lionheart_04_s_44,True,,1,idle,,13,sad,,3,idle,,5,idle,,XS_130,XS_1300,1.0,,sfx_scn_howl,Low_2
event_lionheart_04_s_45,40037,event_lionheart_04_s,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_04_s_45,True,,1,idle,,13,sad,,3,idle,,5,idle,,XS_1300,XS_130,1.0,,,
event_lionheart_04_s_46,40037,event_lionheart_04_s,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_04_s_46,True,,1,idle,,13,sad,,3,idle,,5,idle,,XS_130,XS_130,1.0,,,
event_lionheart_04_s_47,40037,event_lionheart_04_s,Self,biscuit,,Locale_SubScenario:event_lionheart_04_s_47,False,,1,idle,,13,sad,,3,idle,,5,idle,,XS_130,XS_130,1.0,,,
event_lionheart_04_s_48,40037,event_lionheart_04_s,Speech,ruby,ruby,Locale_SubScenario:event_lionheart_04_s_48,True,,1,idle,,13,sad,,3,idle,,5,idle,,XS_130,XS_130,1.0,,sfx_scn_birdanswer,Low_2
event_lionheart_04_s_49,40037,event_lionheart_04_s,Narration,ruby,,Locale_SubScenario:event_lionheart_04_s_49,False,,1,idle,,13,sad,,3,idle,,5,idle,,XS_130,XS_130,1.0,,,
event_lionheart_04_s_50,40037,event_lionheart_04_s,Monologue,ruby,,Locale_SubScenario:event_lionheart_04_s_50,False,,1,idle,,13,sad,,3,idle,,5,idle,,XS_130,12,1.0,,,
event_lionheart_04_s_51,40037,event_lionheart_04_s,Self,ruby,,Locale_SubScenario:event_lionheart_04_s_51,False,,1,idle,,13,sad,,3,idle,,5,idle,,12,12,1.0,,,
event_lionheart_04_s_52,40037,event_lionheart_04_s,Monologue,ruby,,Locale_SubScenario:event_lionheart_04_s_52,False,,1,idle,,13,sad,,3,idle,,5,idle,,12,12,1.0,,,
