id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/2/hide_char_id
event_redash1_02_s_1,40031,event_redash1_02_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash1_02_s_1,True,redhood,13,pain_1,snowwhite_o,1,idle,commander,15,no,liliweiss,17,idle,rapunzel_o,3,idle,hongryeon_o,7,idle,dorothy,5,think,BriefingRoom,7,70,2.0,event_bgm_redash_ashsmoke,,
event_redash1_02_s_2,40031,event_redash1_02_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash1_02_s_2,True,,13,pain_1,,1,idle,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,70,70,1.0,,,
event_redash1_02_s_3,40031,event_redash1_02_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash1_02_s_3,True,,13,pain_1,,1,idle,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,70,70,1.0,,,
event_redash1_02_s_4,40031,event_redash1_02_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash1_02_s_4,True,,13,pain_1,,1,idle,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,70,70,1.0,,,
event_redash1_02_s_5,40031,event_redash1_02_s,Speech,redhood,redhood,Locale_MainScenario:event_redash1_02_s_5,True,,13,pain_1,,1,idle,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,130,130,1.0,,,
event_redash1_02_s_6,40031,event_redash1_02_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash1_02_s_6,True,,13,pain_1,,1,idle,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,70,70,1.0,,,
event_redash1_02_s_7,40031,event_redash1_02_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash1_02_s_7,True,,13,pain_1,,1,idle,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,70,70,1.0,,,
event_redash1_02_s_8,40031,event_redash1_02_s,Speech,redhood,redhood,Locale_MainScenario:event_redash1_02_s_8,True,,13,pain_2,,1,idle,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,130,130,1.0,,,
event_redash1_02_s_9,40031,event_redash1_02_s,Speech,redhood,redhood,Locale_MainScenario:event_redash1_02_s_9,True,,13,pain_2,,1,idle,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,130,130,1.0,,,
event_redash1_02_s_10,40031,event_redash1_02_s,Speech,rapunzel_o,rapunzel_o,Locale_MainScenario:event_redash1_02_s_10,True,,13,pain_2,,1,idle,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,L_30,L_30,1.0,,,
event_redash1_02_s_11,40031,event_redash1_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash1_02_s_11,True,,13,pain_2,,1,idle,,15,no,,17,think,,3,idle,,7,idle,,5,think,,170,170,1.0,,,
event_redash1_02_s_12,40031,event_redash1_02_s,Speech,rapunzel_o,rapunzel_o,Locale_MainScenario:event_redash1_02_s_12,True,,13,idle,,1,idle,,15,no,,17,think,,3,idle,,7,idle,,5,think,,L_30,L_30,1.0,,,
event_redash1_02_s_13,40031,event_redash1_02_s,Speech,rapunzel_o,rapunzel_o,Locale_MainScenario:event_redash1_02_s_13,True,,13,idle,,1,idle,,15,no,,17,think,,3,idle,,7,idle,,5,think,,L_30,L_300,1.0,,,
event_redash1_02_s_14,40031,event_redash1_02_s,Speech,rapunzel_o,rapunzel_o,Locale_MainScenario:event_redash1_02_s_14,True,,13,idle,,1,idle,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,L_300,L_300,1.0,,,
event_redash1_02_s_15,40031,event_redash1_02_s,Speech,rapunzel_o,rapunzel_o,Locale_MainScenario:event_redash1_02_s_15,True,,13,idle,,1,idle,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,L_300,L_300,1.0,,,
event_redash1_02_s_16,40031,event_redash1_02_s,Speech,redhood,redhood,Locale_MainScenario:event_redash1_02_s_16,True,,13,think,,1,idle,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,1300,1300,1.0,,,
event_redash1_02_s_17,40031,event_redash1_02_s,Speech,rapunzel_o,rapunzel_o,Locale_MainScenario:event_redash1_02_s_17,True,,13,think,,1,idle,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,L_300,L_300,1.0,,,
event_redash1_02_s_18,40031,event_redash1_02_s,Speech,redhood,redhood,Locale_MainScenario:event_redash1_02_s_18,True,,13,idle,,1,idle,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,1300,130,1.0,,,
event_redash1_02_s_19,40031,event_redash1_02_s,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash1_02_s_19,True,,13,idle,,1,angry,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,130,113,1.0,,,
event_redash1_02_s_20,40031,event_redash1_02_s,Speech,redhood,redhood,Locale_MainScenario:event_redash1_02_s_20,True,,13,idle,,1,angry,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,113,113,1.0,,,
event_redash1_02_s_21,40031,event_redash1_02_s,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash1_02_s_21,True,,13,idle,,1,sad,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,113,113,1.0,,,
event_redash1_02_s_22,40031,event_redash1_02_s,Speech,redhood,redhood,Locale_MainScenario:event_redash1_02_s_22,False,,13,think,,1,sad,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,113,113,1.0,,,
event_redash1_02_s_23,40031,event_redash1_02_s,Speech,redhood,redhood,Locale_MainScenario:event_redash1_02_s_23,True,,13,idle,,1,sad,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,113,130,1.0,,,
event_redash1_02_s_24,40031,event_redash1_02_s,Speech,redhood,redhood,Locale_MainScenario:event_redash1_02_s_24,True,,13,idle,,1,sad,,15,no,,17,idle,,3,idle,,7,idle,,5,think,,130,130,1.0,,,
