id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_nocallerid_03_s_1,40001,event_nocallerid_03_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_03_s_1,True,WasteLand_03,1,1,1.0,ambient_scn_wind,,,neon,3,idle,,anis,1,idle,,rapi,13,idle,
event_nocallerid_03_s_2,40001,event_nocallerid_03_s,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_03_s_2,True,,1,12,1.0,,,,,3,idle,,,1,idle,,,13,idle,
event_nocallerid_03_s_3,40001,event_nocallerid_03_s,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_03_s_3,True,,12,12,1.0,,,,,3,idle,,,1,idle,,,13,idle,
event_nocallerid_03_s_4,40001,event_nocallerid_03_s,Speech,neon,neon,Locale_SubScenario:event_nocallerid_03_s_4,True,,12,2,2.0,,,,,3,worry,,,1,idle,,,13,idle,
event_nocallerid_03_s_5,40001,event_nocallerid_03_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_03_s_5,True,,2,2,1.0,,,,,3,worry,,,1,worry,,,13,idle,
event_nocallerid_03_s_6,40001,event_nocallerid_03_s,Self,anis,Self,Locale_SubScenario:event_nocallerid_03_s_6,False,,2,2,1.0,,,,,3,worry,,,1,worry,,,13,idle,
event_nocallerid_03_s_7,40001,event_nocallerid_03_s,Speech,neon,neon,Locale_SubScenario:event_nocallerid_03_s_7,True,,2,2,1.0,,,,,3,idle,,,1,void,,,13,idle,
event_nocallerid_03_s_8,40001,event_nocallerid_03_s,Self,neon,Self,Locale_SubScenario:event_nocallerid_03_s_8,False,,2,2,1.0,,,,,3,idle,,,1,void,,,13,idle,
event_nocallerid_03_s_9,40001,event_nocallerid_03_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_03_s_9,True,,2,2,1.0,,,,,3,idle,,,1,worry,,,13,idle,
event_nocallerid_03_s_10,40001,event_nocallerid_03_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_03_s_10,True,,2,10,1.5,,,,,3,idle,,,1,worry,,,13,idle,
event_nocallerid_03_s_11,40001,event_nocallerid_03_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_03_s_11,True,,10,10,1.0,,,,,3,idle,,,1,worry,,,13,idle,
event_nocallerid_03_s_12,40001,event_nocallerid_03_s,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_03_s_12,True,,10,130,0.3,none,,,,3,idle,,,1,worry,,,13,angry,
event_nocallerid_03_s_13,40001,event_nocallerid_03_s,Narration,,Narration,Locale_SubScenario:event_nocallerid_03_s_13,False,,130,XS_130,2.0,,sfx_scn_chain,,,3,idle,neon,,1,worry,anis,,13,angry,rapi
event_nocallerid_03_s_14,40001,event_nocallerid_03_s,Self,,Self,Locale_SubScenario:event_nocallerid_03_s_14,False,,XS_130,XS_130,1.0,,,,,3,idle,,,1,worry,,,13,angry,
event_nocallerid_03_s_15,40001,event_nocallerid_03_s,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_03_s_15,True,,XS_130,130,1.0,bgm_recognition_underworld,,,neon,3,idle,,anis,1,void,,rapi,13,angry,
event_nocallerid_03_s_16,40001,event_nocallerid_03_s,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_03_s_16,True,,130,130,1.0,,,,,3,idle,,,1,void,,,13,angry,
event_nocallerid_03_s_17,40001,event_nocallerid_03_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_03_s_17,True,,130,12,1.0,,,,,3,idle,,,1,worry,,,13,angry,
event_nocallerid_03_s_18,40001,event_nocallerid_03_s,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_03_s_18,True,,12,12,1.0,,,,,3,idle,,,1,worry,,,13,think,
event_nocallerid_03_s_19,40001,event_nocallerid_03_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_03_s_19,True,,12,12,1.0,,,,,3,idle,,,1,worry,,,13,think,
event_nocallerid_03_s_20,40001,event_nocallerid_03_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_03_s_20,True,,12,1,1.0,,,,,3,idle,,,1,void,,,13,idle,
event_nocallerid_03_s_21,40001,event_nocallerid_03_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_03_s_21,False,,1,10,2.0,,,,,3,idle,,,1,pain,,,13,idle,
event_nocallerid_03_s_22,40001,event_nocallerid_03_s,Speech,neon,neon,Locale_SubScenario:event_nocallerid_03_s_22,True,,10,S_30,1.5,,,,,3,idle,,,1,pain,,,13,idle,
event_nocallerid_03_s_23,40001,event_nocallerid_03_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_03_s_23,True,,10,10,1.0,,,,,3,idle,,,1,sad,,,13,idle,
event_nocallerid_03_s_24,40001,event_nocallerid_03_s,Self,anis,Self,Locale_SubScenario:event_nocallerid_03_s_24,False,,10,10,1.0,,,,,3,idle,,,1,sad,,,13,idle,
event_nocallerid_03_s_25,40001,event_nocallerid_03_s,Speech,neon,neon,Locale_SubScenario:event_nocallerid_03_s_25,True,,10,S_30,1.5,,,,,3,worry,,,1,worry,,,13,idle,
event_nocallerid_03_s_26,40001,event_nocallerid_03_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_03_s_26,True,,S_30,2,1.0,,,,,3,worry,,,1,worry,,,13,idle,
event_nocallerid_03_s_27,40001,event_nocallerid_03_s,Speech,anis,anis,Locale_SubScenario:event_nocallerid_03_s_27,True,,2,2,1.0,,,,,3,worry,,,1,worry,,,13,idle,
event_nocallerid_03_s_28,40001,event_nocallerid_03_s,Self,anis,Self,Locale_SubScenario:event_nocallerid_03_s_28,False,,2,2,1.0,,,,,3,idle,,,1,worry,,,13,idle,
event_nocallerid_03_s_29,40001,event_nocallerid_03_s,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_03_s_29,False,,130,130,2.0,,,,,3,idle,,,1,worry,,,13,think,
event_nocallerid_03_s_30,40001,event_nocallerid_03_s,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_03_s_30,True,,130,130,1.0,,,,,3,idle,,,1,void,,,13,idle,
event_nocallerid_03_s_31,40001,event_nocallerid_03_s,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_03_s_31,True,,130,130,1.0,,,,,3,idle,,,1,void,,,13,idle,
event_nocallerid_03_s_32,40001,event_nocallerid_03_s,Narration,,Narration,Locale_SubScenario:event_nocallerid_03_s_32,False,,130,160,1.0,none,sfx_scn_fly,,,3,idle,,,1,void,,,13,idle,
event_nocallerid_03_s_33,40001,event_nocallerid_03_s,Narration,,Narration,Locale_SubScenario:event_nocallerid_03_s_33,False,,160,1600,1.0,,sfx_scn_explosions,Low_1,,3,idle,,,1,angry,,,13,idle,
