id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_nocallerid_01_e_1,40001,event_nocallerid_01_e,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_01_e_1,True,Desert_04,1,1,1.0,bgm_recognition,,neon,3,idle,rapi,1,idle,anis,13,idle
event_nocallerid_01_e_2,40001,event_nocallerid_01_e,Speech,anis,anis,Locale_SubScenario:event_nocallerid_01_e_2,True,,1,12,1.5,,,,3,idle,,1,idle,,13,idle
event_nocallerid_01_e_3,40001,event_nocallerid_01_e,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_01_e_3,False,,12,12,1.0,,,,3,idle,,1,think,,13,idle
event_nocallerid_01_e_4,40001,event_nocallerid_01_e,Speech,neon,neon,Locale_SubScenario:event_nocallerid_01_e_4,True,,S_30,S_30,1.0,,,,3,idle,,1,think,,13,idle
event_nocallerid_01_e_5,40001,event_nocallerid_01_e,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_01_e_5,True,,S_30,10,0.5,,,,3,idle,,1,idle,,13,idle
event_nocallerid_01_e_6,40001,event_nocallerid_01_e,Speech,anis,anis,Locale_SubScenario:event_nocallerid_01_e_6,True,,10,130,1.5,,,,3,idle,,1,idle,,13,worry
event_nocallerid_01_e_7,40001,event_nocallerid_01_e,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_01_e_7,True,,10,10,1.0,,,,3,idle,,1,idle,,13,worry
event_nocallerid_01_e_8,40001,event_nocallerid_01_e,Narration,,Narration,Locale_SubScenario:event_nocallerid_01_e_8,False,,10,1,2.0,,sfx_scn_crackle,,3,idle,,1,idle,,13,void
event_nocallerid_01_e_9,40001,event_nocallerid_01_e,Narration,,Narration,Locale_SubScenario:event_nocallerid_01_e_9,False,,1,1,1.0,,,,3,idle,,1,idle,,13,void
event_nocallerid_01_e_10,40001,event_nocallerid_01_e,Speech,anis,anis,Locale_SubScenario:event_nocallerid_01_e_10,True,,1,130,2.0,,,,3,idle,,1,idle,,13,void
event_nocallerid_01_e_11,40001,event_nocallerid_01_e,Speech,neon,neon,Locale_SubScenario:event_nocallerid_01_e_11,True,,S_30,S_30,1.5,,,,3,idle,,1,idle,,13,void
event_nocallerid_01_e_12,40001,event_nocallerid_01_e,Self,neon,Self,Locale_SubScenario:event_nocallerid_01_e_12,False,,S_30,S_30,1.0,,,,3,idle,,1,idle,,13,void
event_nocallerid_01_e_13,40001,event_nocallerid_01_e,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_01_e_13,True,,10,10,1.0,,,,3,idle,,1,idle,,13,void
event_nocallerid_01_e_14,40001,event_nocallerid_01_e,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_01_e_14,True,,10,10,1.0,,,,3,idle,,1,idle,,13,void
event_nocallerid_01_e_15,40001,event_nocallerid_01_e,Self,rapi,Self,Locale_SubScenario:event_nocallerid_01_e_15,False,,10,10,1.0,,,,3,idle,,1,idle,,13,void
event_nocallerid_01_e_16,40001,event_nocallerid_01_e,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_01_e_16,True,,10,10,1.0,,,,3,idle,,1,idle,,13,void
