id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,fade
event_ce_01_03_s_1,40008,event_ce_01_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_03_s_1,True,neon,7,idle,anis,5,idle,rapi,3,idle,c_npc_2,1,idle,c_3,13,idle,c_npc_1,15,idle,c_2,17,sad,Armory,2,2,1.0,bgm_story_fairytalesend_a,,,,,,,,,
event_ce_01_03_s_2,40008,event_ce_01_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_03_s_2,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,sad,,2,2,1.0,,,,,,,,,,
event_ce_01_03_s_3,40008,event_ce_01_03_s,Narration,,Narration,Locale_SubScenario:event_ce_01_03_s_3,False,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,sad,,2,2,1.0,,,,,,,,,,
event_ce_01_03_s_4,40008,event_ce_01_03_s,Speech,c_npc_2,c_npc_2,Locale_SubScenario:event_ce_01_03_s_4,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,sad,,2,2,1.0,,,,,,,,,,
event_ce_01_03_s_5,40008,event_ce_01_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_03_s_5,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,sad,,2,2,1.0,,,,,,,,,,
event_ce_01_03_s_6,40008,event_ce_01_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_03_s_6,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,sad,,2,2,1.0,,,,,,,,,,
event_ce_01_03_s_7,40008,event_ce_01_03_s,Speech,c_3,c_3,Locale_SubScenario:event_ce_01_03_s_7,False,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,sad,,2,12,2.0,,,,,,,,,,
event_ce_01_03_s_8,40008,event_ce_01_03_s,Speech,c_npc_2,c_npc_2,Locale_SubScenario:event_ce_01_03_s_8,False,,7,idle,,5,idle,,3,idle,,1,think,,13,idle,,15,idle,,17,sad,,12,12,1.0,,,,,,,,,,
event_ce_01_03_s_9,40008,event_ce_01_03_s,Speech,c_npc_2,c_npc_2,Locale_SubScenario:event_ce_01_03_s_9,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,sad,,12,12,1.0,,,,,,,,,,
event_ce_01_03_s_10,40008,event_ce_01_03_s,Speech,rapi,rapi,Locale_SubScenario:event_ce_01_03_s_10,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,sad,,12,12,1.0,,,,,,,,,,
