id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,play_sound,fade,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim
event_liarsend_06_1,130004,event_liarsend_06,Monologue,Locale_SubScenario:event_liarsend_06_1,False,Hotel,1,1,1.0,bgm_story_breakaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_liarsend_06_2,130004,event_liarsend_06,Monologue,Locale_SubScenario:event_liarsend_06_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_liarsend_06_3,130004,event_liarsend_06,Monologue,Locale_SubScenario:event_liarsend_06_3,False,,1,10,1.0,,m_event_liarsend_06_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_liarsend_06_4,130004,event_liarsend_06,Narration,Locale_SubScenario:event_liarsend_06_4,False,,10,10,1.0,,,sfx_scn_phonevibration,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_liarsend_06_5,130004,event_liarsend_06,Narration,Locale_SubScenario:event_liarsend_06_5,False,,10,10,1.0,,,sfx_scn_phonevibration,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_liarsend_06_6,130004,event_liarsend_06,Narration,Locale_SubScenario:event_liarsend_06_6,False,,10,10,1.0,,,sfx_scn_phonevibration,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_liarsend_06_7,130004,event_liarsend_06,Monologue,Locale_SubScenario:event_liarsend_06_7,False,,10,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_liarsend_06_8,130004,event_liarsend_06,Monologue,Locale_SubScenario:event_liarsend_06_8,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_liarsend_06_9,130004,event_liarsend_06,Monologue,Locale_SubScenario:event_liarsend_06_9,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_liarsend_06_10,130004,event_liarsend_06,Narration,Locale_SubScenario:event_liarsend_06_10,False,,black,black,1.0,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,
event_liarsend_06_11,130004,event_liarsend_06,Self,Locale_SubScenario:event_liarsend_06_11,False,,1,100,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_liarsend_06_12,130004,event_liarsend_06,Self,Locale_SubScenario:event_liarsend_06_12,False,,100,100,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_liarsend_06_13,130004,event_liarsend_06,Monologue,Locale_SubScenario:event_liarsend_06_13,False,,100,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_liarsend_06_14,130004,event_liarsend_06,Narration,Locale_SubScenario:event_liarsend_06_14,False,,1,1,1.0,,,sfx_scn_knock,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_liarsend_06_15,130004,event_liarsend_06,Self,Locale_SubScenario:event_liarsend_06_15,False,,1,1,1.0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_liarsend_06_16,130004,event_liarsend_06,Narration,Locale_SubScenario:event_liarsend_06_16,False,,black,black,1.0,,,sfx_scn_dooropenfast,,,,,,,,,,,,,,,,,,,,,,,,,,,
