id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,conversation_id,set_filter_01,set_filter_02
event_claymore_01_e_1,40050,event_claymore_01_e,Monologue,Locale_SubScenario:event_claymore_01_e_1,False,CommanderRoom,1,1,1.0,none,,,,
event_claymore_01_e_2,40050,event_claymore_01_e,Monologue,Locale_SubScenario:event_claymore_01_e_2,False,,1,1,1.0,bgm_story_breakaway,,,,
event_claymore_01_e_3,40050,event_claymore_01_e,Narration,Locale_SubScenario:event_claymore_01_e_3,False,,1,1,1.0,,sfx_scn_phonevibration,,,
event_claymore_01_e_4,40050,event_claymore_01_e,Narration,Locale_SubScenario:event_claymore_01_e_4,False,,1,1,1.0,,sfx_scn_phonevibration,,,
event_claymore_01_e_5,40050,event_claymore_01_e,Monologue,Locale_SubScenario:event_claymore_01_e_5,False,,1,1,1.0,,,,,
event_claymore_01_e_6,40050,event_claymore_01_e,Monologue,Locale_SubScenario:event_claymore_01_e_6,False,,1,1,1.0,,,,,
event_claymore_01_e_7,40050,event_claymore_01_e,Narration,Locale_SubScenario:event_claymore_01_e_7,False,,1,1,1.0,,sfx_scn_phonevibration,,,
event_claymore_01_e_8,40050,event_claymore_01_e,Narration,Locale_SubScenario:event_claymore_01_e_8,False,,1,1,1.0,,sfx_scn_phonevibration,,,
event_claymore_01_e_9,40050,event_claymore_01_e,Self,Locale_SubScenario:event_claymore_01_e_9,False,,1,1,1.0,,,,,
event_claymore_01_e_10,40050,event_claymore_01_e,Monologue,Locale_SubScenario:event_claymore_01_e_10,False,,1,1,1.0,,,m_event_claymore_01_e,,
event_claymore_01_e_11,40050,event_claymore_01_e,Monologue,Locale_SubScenario:event_claymore_01_e_11,False,,1,1,1.0,,,,,
event_claymore_01_e_12,40050,event_claymore_01_e,Monologue,Locale_SubScenario:event_claymore_01_e_12,False,,1,1,1.0,,,,,
event_claymore_01_e_13,40050,event_claymore_01_e,Monologue,Locale_SubScenario:event_claymore_01_e_13,False,,1,1,1.0,,,,,
event_claymore_01_e_14,40050,event_claymore_01_e,Monologue,Locale_SubScenario:event_claymore_01_e_14,False,,1,1,1.0,,,,,
event_claymore_01_e_15,40050,event_claymore_01_e,Narration,Locale_SubScenario:event_claymore_01_e_15,False,SchoolCorridor,1,15,1.0,,,,Vignetting,Grey
event_claymore_01_e_16,40050,event_claymore_01_e,Narration,Locale_SubScenario:event_claymore_01_e_16,False,,15,15,1.0,,,,Vignetting,Grey
event_claymore_01_e_17,40050,event_claymore_01_e,Monologue,Locale_SubScenario:event_claymore_01_e_17,False,,15,15,1.0,,,,Vignetting,Grey
event_claymore_01_e_18,40050,event_claymore_01_e,Narration,Locale_SubScenario:event_claymore_01_e_18,False,Park,15,13,1.0,,,,Vignetting,Grey
event_claymore_01_e_19,40050,event_claymore_01_e,Narration,Locale_SubScenario:event_claymore_01_e_19,False,,13,13,1.0,,,,Vignetting,Grey
event_claymore_01_e_20,40050,event_claymore_01_e,Narration,Locale_SubScenario:event_claymore_01_e_20,False,,13,13,1.0,,,,Vignetting,Grey
event_claymore_01_e_21,40050,event_claymore_01_e,Narration,Locale_SubScenario:event_claymore_01_e_21,False,,13,13,1.0,,,,Vignetting,Grey
event_claymore_01_e_22,40050,event_claymore_01_e,Narration,Locale_SubScenario:event_claymore_01_e_22,False,,13,13,1.0,,,,Vignetting,Grey
event_claymore_01_e_23,40050,event_claymore_01_e,Narration,Locale_SubScenario:event_claymore_01_e_23,False,,13,13,1.0,,,,Vignetting,Grey
event_claymore_01_e_24,40050,event_claymore_01_e,Monologue,Locale_SubScenario:event_claymore_01_e_24,False,CommanderRoom,black,black,1.0,,,,,
event_claymore_01_e_25,40050,event_claymore_01_e,Narration,Locale_SubScenario:event_claymore_01_e_25,False,,1,1,1.0,,sfx_scn_phonevibration,,,
event_claymore_01_e_26,40050,event_claymore_01_e,Monologue,Locale_SubScenario:event_claymore_01_e_26,False,,1,1,1.0,,,,,
event_claymore_01_e_27,40050,event_claymore_01_e,Monologue,Locale_SubScenario:event_claymore_01_e_27,False,,1,1,1.0,,,,,
event_claymore_01_e_28,40050,event_claymore_01_e,Monologue,Locale_SubScenario:event_claymore_01_e_28,False,,1,1,1.0,,,,,
event_claymore_01_e_29,40050,event_claymore_01_e,Monologue,Locale_SubScenario:event_claymore_01_e_29,False,,1,1,1.0,,,,,
event_claymore_01_e_30,40050,event_claymore_01_e,Self,Locale_SubScenario:event_claymore_01_e_30,False,,1,1,1.0,,,,,
