id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/3/hide_char_id
event_overzone1_02_e_1,80303,event_overzone1_02_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_e_1,True,dorothy,1,think,rapunzel,3,sad,hongryeon,13,no,snowwhite,18,idle,Desert_05,31,31,1.0,event_bgm_overzone,,
event_overzone1_02_e_2,80303,event_overzone1_02_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_02_e_2,True,,1,think,,3,sad,,13,no,,18,idle,,31,31,1.0,,,
event_overzone1_02_e_3,80303,event_overzone1_02_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_e_3,True,,1,think,,3,sad,,13,no,,18,idle,,31,31,1.0,,,
event_overzone1_02_e_4,80303,event_overzone1_02_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_02_e_4,True,,1,think,,3,sad,,13,no,,18,idle,,31,31,1.0,,,
event_overzone1_02_e_5,80303,event_overzone1_02_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_02_e_5,True,,1,think,,3,sad,,13,no,,18,idle,,31,31,1.0,,,
event_overzone1_02_e_6,80303,event_overzone1_02_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone1_02_e_6,False,,1,think,,3,sad,,13,no,,18,idle,,L_180,L_180,1.0,,,
event_overzone1_02_e_7,80303,event_overzone1_02_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_e_7,True,,1,think,,3,sad,,13,no,,18,pain,,130,130,1.0,,,
event_overzone1_02_e_8,80303,event_overzone1_02_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_e_8,True,,1,think,,3,sad,,13,no,,18,pain,,130,10,1.0,,,
event_overzone1_02_e_9,80303,event_overzone1_02_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_02_e_9,True,,1,think,,3,sad,,13,no,,18,pain,,10,30,1.0,,,
event_overzone1_02_e_10,80303,event_overzone1_02_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_e_10,False,,1,think,,3,sad,,13,no,,18,pain,,30,30,1.0,,,
event_overzone1_02_e_11,80303,event_overzone1_02_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_02_e_11,True,,1,think,,3,sad,,13,no,,18,pain,,30,30,1.0,,,
event_overzone1_02_e_12,80303,event_overzone1_02_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_e_12,True,,1,think,,3,sad,,13,no,,18,pain,,30,130,1.0,,,
event_overzone1_02_e_13,80303,event_overzone1_02_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_02_e_13,False,,1,think,,3,sad,,13,no,,18,idle,,130,130,1.0,,,
event_overzone1_02_e_14,80303,event_overzone1_02_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_e_14,True,,1,think,,3,sad,,13,pain,,18,idle,,130,1300,2.0,,,
event_overzone1_02_e_15,80303,event_overzone1_02_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_e_15,True,,1,think,,3,sad,,13,pain,,18,idle,,1300,1300,1.0,,,
event_overzone1_02_e_16,80303,event_overzone1_02_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_e_16,False,,1,think,,3,sad,,13,idle,,18,idle,,1300,1300,1.0,,,
event_overzone1_02_e_17,80303,event_overzone1_02_e,Narration,,,Locale_MainScenario:event_overzone1_02_e_17,False,,1,think,,3,sad,,13,idle,,18,idle,,1300,130,2.0,,,
event_overzone1_02_e_18,80303,event_overzone1_02_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_e_18,True,,1,think,,3,sad,,13,idle,,18,idle,,130,130,1.0,,,
event_overzone1_02_e_19,80303,event_overzone1_02_e,Narration,,,Locale_MainScenario:event_overzone1_02_e_19,False,,1,think,,3,sad,,13,idle,,18,idle,,130,130,1.0,,sfx_scn_plantseed,
event_overzone1_02_e_20,80303,event_overzone1_02_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_e_20,True,,1,think,,3,sad,,13,idle,,18,idle,,130,130,1.0,,,
event_overzone1_02_e_21,80303,event_overzone1_02_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_e_21,True,,1,think,,3,sad,,13,idle,,18,idle,,130,130,1.0,,,
event_overzone1_02_e_22,80303,event_overzone1_02_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_e_22,True,,1,think,,3,sad,,13,idle,,18,idle,,130,130,1.0,,,
event_overzone1_02_e_23,80303,event_overzone1_02_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_e_23,True,,1,think,,3,sad,,13,idle,,18,idle,,130,130,1.0,,,
event_overzone1_02_e_24,80303,event_overzone1_02_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_e_24,True,,1,think,,3,sad,,13,idle,,18,idle,,130,130,1.0,,,
event_overzone1_02_e_25,80303,event_overzone1_02_e,Narration,,,Locale_MainScenario:event_overzone1_02_e_25,False,,1,think,,3,sad,,13,idle,,18,idle,,130,13,1.0,,sfx_scn_plantseed,
event_overzone1_02_e_26,80303,event_overzone1_02_e,Narration,,,Locale_MainScenario:event_overzone1_02_e_26,False,,1,think,,3,sad,,13,idle,,18,idle,,13,13,1.0,,,
event_overzone1_02_e_27,80303,event_overzone1_02_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_e_27,True,,1,think,,3,sad,,13,idle,,18,idle,,13,1,1.0,,,
event_overzone1_02_e_28,80303,event_overzone1_02_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone1_02_e_28,True,,1,think,,3,sad,,13,idle,,18,idle,,18,18,1.0,,,
event_overzone1_02_e_29,80303,event_overzone1_02_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_e_29,True,,1,think,,3,sad,,13,idle,,18,idle,,1,1,1.0,,,
event_overzone1_02_e_30,80303,event_overzone1_02_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone1_02_e_30,True,,1,think,,3,sad,,13,idle,,18,idle,,18,18,1.0,,,
event_overzone1_02_e_31,80303,event_overzone1_02_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_overzone1_02_e_31,True,,1,think,,3,sad,,13,idle,,18,idle,,18,18,1.0,,,
event_overzone1_02_e_32,80303,event_overzone1_02_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_e_32,False,,1,think,,3,sad,,13,idle,,18,idle,,1,1,1.0,,,
event_overzone1_02_e_33,80303,event_overzone1_02_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_e_33,True,,1,think,,3,sad,,13,idle,,18,idle,,1,1,1.0,,,
event_overzone1_02_e_34,80303,event_overzone1_02_e,Narration,,,Locale_MainScenario:event_overzone1_02_e_34,False,,1,think,,3,sad,,13,idle,,18,idle,,black,black,1.0,none,,snowwhite
event_overzone1_02_e_35,80303,event_overzone1_02_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_02_e_35,True,,1,think,,3,sad,,13,idle,,,,,30,30,1.0,bgm_story_purewhite,,
event_overzone1_02_e_36,80303,event_overzone1_02_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_e_36,True,,1,think,,3,sad,,13,idle,,,,,130,130,1.0,,,
event_overzone1_02_e_37,80303,event_overzone1_02_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_e_37,True,,1,think,,3,sad,,13,idle,,,,,130,130,1.0,,,
event_overzone1_02_e_38,80303,event_overzone1_02_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_e_38,True,,1,think,,3,sad,,13,idle,,,,,130,130,1.0,,,
event_overzone1_02_e_39,80303,event_overzone1_02_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_02_e_39,True,,1,think,,3,sad,,13,idle,,,,,30,30,1.0,,,
event_overzone1_02_e_40,80303,event_overzone1_02_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_e_40,True,,1,think,,3,sad,,13,idle,,,,,130,130,1.0,,,
event_overzone1_02_e_41,80303,event_overzone1_02_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_e_41,False,,1,think,,3,sad,,13,idle,,,,,130,113,2.0,,,
event_overzone1_02_e_42,80303,event_overzone1_02_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_e_42,True,,1,think,,3,sad,,13,idle,,,,,113,113,1.0,,,
event_overzone1_02_e_43,80303,event_overzone1_02_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_e_43,True,,1,think,,3,sad,,13,idle,,,,,113,113,1.0,,,
event_overzone1_02_e_44,80303,event_overzone1_02_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_e_44,True,,1,think,,3,sad,,13,idle,,,,,113,113,1.0,,,
event_overzone1_02_e_45,80303,event_overzone1_02_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_e_45,True,,1,think,,3,sad,,13,idle,,,,,113,113,1.0,,,
