id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,jump_target,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,set_filter_01,set_filter_02
event_dazzlingcupid_06_e_1,40029,event_dazzlingcupid_06_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_06_e_1,False,SchoolCorridor_e,1,1,1.0,sfx_scn_rustle,none,,,,,,,,,,,,,,,,,
event_dazzlingcupid_06_e_2,40029,event_dazzlingcupid_06_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_06_e_2,False,,1,1,1.0,,bgm_story_backtonormal,,,,,,,,,,,,,,,,,
event_dazzlingcupid_06_e_3,40029,event_dazzlingcupid_06_e,Choice,,Locale_SubScenario:event_dazzlingcupid_06_e_3,False,,1,1,1.0,,,event_dazzlingcupid_06_e_5,,,,,,,,,,,,,,,,
event_dazzlingcupid_06_e_4,40029,event_dazzlingcupid_06_e,Choice,,Locale_SubScenario:event_dazzlingcupid_06_e_4,False,,1,1,1.0,,,event_dazzlingcupid_06_e_87,,,,,,,,,,,,,,,,
event_dazzlingcupid_06_e_5,40029,event_dazzlingcupid_06_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_06_e_5,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,
event_dazzlingcupid_06_e_6,40029,event_dazzlingcupid_06_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_06_e_6,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,
event_dazzlingcupid_06_e_7,40029,event_dazzlingcupid_06_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_06_e_7,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,
event_dazzlingcupid_06_e_8,40029,event_dazzlingcupid_06_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_06_e_8,False,,1,1,1.0,,none,,,,,,,,,,,,,,,,,
event_dazzlingcupid_06_e_9,40029,event_dazzlingcupid_06_e,Narration,Narration,Locale_SubScenario:event_dazzlingcupid_06_e_9,False,Classroom_e,black,black,1.0,,bgm_story_impression,,,,,,,,,,,,,,,,,
event_dazzlingcupid_06_e_10,40029,event_dazzlingcupid_06_e,Speech,naga,Locale_SubScenario:event_dazzlingcupid_06_e_10,True,,naga_01,naga_01,1.0,,,,naga,dazzlingcupid_naga,1,idle,,,,,,,,,,,,
