id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_filter_01,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/0/hide_char_id,characters/4/hide_char_id,characters/3/hide_char_id,characters/1/hide_char_id
event_ce006_3_01_e_1,40080,event_ce006_3_01_e,Narration,bunkerchild,Locale_MainScenario:event_ce006_3_01_e_1,False,com,1,idle,bunkerofartist,black,black,1.0,sfx_scn_memorynoise,none,Grey,,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_2,40080,event_ce006_3_01_e,Speech,bunkerchild,Locale_MainScenario:event_ce006_3_01_e_2,True,,1,idle,,1,1,1.0,,collab_bgm_sb_camp_04,Grey,bunkerchild,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_3,40080,event_ce006_3_01_e,Speech,com,Locale_MainScenario:event_ce006_3_01_e_3,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_4,40080,event_ce006_3_01_e,Speech,bunkerchild,Locale_MainScenario:event_ce006_3_01_e_4,True,,1,idle,,1,1,1.0,,,Grey,bunkerchild,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_5,40080,event_ce006_3_01_e,Speech,com,Locale_MainScenario:event_ce006_3_01_e_5,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_6,40080,event_ce006_3_01_e,Speech,bunkerchild,Locale_MainScenario:event_ce006_3_01_e_6,True,,1,idle,,1,1,1.0,,,Grey,bunkerchild,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_7,40080,event_ce006_3_01_e,Speech,bunkerchild,Locale_MainScenario:event_ce006_3_01_e_7,True,,1,idle,,1,10,1.0,,,Grey,bunkerchild,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_8,40080,event_ce006_3_01_e,Narration,bunkerchild,Locale_MainScenario:event_ce006_3_01_e_8,False,,1,idle,,black,black,1.0,sfx_scn_runaway,,Grey,,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_9,40080,event_ce006_3_01_e,Speech,com,Locale_MainScenario:event_ce006_3_01_e_9,True,,1,idle,,10,1,1.3,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_10,40080,event_ce006_3_01_e,Speech,middlehermin,Locale_MainScenario:event_ce006_3_01_e_10,True,,1,idle,,1,1,1.0,,,Grey,middlehermin,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_11,40080,event_ce006_3_01_e,Speech,com,Locale_MainScenario:event_ce006_3_01_e_11,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_12,40080,event_ce006_3_01_e,Speech,middlehermin,Locale_MainScenario:event_ce006_3_01_e_12,True,,1,idle,,1,1,1.0,,,Grey,middlehermin,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_13,40080,event_ce006_3_01_e,Speech,com,Locale_MainScenario:event_ce006_3_01_e_13,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_14,40080,event_ce006_3_01_e,Speech,com,Locale_MainScenario:event_ce006_3_01_e_14,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_15,40080,event_ce006_3_01_e,Speech,com,Locale_MainScenario:event_ce006_3_01_e_15,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_16,40080,event_ce006_3_01_e,Speech,com,Locale_MainScenario:event_ce006_3_01_e_16,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_17,40080,event_ce006_3_01_e,Speech,middlehermin,Locale_MainScenario:event_ce006_3_01_e_17,True,,1,idle,,1,1,1.0,,,Grey,middlehermin,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_18,40080,event_ce006_3_01_e,Speech,com,Locale_MainScenario:event_ce006_3_01_e_18,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_19,40080,event_ce006_3_01_e,Speech,middlehermin,Locale_MainScenario:event_ce006_3_01_e_19,False,,1,idle,,1,1,1.0,,,Grey,middlehermin,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_20,40080,event_ce006_3_01_e,Speech,middlehermin,Locale_MainScenario:event_ce006_3_01_e_20,True,,1,idle,,1,1,1.0,,,Grey,middlehermin,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_21,40080,event_ce006_3_01_e,Speech,com,Locale_MainScenario:event_ce006_3_01_e_21,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_22,40080,event_ce006_3_01_e,Speech,com,Locale_MainScenario:event_ce006_3_01_e_22,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_23,40080,event_ce006_3_01_e,Speech,com,Locale_MainScenario:event_ce006_3_01_e_23,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_24,40080,event_ce006_3_01_e,Speech,middlehermin,Locale_MainScenario:event_ce006_3_01_e_24,True,,1,idle,,1,1,1.0,,,Grey,middlehermin,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_25,40080,event_ce006_3_01_e,Speech,middlehermin,Locale_MainScenario:event_ce006_3_01_e_25,True,,1,idle,,1,1,1.0,,,Grey,middlehermin,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_26,40080,event_ce006_3_01_e,Speech,com,Locale_MainScenario:event_ce006_3_01_e_26,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_27,40080,event_ce006_3_01_e,Speech,com,Locale_MainScenario:event_ce006_3_01_e_27,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_28,40080,event_ce006_3_01_e,Speech,com,Locale_MainScenario:event_ce006_3_01_e_28,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_29,40080,event_ce006_3_01_e,Speech,middlehermin,Locale_MainScenario:event_ce006_3_01_e_29,True,,1,idle,,1,1,1.0,,,Grey,middlehermin,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_30,40080,event_ce006_3_01_e,Speech,com,Locale_MainScenario:event_ce006_3_01_e_30,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_31,40080,event_ce006_3_01_e,Speech,com,Locale_MainScenario:event_ce006_3_01_e_31,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_32,40080,event_ce006_3_01_e,Speech,com,Locale_MainScenario:event_ce006_3_01_e_32,True,,1,idle,,1,1,1.0,,,Grey,com,,,,,,,,,,,,,,,,,
event_ce006_3_01_e_33,40080,event_ce006_3_01_e,Speech,middlehermin,Locale_MainScenario:event_ce006_3_01_e_33,False,,1,idle,,1,1,1.0,,,Grey,middlehermin,,,,,,,,,,,,,,,,,
