id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker
event_miraclesnow2_04_s_1,40004,event_miraclesnow2_04_s,Narration,Locale_SubScenario:event_miraclesnow2_04_s_1,False,rupee_w,1,think,angelina,3,angry,City,black,black,1.0,none,,
event_miraclesnow2_04_s_2,40004,event_miraclesnow2_04_s,Monologue,Locale_SubScenario:event_miraclesnow2_04_s_2,False,,1,think,,3,angry,,black,black,1.0,,,
event_miraclesnow2_04_s_3,40004,event_miraclesnow2_04_s,Self,Locale_SubScenario:event_miraclesnow2_04_s_3,False,,1,think,,3,angry,,3,3,1.0,bgm_story_fairytalesend_if,,
event_miraclesnow2_04_s_4,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_4,False,,1,think,,3,angry,,3,30,1.0,,angelina,angelina
event_miraclesnow2_04_s_5,40004,event_miraclesnow2_04_s,Self,Locale_SubScenario:event_miraclesnow2_04_s_5,False,,1,think,,3,angry,,30,30,1.0,,,
event_miraclesnow2_04_s_6,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_6,True,,1,think,,3,worry,,30,30,1.0,,angelina,angelina
event_miraclesnow2_04_s_7,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_7,True,,1,think,,3,worry,,30,31,1.0,,rupee_w,rupee
event_miraclesnow2_04_s_8,40004,event_miraclesnow2_04_s,Monologue,Locale_SubScenario:event_miraclesnow2_04_s_8,False,,1,think,,3,worry,,31,31,1.0,,,
event_miraclesnow2_04_s_9,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_9,True,,1,think,,3,worry,,31,31,1.0,,angelina,angelina
event_miraclesnow2_04_s_10,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_10,True,,1,think,,3,angry,,31,31,1.0,,angelina,angelina
event_miraclesnow2_04_s_11,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_11,True,,1,think,,3,angry,,31,31,1.0,,angelina,angelina
event_miraclesnow2_04_s_12,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_12,True,,1,think,,3,angry,,31,31,1.0,,rupee_w,rupee
event_miraclesnow2_04_s_13,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_13,True,,1,think,,3,angry,,31,31,1.0,,angelina,angelina
event_miraclesnow2_04_s_14,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_14,True,,1,think,,3,angry,,31,31,1.0,,rupee_w,rupee
event_miraclesnow2_04_s_15,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_15,True,,1,think,,3,angry,,31,31,1.0,,rupee_w,rupee
event_miraclesnow2_04_s_16,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_16,True,,1,think,,3,worry,,31,31,1.0,,angelina,angelina
event_miraclesnow2_04_s_17,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_17,True,,1,etc,,3,worry,,31,31,1.0,,rupee_w,rupee
event_miraclesnow2_04_s_18,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_18,True,,1,etc,,3,worry,,31,31,1.0,,rupee_w,rupee
event_miraclesnow2_04_s_19,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_19,False,,1,etc,,3,surprise,,31,3,1.0,,angelina,angelina
event_miraclesnow2_04_s_20,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_20,True,,1,etc,,3,angry,,3,30,1.0,,angelina,angelina
event_miraclesnow2_04_s_21,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_21,True,,1,etc,,3,angry,,30,300,1.0,,angelina,angelina
event_miraclesnow2_04_s_22,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_22,True,,1,sad,,3,angry,,300,300,1.0,,angelina,angelina
event_miraclesnow2_04_s_23,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_23,True,,1,sad,,3,angry,,300,300,1.0,,angelina,angelina
event_miraclesnow2_04_s_24,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_24,True,,1,sad,,3,angry,,300,300,1.0,,angelina,angelina
event_miraclesnow2_04_s_25,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_25,True,,1,sad,,3,angry,,L_10,L_10,1.0,,rupee_w,rupee
event_miraclesnow2_04_s_26,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_26,True,,1,sad,,3,angry,,300,300,1.0,,angelina,angelina
event_miraclesnow2_04_s_27,40004,event_miraclesnow2_04_s,Self,Locale_SubScenario:event_miraclesnow2_04_s_27,False,,1,sad,,3,angry,,300,31,1.0,none,,
event_miraclesnow2_04_s_28,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_28,True,,1,etc,,3,angry,,31,31,1.0,,rupee_w,rupee
event_miraclesnow2_04_s_29,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_29,False,,1,etc,,3,worry,,31,31,1.0,,angelina,angelina
event_miraclesnow2_04_s_30,40004,event_miraclesnow2_04_s,Self,Locale_SubScenario:event_miraclesnow2_04_s_30,False,,1,etc,,3,worry,,31,31,1.0,,,
event_miraclesnow2_04_s_31,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_31,False,,1,etc,,3,surprise,,31,30,1.0,,angelina,angelina
event_miraclesnow2_04_s_32,40004,event_miraclesnow2_04_s,Self,Locale_SubScenario:event_miraclesnow2_04_s_32,False,,1,sad,,3,surprise,,30,30,1.0,,,
event_miraclesnow2_04_s_33,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_33,True,,1,sad,,3,angry,,30,30,1.0,bgm_story_weare,angelina,angelina
event_miraclesnow2_04_s_34,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_34,True,,1,sad,,3,angry,,30,30,1.0,,angelina,angelina
event_miraclesnow2_04_s_35,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_35,True,,1,sad,,3,angry,,30,30,1.0,,angelina,angelina
event_miraclesnow2_04_s_36,40004,event_miraclesnow2_04_s,Self,Locale_SubScenario:event_miraclesnow2_04_s_36,False,,1,sad,,3,angry,,30,30,1.0,,,
event_miraclesnow2_04_s_37,40004,event_miraclesnow2_04_s,Self,Locale_SubScenario:event_miraclesnow2_04_s_37,False,,1,sad,,3,angry,,30,30,1.0,,,
event_miraclesnow2_04_s_38,40004,event_miraclesnow2_04_s,Self,Locale_SubScenario:event_miraclesnow2_04_s_38,False,,1,sad,,3,angry,,30,30,1.0,,,
event_miraclesnow2_04_s_39,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_39,False,,1,sad,,3,worry,,30,3,1.0,,angelina,angelina
event_miraclesnow2_04_s_40,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_40,True,,1,sad,,3,worry,,3,3,1.0,,angelina,angelina
event_miraclesnow2_04_s_41,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_41,True,,1,sad,,3,worry,,3,31,1.0,,rupee_w,rupee
event_miraclesnow2_04_s_42,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_42,True,,1,sad,,3,angry,,31,31,1.0,,angelina,angelina
event_miraclesnow2_04_s_43,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_43,True,,1,sad,,3,angry,,31,31,1.0,,rupee_w,rupee
event_miraclesnow2_04_s_44,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_44,False,,1,sad,,3,angry,,31,31,1.0,,angelina,angelina
event_miraclesnow2_04_s_45,40004,event_miraclesnow2_04_s,Monologue,Locale_SubScenario:event_miraclesnow2_04_s_45,False,,1,sad,,3,angry,,31,3,1.0,,,
event_miraclesnow2_04_s_46,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_46,True,,1,sad,,3,angry,,3,3,1.0,,angelina,angelina
event_miraclesnow2_04_s_47,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_47,True,,1,sad,,3,worry,,3,3,1.0,,angelina,angelina
event_miraclesnow2_04_s_48,40004,event_miraclesnow2_04_s,Speech,Locale_SubScenario:event_miraclesnow2_04_s_48,True,,1,sad,,3,worry,,3,3,1.0,,angelina,angelina
