id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,highlight,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,fade,set_camera_shake
event_ltk_06_e_1,40012,event_ltk_06_e,Monologue,Monologue,Locale_SubScenario:event_ltk_06_e_1,False,GoodOffice,black,black,1.0,none,,,,,,,,,,,,,,,,,
event_ltk_06_e_2,40012,event_ltk_06_e,Monologue,Monologue,Locale_SubScenario:event_ltk_06_e_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,
event_ltk_06_e_3,40012,event_ltk_06_e,Monologue,Monologue,Locale_SubScenario:event_ltk_06_e_3,False,,1,1,1.0,event_bgm_ltk,d,2,idle,k,12,idle,,,,,,,,,,,
event_ltk_06_e_4,40012,event_ltk_06_e,Monologue,Monologue,Locale_SubScenario:event_ltk_06_e_4,False,,1,6,2.0,,,2,idle,,12,idle,owner,6,idle,,,,,,,,
event_ltk_06_e_5,40012,event_ltk_06_e,Speech,owner,Locale_SubScenario:event_ltk_06_e_5,True,,6,6,1.0,,,2,idle,,12,idle,,6,idle,owner,,,,,,,
event_ltk_06_e_6,40012,event_ltk_06_e,Speech,owner,Locale_SubScenario:event_ltk_06_e_6,True,,6,6,1.0,,,2,idle,,12,idle,,6,idle,owner,,,,,,,
event_ltk_06_e_7,40012,event_ltk_06_e,Speech,owner,Locale_SubScenario:event_ltk_06_e_7,True,,6,6,1.0,,,2,idle,,12,idle,,6,idle,owner,,,,,,,
event_ltk_06_e_8,40012,event_ltk_06_e,Speech,owner,Locale_SubScenario:event_ltk_06_e_8,True,,6,6,1.0,,,2,idle,,12,idle,,6,idle,owner,,,,,,,
event_ltk_06_e_9,40012,event_ltk_06_e,Speech,owner,Locale_SubScenario:event_ltk_06_e_9,True,,6,L_60,1.0,,,2,idle,,12,idle,,6,idle,owner,,,,,,,
event_ltk_06_e_10,40012,event_ltk_06_e,Speech,owner,Locale_SubScenario:event_ltk_06_e_10,True,,L_60,L_60,1.0,,,2,idle,,12,idle,,6,idle,owner,,,,,,,
event_ltk_06_e_11,40012,event_ltk_06_e,Narration,Narration,Locale_SubScenario:event_ltk_06_e_11,False,,L_60,1,1.0,,,2,idle,,12,idle,,6,idle,,,,,,,,
event_ltk_06_e_12,40012,event_ltk_06_e,Speech,d,Locale_SubScenario:event_ltk_06_e_12,True,,1,1,1.0,,,2,idle,,12,idle,,6,idle,d,,,,,,,
event_ltk_06_e_13,40012,event_ltk_06_e,Speech,k,Locale_SubScenario:event_ltk_06_e_13,True,,1,1,1.0,,,2,idle,,12,idle,,6,idle,k,,,,,,,
event_ltk_06_e_14,40012,event_ltk_06_e,Speech,k,Locale_SubScenario:event_ltk_06_e_14,True,,1,1,1.0,,,2,idle,,12,idle,,6,idle,k,,,,,,,
event_ltk_06_e_15,40012,event_ltk_06_e,Speech,d,Locale_SubScenario:event_ltk_06_e_15,True,,1,20,1.0,,,2,idle,,12,idle,,6,idle,d,,,,,,,
event_ltk_06_e_16,40012,event_ltk_06_e,Speech,d,Locale_SubScenario:event_ltk_06_e_16,True,,20,20,1.0,,,2,idle,,12,idle,,6,idle,d,,,,,,,
event_ltk_06_e_17,40012,event_ltk_06_e,Speech,d,Locale_SubScenario:event_ltk_06_e_17,True,,20,20,1.0,,,2,idle,,12,idle,,6,idle,d,,,,,,,
event_ltk_06_e_18,40012,event_ltk_06_e,Speech,k,Locale_SubScenario:event_ltk_06_e_18,True,,20,S_120,1.0,,,2,idle,,12,idle,,6,idle,k,,,,,,,
event_ltk_06_e_19,40012,event_ltk_06_e,Speech,k,Locale_SubScenario:event_ltk_06_e_19,True,,S_120,S_120,1.0,,,2,idle,,12,idle,,6,idle,k,,,,,,,
event_ltk_06_e_20,40012,event_ltk_06_e,Speech,k,Locale_SubScenario:event_ltk_06_e_20,True,,S_120,S_120,1.0,,,2,idle,,12,idle,,6,idle,k,,,,,,,
event_ltk_06_e_21,40012,event_ltk_06_e,Speech,k,Locale_SubScenario:event_ltk_06_e_21,True,,S_120,6,1.0,,,2,idle,,12,idle,,6,idle,k,,,,,,,
event_ltk_06_e_22,40012,event_ltk_06_e,Speech,k,Locale_SubScenario:event_ltk_06_e_22,True,,6,6,1.0,,,2,idle,,12,idle,,6,idle,k,,,,,,,
event_ltk_06_e_23,40012,event_ltk_06_e,Speech,d,Locale_SubScenario:event_ltk_06_e_23,True,,20,20,1.0,,,2,idle,,12,idle,,6,idle,d,,,,,,,
event_ltk_06_e_24,40012,event_ltk_06_e,Speech,d,Locale_SubScenario:event_ltk_06_e_24,True,,20,200,1.0,,,2,idle,,12,idle,,6,idle,d,,,,,,,
event_ltk_06_e_25,40012,event_ltk_06_e,Choice,,Locale_SubScenario:event_ltk_06_e_25,False,,200,200,1.0,,,2,idle,,12,idle,,6,idle,,event_ltk_06_e_27,,,,,,
event_ltk_06_e_26,40012,event_ltk_06_e,Choice,,Locale_SubScenario:event_ltk_06_e_26,False,,200,200,1.0,,,2,idle,,12,idle,,6,idle,,event_ltk_06_e_84,,,,,,
event_ltk_06_e_27,40012,event_ltk_06_e,Speech,d,Locale_SubScenario:event_ltk_06_e_27,True,,200,2,1.0,,,2,idle,,12,idle,,6,idle,d,,,,,,,
event_ltk_06_e_28,40012,event_ltk_06_e,Speech,d,Locale_SubScenario:event_ltk_06_e_28,True,,2,2,1.0,,,2,idle,,12,idle,,6,idle,d,,,,,,,
event_ltk_06_e_29,40012,event_ltk_06_e,Speech,owner,Locale_SubScenario:event_ltk_06_e_29,True,,2,6,1.0,,,2,idle,,12,idle,,6,idle,owner,,,,,,,
event_ltk_06_e_30,40012,event_ltk_06_e,Speech,d,Locale_SubScenario:event_ltk_06_e_30,True,,20,20,1.0,,,2,idle,,12,idle,,6,idle,d,,,,,,,
event_ltk_06_e_31,40012,event_ltk_06_e,Speech,d,Locale_SubScenario:event_ltk_06_e_31,True,,20,20,1.0,,,2,idle,,12,idle,,6,idle,d,,,,,,,
event_ltk_06_e_32,40012,event_ltk_06_e,Speech,d,Locale_SubScenario:event_ltk_06_e_32,True,,20,20,1.0,,,2,idle,,12,idle,,6,idle,d,,,,,,,
