id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,fade
event_goldencoinrush1_b01_e_1,40048,event_goldencoinrush1_b01_e,Monologue,soda_b,Locale_MainScenario:event_goldencoinrush1_b01_e_1,False,soda_b,3,serious,CoinRushMainHall,6,3,1.0,event_bgm_goldcoinrush_inst,,,,,,,,,,,,,,,,,,
event_goldencoinrush1_b01_e_2,40048,event_goldencoinrush1_b01_e,Monologue,soda_b,Locale_MainScenario:event_goldencoinrush1_b01_e_2,False,,3,serious,,3,3,1.0,,,,,,,,,,,,,,,,,,,
event_goldencoinrush1_b01_e_3,40048,event_goldencoinrush1_b01_e,Monologue,soda_b,Locale_MainScenario:event_goldencoinrush1_b01_e_3,False,,3,serious,,3,3,1.0,,,,,,,,,,,,,,,,,,,
event_goldencoinrush1_b01_e_4,40048,event_goldencoinrush1_b01_e,Self,soda_b,Locale_MainScenario:event_goldencoinrush1_b01_e_4,False,,3,serious,,3,3,1.0,,,,,,,,,,,,,,,,,,,
event_goldencoinrush1_b01_e_5,40048,event_goldencoinrush1_b01_e,Monologue,soda_b,Locale_MainScenario:event_goldencoinrush1_b01_e_5,False,,3,serious,,3,S_30,1.0,,,,,,,,,,,,,,,,,,,
event_goldencoinrush1_b01_e_6,40048,event_goldencoinrush1_b01_e,Speech,soda_b,Locale_MainScenario:event_goldencoinrush1_b01_e_6,True,,3,serious,,S_30,S_30,1.0,,soda_b,,,,,,,,,,,,,,,,,
event_goldencoinrush1_b01_e_7,40048,event_goldencoinrush1_b01_e,Monologue,soda_b,Locale_MainScenario:event_goldencoinrush1_b01_e_7,False,,3,serious,,S_30,S_30,1.0,,,,,,,,,,,,,,,,,,,
event_goldencoinrush1_b01_e_8,40048,event_goldencoinrush1_b01_e,Monologue,soda_b,Locale_MainScenario:event_goldencoinrush1_b01_e_8,False,,3,serious,,S_30,S_30,1.0,,,,,,,,,,,,,,,,,,,
event_goldencoinrush1_b01_e_9,40048,event_goldencoinrush1_b01_e,Self,soda_b,Locale_MainScenario:event_goldencoinrush1_b01_e_9,False,,3,serious,,S_30,S_30,1.0,,,,,,,,,,,,,,,,,,,
event_goldencoinrush1_b01_e_10,40048,event_goldencoinrush1_b01_e,Speech,soda_b,Locale_MainScenario:event_goldencoinrush1_b01_e_10,True,,3,serious,,S_30,S_300,1.0,,soda_b,,,,,,,,,,,,,,,,,
event_goldencoinrush1_b01_e_11,40048,event_goldencoinrush1_b01_e,Speech,soda_b,Locale_MainScenario:event_goldencoinrush1_b01_e_11,True,,3,serious,,S_300,S_300,1.0,,soda_b,,,,,,,,,,,,,,,,,
event_goldencoinrush1_b01_e_12,40048,event_goldencoinrush1_b01_e,Speech,soda_b,Locale_MainScenario:event_goldencoinrush1_b01_e_12,True,,3,surprise,,S_300,S_300,1.0,,soda_b,,,,,,,,,,,,,,,,,
