id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_newflavor_01_s_1,40073,event_newflavor_01_s,Narration,Locale_SubScenario:event_newflavor_01_s_1,False,CommanderRoom,3,3,1.0,sfx_scn_knock,bgm_story_backtonormal,,,,,,,,,,,
event_newflavor_01_s_2,40073,event_newflavor_01_s,Speech,Locale_SubScenario:event_newflavor_01_s_2,True,,3,3,1.0,,,rapi,rapi,,,,,,,,,
event_newflavor_01_s_3,40073,event_newflavor_01_s,Self,Locale_SubScenario:event_newflavor_01_s_3,False,,3,3,1.0,,,rapi,,,,,,,,,,
event_newflavor_01_s_4,40073,event_newflavor_01_s,Narration,Locale_SubScenario:event_newflavor_01_s_4,False,,3,30,1.3,sfx_scn_autodooropen,,rapi,,rapi,3,idle,,,,,,
event_newflavor_01_s_5,40073,event_newflavor_01_s,Speech,Locale_SubScenario:event_newflavor_01_s_5,True,,30,30,1.0,,,rapi,rapi,,3,idle,,,,,,
event_newflavor_01_s_6,40073,event_newflavor_01_s,Speech,Locale_SubScenario:event_newflavor_01_s_6,True,,30,30,1.0,,,rapi,rapi,,3,idle,,,,,,
event_newflavor_01_s_7,40073,event_newflavor_01_s,Self,Locale_SubScenario:event_newflavor_01_s_7,False,,30,30,1.0,,,rapi,,,3,idle,,,,,,
event_newflavor_01_s_8,40073,event_newflavor_01_s,Speech,Locale_SubScenario:event_newflavor_01_s_8,True,,30,30,1.0,,,rapi,rapi,,3,idle,,,,,,
event_newflavor_01_s_9,40073,event_newflavor_01_s,Narration,Locale_SubScenario:event_newflavor_01_s_9,False,,30,30,1.0,sfx_scn_rustle,,rapi,,,3,idle,,,,,,
event_newflavor_01_s_10,40073,event_newflavor_01_s,Speech,Locale_SubScenario:event_newflavor_01_s_10,True,,30,30,1.0,,,rapi,rapi,,3,idle,,,,,,
event_newflavor_01_s_11,40073,event_newflavor_01_s,Speech,Locale_SubScenario:event_newflavor_01_s_11,True,,30,30,1.0,,,rapi,rapi,,3,idle,,,,,,
event_newflavor_01_s_12,40073,event_newflavor_01_s,Self,Locale_SubScenario:event_newflavor_01_s_12,False,,30,30,1.0,,,rapi,,,3,idle,,,,,,
