id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim
event_seayouagain1_02_e_1,40024,event_seayouagain1_02_e,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_e_1,True,Corridor,12,12,1.0,bgm_story_voicesofthesea,,mast,1,idle,,anchor,13,shy,,helm,3,no,,,,,,,,,,,,,,,,,,
event_seayouagain1_02_e_2,40024,event_seayouagain1_02_e,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_e_2,True,,12,12,1.0,,,,1,idle,,,13,shy,,,3,no,,,,,,,,,,,,,,,,,,
event_seayouagain1_02_e_3,40024,event_seayouagain1_02_e,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_e_3,True,,12,12,1.0,,,,1,idle,,,13,shy,,,3,no,,,,,,,,,,,,,,,,,,
event_seayouagain1_02_e_4,40024,event_seayouagain1_02_e,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain1_02_e_4,True,,12,12,1.0,,,,1,idle,,,13,shy,,,3,no,,,,,,,,,,,,,,,,,,
event_seayouagain1_02_e_5,40024,event_seayouagain1_02_e,Speech,anchor,anchor,Locale_MainScenario:event_seayouagain1_02_e_5,True,,12,12,1.0,,,,1,idle,,,13,shy,,,3,no,,,,,,,,,,,,,,,,,,
event_seayouagain1_02_e_6,40024,event_seayouagain1_02_e,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_e_6,False,,12,30,1.0,,,,1,idle,,,13,shy,,,3,no,,,,,,,,,,,,,,,,,,
event_seayouagain1_02_e_7,40024,event_seayouagain1_02_e,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_e_7,True,,30,30,1.0,,,,1,idle,,,13,shy,,,3,no,,,,,,,,,,,,,,,,,,
event_seayouagain1_02_e_8,40024,event_seayouagain1_02_e,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_e_8,True,,30,30,1.0,,,,1,idle,,,13,shy,,,3,no,,,,,,,,,,,,,,,,,,
event_seayouagain1_02_e_9,40024,event_seayouagain1_02_e,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_e_9,True,,30,30,1.0,,,,1,idle,,,13,shy,,,3,no,,,,,,,,,,,,,,,,,,
event_seayouagain1_02_e_10,40024,event_seayouagain1_02_e,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_e_10,True,,30,2,1.0,,,,1,idle,,,13,shy,,,3,no,,,,,,,,,,,,,,,,,,
event_seayouagain1_02_e_11,40024,event_seayouagain1_02_e,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_e_11,True,,2,2,1.0,,,,1,idle2,,,13,shy,,,3,no,,,,,,,,,,,,,,,,,,
event_seayouagain1_02_e_12,40024,event_seayouagain1_02_e,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_e_12,True,,2,2,1.0,,,,1,idle2,,,13,shy,,,3,surprise,,,,,,,,,,,,,,,,,,
event_seayouagain1_02_e_13,40024,event_seayouagain1_02_e,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_e_13,True,,2,2,1.0,,,,1,idle2,,,13,shy,,,3,surprise,,,,,,,,,,,,,,,,,,
event_seayouagain1_02_e_14,40024,event_seayouagain1_02_e,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_e_14,True,,2,2,1.0,,,,1,idle2,,,13,shy,,,3,surprise,,,,,,,,,,,,,,,,,,
event_seayouagain1_02_e_15,40024,event_seayouagain1_02_e,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_e_15,True,,2,2,1.0,,,,1,idle2,,,13,shy,,,3,surprise,,,,,,,,,,,,,,,,,,
event_seayouagain1_02_e_16,40024,event_seayouagain1_02_e,Speech,mast,mast,Locale_MainScenario:event_seayouagain1_02_e_16,True,,2,2,1.0,,,,1,idle2,,,13,shy,,,3,surprise,,,,,,,,,,,,,,,,,,
event_seayouagain1_02_e_17,40024,event_seayouagain1_02_e,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_e_17,False,,2,30,1.0,,,,1,idle2,,,13,shy,,,3,no,,,,,,,,,,,,,,,,,,
event_seayouagain1_02_e_18,40024,event_seayouagain1_02_e,Speech,helm,helm,Locale_MainScenario:event_seayouagain1_02_e_18,True,,30,30,1.0,,,,1,idle2,,,13,shy,,,3,no,,,,,,,,,,,,,,,,,,
