id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_icedragonsaga2_01_s_1,40065,event_icedragonsaga2_01_s,Speech,newsanchor,newsanchor,Locale_MainScenario:event_icedragonsaga2_01_s_1,False,City,5,5,1.0,bgm_story_empathize,,,,,,,,,,,,,,
event_icedragonsaga2_01_s_2,40065,event_icedragonsaga2_01_s,Speech,newsanchor,newsanchor,Locale_MainScenario:event_icedragonsaga2_01_s_2,False,,5,5,1.0,,,,,,,,,,,,,,,
event_icedragonsaga2_01_s_3,40065,event_icedragonsaga2_01_s,Speech,newsanchor,newsanchor,Locale_MainScenario:event_icedragonsaga2_01_s_3,False,,5,5,1.0,,,,,,,,,,,,,,,
event_icedragonsaga2_01_s_4,40065,event_icedragonsaga2_01_s,Speech,newsanchor,newsanchor,Locale_MainScenario:event_icedragonsaga2_01_s_4,False,,5,5,1.0,,,,,,,,,,,,,,,
event_icedragonsaga2_01_s_5,40065,event_icedragonsaga2_01_s,Speech,newsanchor,newsanchor,Locale_MainScenario:event_icedragonsaga2_01_s_5,False,,5,5,1.0,,,,,,,,,,,,,,,
event_icedragonsaga2_01_s_6,40065,event_icedragonsaga2_01_s,Speech,newsanchor,newsanchor,Locale_MainScenario:event_icedragonsaga2_01_s_6,False,,5,5,1.0,,,,,,,,,,,,,,,
event_icedragonsaga2_01_s_7,40065,event_icedragonsaga2_01_s,Speech,newsanchor,newsanchor,Locale_MainScenario:event_icedragonsaga2_01_s_7,False,,5,5,1.0,,,,,,,,,,,,,,,
event_icedragonsaga2_01_s_8,40065,event_icedragonsaga2_01_s,Speech,ingrid,ingrid,Locale_MainScenario:event_icedragonsaga2_01_s_8,True,GoddessOfVictory_n,1,1,1.0,none,ingrid,2,idle,guillotine,12,think,black,,,,,,,
event_icedragonsaga2_01_s_9,40065,event_icedragonsaga2_01_s,Speech,ingrid,ingrid,Locale_MainScenario:event_icedragonsaga2_01_s_9,True,,1,1,1.0,,,2,idle,,12,think,,,,,,,,
event_icedragonsaga2_01_s_10,40065,event_icedragonsaga2_01_s,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga2_01_s_10,False,,1,1,1.0,,,2,idle,,12,think,,,,,,,,
event_icedragonsaga2_01_s_11,40065,event_icedragonsaga2_01_s,Speech,ingrid,ingrid,Locale_MainScenario:event_icedragonsaga2_01_s_11,True,,1,1,1.0,,,2,idle,,12,think,,,,,,,,
event_icedragonsaga2_01_s_12,40065,event_icedragonsaga2_01_s,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga2_01_s_12,True,,1,XS_120,1.0,bgm_story_monochrome,,2,idle,,12,no,,,,,,,,
event_icedragonsaga2_01_s_13,40065,event_icedragonsaga2_01_s,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga2_01_s_13,True,,XS_120,XS_120,1.0,,,2,idle,,12,no,,,,,,,,
event_icedragonsaga2_01_s_14,40065,event_icedragonsaga2_01_s,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga2_01_s_14,True,,XS_120,XS_120,1.0,,,2,idle,,12,no,,,,,,,,
event_icedragonsaga2_01_s_15,40065,event_icedragonsaga2_01_s,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga2_01_s_15,True,,XS_120,XS_120,1.0,,,2,idle,,12,no,,,,,,,,
event_icedragonsaga2_01_s_16,40065,event_icedragonsaga2_01_s,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga2_01_s_16,True,,XS_120,XS_120,1.0,,,2,idle,,12,no,,,,,,,,
event_icedragonsaga2_01_s_17,40065,event_icedragonsaga2_01_s,Speech,guillotine,ingrid,Locale_MainScenario:event_icedragonsaga2_01_s_17,False,,XS_120,XS_120,1.0,,,2,idle,,12,no,,,,,,,,
event_icedragonsaga2_01_s_18,40065,event_icedragonsaga2_01_s,Speech,guillotine,guillotine,Locale_MainScenario:event_icedragonsaga2_01_s_18,True,,XS_120,XS_120,1.0,,,2,idle,,12,no,,,,,,,,
