id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/1/hide_char_id,play_sound,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_ce_01_06_s_1,40009,event_ce_01_06_s,Narration,Narration,Locale_SubScenario:event_ce_01_06_s_1,False,Office,1,1,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,,,,,,,
event_ce_01_06_s_2,40009,event_ce_01_06_s,Speech,andersen,Locale_SubScenario:event_ce_01_06_s_2,True,,1,1,1.0,,andersen,andersen,1,angry,,,,,,,,,,,,,
event_ce_01_06_s_3,40009,event_ce_01_06_s,Speech,andersen,Locale_SubScenario:event_ce_01_06_s_3,True,,1,1,1.0,,andersen,,1,angry,,,,,,,,,,,,,
event_ce_01_06_s_4,40009,event_ce_01_06_s,Speech,andersen,Locale_SubScenario:event_ce_01_06_s_4,True,,1,1,1.0,,andersen,,1,angry,,,,,,,,,,,,,
event_ce_01_06_s_5,40009,event_ce_01_06_s,Speech,andersen,Locale_SubScenario:event_ce_01_06_s_5,True,,1,1,1.0,,andersen,,1,angry,,,,,,,,,,,,,
event_ce_01_06_s_6,40009,event_ce_01_06_s,Speech,andersen,Locale_SubScenario:event_ce_01_06_s_6,True,,1,1,1.0,,andersen,,1,angry,,,,,,,,,,,,,
event_ce_01_06_s_7,40009,event_ce_01_06_s,Speech,andersen,Locale_SubScenario:event_ce_01_06_s_7,True,,1,1,1.0,,andersen,,1,angry,,,,,,,,,,,,,
event_ce_01_06_s_8,40009,event_ce_01_06_s,Speech,andersen,Locale_SubScenario:event_ce_01_06_s_8,True,,1,1,1.0,,andersen,,1,idle,,,,,,,,,,,,,
event_ce_01_06_s_9,40009,event_ce_01_06_s,Speech,rapi,Locale_SubScenario:event_ce_01_06_s_9,True,CommanderRoom,1,1,1.0,none,rapi,,1,idle,andersen,rapi,1,idle,black,,,,,,,,
event_ce_01_06_s_10,40009,event_ce_01_06_s,Self,Self,Locale_SubScenario:event_ce_01_06_s_10,False,,1,1,1.0,,,,,,,,1,idle,,,,,,,,,
event_ce_01_06_s_11,40009,event_ce_01_06_s,Self,Self,Locale_SubScenario:event_ce_01_06_s_11,False,,1,1,1.0,,,,,,,,1,idle,,,,,,,,,
event_ce_01_06_s_12,40009,event_ce_01_06_s,Speech,rapi,Locale_SubScenario:event_ce_01_06_s_12,True,,1,1,1.0,,rapi,,,,,,1,idle,,,,,,,,,
