id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_lastkingdom2_03_s_1,40046,event_lastkingdom2_03_s,Narration,Locale_MainScenario:event_lastkingdom2_03_s_1,False,EventScene_lastkingdom_07,17,1,1.0,sfx_scn_swordhit3,event_bgm_lastkingdom_whisperoffear,,,,,,,,,,,,,,,,,,
event_lastkingdom2_03_s_2,40046,event_lastkingdom2_03_s,Narration,Locale_MainScenario:event_lastkingdom2_03_s_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
event_lastkingdom2_03_s_3,40046,event_lastkingdom2_03_s,Narration,Locale_MainScenario:event_lastkingdom2_03_s_3,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
event_lastkingdom2_03_s_4,40046,event_lastkingdom2_03_s,Speech,Locale_MainScenario:event_lastkingdom2_03_s_4,True,,1,10,1.0,,,hongryeon,hongryeon,,,,,,,,,,,,,,,,
event_lastkingdom2_03_s_5,40046,event_lastkingdom2_03_s,Speech,Locale_MainScenario:event_lastkingdom2_03_s_5,True,,10,10,1.0,,,indivilia,indivilia,,,,,,,,,,,,,,,,
event_lastkingdom2_03_s_6,40046,event_lastkingdom2_03_s,Speech,Locale_MainScenario:event_lastkingdom2_03_s_6,True,,10,10,1.0,,,hongryeon,hongryeon,,,,,,,,,,,,,,,,
event_lastkingdom2_03_s_7,40046,event_lastkingdom2_03_s,Speech,Locale_MainScenario:event_lastkingdom2_03_s_7,True,,10,1,1.0,,,indivilia,indivilia,,,,,,,,,,,,,,,,
event_lastkingdom2_03_s_8,40046,event_lastkingdom2_03_s,Speech,Locale_MainScenario:event_lastkingdom2_03_s_8,True,,1,1,1.0,,,indivilia,indivilia,,,,,,,,,,,,,,,,
event_lastkingdom2_03_s_9,40046,event_lastkingdom2_03_s,Narration,Locale_MainScenario:event_lastkingdom2_03_s_9,False,,1,1,1.0,,,indivilia,,,,,,,,,,,,,,,,,
event_lastkingdom2_03_s_10,40046,event_lastkingdom2_03_s,Narration,Locale_MainScenario:event_lastkingdom2_03_s_10,False,,1,1,1.0,,,indivilia,,,,,,,,,,,,,,,,,
event_lastkingdom2_03_s_11,40046,event_lastkingdom2_03_s,Narration,Locale_MainScenario:event_lastkingdom2_03_s_11,False,,1,1,1.0,,,indivilia,,,,,,,,,,,,,,,,,
event_lastkingdom2_03_s_12,40046,event_lastkingdom2_03_s,Speech,Locale_MainScenario:event_lastkingdom2_03_s_12,False,,1,1,1.0,,,indivilia,indivilia,,,,,,,,,,,,,,,,
event_lastkingdom2_03_s_13,40046,event_lastkingdom2_03_s,Speech,Locale_MainScenario:event_lastkingdom2_03_s_13,True,,1,100,1.0,,,hongryeon,hongryeon,,,,,,,,,,,,,,,,
event_lastkingdom2_03_s_14,40046,event_lastkingdom2_03_s,Speech,Locale_MainScenario:event_lastkingdom2_03_s_14,True,,100,100,1.0,,,indivilia,indivilia,,,,,,,,,,,,,,,,
event_lastkingdom2_03_s_15,40046,event_lastkingdom2_03_s,Speech,Locale_MainScenario:event_lastkingdom2_03_s_15,True,,100,100,1.0,,,hongryeon,hongryeon,,,,,,,,,,,,,,,,
